Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,36,35,34,47,59,52,30,48,36,33,42,29
2021-03-08,35,37,28,48,49,46,32,35,38,30,37,28
2021-03-07,24,34,24,23,62,19,17,14,30,23,30,8
2021-03-06,32,45,36,37,69,29,20,23,38,30,41,7
2021-03-05,38,42,35,53,51,51,31,46,47,34,44,29
2021-03-04,32,28,25,44,52,35,24,29,29,29,34,24
2021-03-03,36,29,26,48,64,45,28,44,31,31,37,26
2021-03-02,32,24,25,40,51,50,26,33,29,29,36,23
2021-03-01,29,25,24,36,48,39,19,32,30,28,31,24
2021-02-28,20,28,20,18,45,25,8,11,28,21,27,6
2021-02-27,34,46,34,38,74,33,22,21,47,33,42,8
2021-02-26,37,37,34,44,57,41,30,41,40,32,40,28
2021-02-25,33,34,25,45,50,46,31,30,34,30,36,25
2021-02-24,39,31,25,44,44,44,34,33,24,30,35,24
2021-02-23,31,26,24,42,45,42,32,35,28,29,36,22
2021-02-22,29,24,24,35,44,39,24,24,24,27,32,23
2021-02-21,18,24,16,14,39,22,10,13,16,18,21,5
2021-02-20,27,40,25,24,47,31,12,17,28,26,32,6
2021-02-19,33,43,26,40,49,49,25,32,32,30,35,25
2021-02-18,28,30,24,35,42,54,31,32,23,27,31,21
2021-02-17,28,26,24,33,32,50,20,31,22,26,30,21
2021-02-16,26,17,16,23,32,31,14,21,16,19,22,15
2021-02-15,26,24,19,30,35,33,18,24,19,23,25,19
2021-02-14,21,37,24,18,36,34,12,13,24,22,29,7
2021-02-13,24,34,22,24,30,52,12,17,35,25,32,5
2021-02-12,33,40,28,37,57,59,23,34,30,31,37,25
2021-02-11,29,27,19,37,45,54,27,37,24,28,32,22
2021-02-10,29,26,20,36,36,54,24,28,21,26,31,20
2021-02-09,28,27,24,33,42,44,29,36,25,26,31,20
2021-02-08,25,25,18,29,30,46,17,29,23,24,28,20
2021-02-07,13,17,13,9,25,25,4,7,15,14,16,4
2021-02-06,20,25,15,18,27,33,13,9,25,19,22,4
2021-02-05,27,32,22,38,45,45,25,32,22,27,31,22
