Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,41,19,21,39,28,17,28,20,40,60
2021-03-08,32,10,13,38,24,11,36,20,38,66
2021-03-07,16,8,5,18,22,5,6,20,22,29
2021-03-06,28,26,7,29,25,5,14,0,30,43
2021-03-05,43,15,21,34,29,11,27,20,40,65
2021-03-04,32,16,16,43,16,13,26,0,38,62
2021-03-03,38,8,16,37,16,9,28,0,39,54
2021-03-02,37,15,16,41,21,8,22,0,36,53
2021-03-01,28,8,9,37,24,13,28,0,34,61
2021-02-28,14,6,4,21,12,6,10,0,22,31
2021-02-27,24,24,8,30,21,3,17,0,31,45
2021-02-26,34,13,19,44,15,8,30,20,38,67
2021-02-25,37,14,23,37,28,8,26,40,39,67
2021-02-24,34,16,18,46,22,9,23,0,36,55
2021-02-23,33,13,20,39,21,16,23,40,36,56
2021-02-22,32,13,20,40,13,9,24,60,34,56
2021-02-21,19,10,3,13,6,8,9,0,17,21
2021-02-20,19,26,4,22,18,9,14,0,24,25
2021-02-19,34,9,18,34,25,20,35,0,35,52
2021-02-18,32,14,22,35,18,14,22,0,33,47
2021-02-17,37,10,15,37,10,14,22,0,32,38
2021-02-16,27,11,19,20,6,2,12,0,20,23
2021-02-15,23,9,14,23,9,5,10,0,23,33
2021-02-14,20,10,2,17,9,9,4,0,20,18
2021-02-13,22,25,2,23,13,8,10,0,24,20
2021-02-12,31,11,22,32,12,14,34,0,36,49
2021-02-11,28,8,16,36,19,8,29,0,34,47
2021-02-10,32,8,15,40,6,16,23,0,33,35
2021-02-09,33,13,19,38,18,3,26,20,32,37
2021-02-08,26,5,19,33,9,14,24,20,30,39
2021-02-07,12,10,3,15,6,2,3,0,14,11
2021-02-06,15,34,6,15,16,0,5,0,18,13
2021-02-05,28,11,13,35,16,17,20,0,34,45
2021-02-04,26,6,18,37,13,9,22,0,33,43
2021-02-03,34,6,14,45,25,14,23,0,35,41
2021-02-02,27,11,22,34,24,5,19,0,33,39
2021-02-01,29,13,17,30,10,9,16,20,32,43
2021-01-31,11,11,4,11,7,5,3,0,12,9
2021-01-30,19,20,7,17,12,3,10,20,19,15
2021-01-29,26,13,19,31,13,6,20,20,36,45
2021-01-28,27,16,23,37,24,9,21,40,34,45
2021-01-27,30,13,17,33,16,13,16,20,32,34
2021-01-26,26,8,20,25,12,6,19,0,29,31
2021-01-25,29,5,16,29,22,17,17,0,32,42
2021-01-24,14,11,3,15,10,2,5,0,16,13
2021-01-23,19,13,4,17,18,3,8,0,21,18
2021-01-22,28,13,24,30,21,14,28,0,35,44
2021-01-21,29,11,17,31,15,5,26,20,35,46
2021-01-20,24,15,11,23,9,5,14,20,29,30
2021-01-19,26,18,17,30,21,11,23,0,33,37
2021-01-18,21,11,16,22,10,9,16,80,27,36
2021-01-17,14,9,7,16,13,3,9,100,18,17
2021-01-16,17,20,9,22,16,2,10,20,23,20
2021-01-15,28,6,20,36,0,16,23,20,37,48
2021-01-14,26,6,22,31,9,13,25,60,34,47
2021-01-13,28,16,17,31,18,13,17,40,35,40
2021-01-12,30,16,16,32,15,14,24,0,34,39
2021-01-11,26,15,14,32,21,14,29,20,32,41
2021-01-10,13,11,4,137,4,2,4,0,19,12
2021-01-09,21,23,6,110,15,5,12,0,24,16
2021-01-08,25,14,14,158,0,16,24,0,40,41
2021-01-07,26,3,16,105,6,6,30,20,35,40
2021-01-06,31,14,20,107,24,14,25,20,36,33
2021-01-05,29,13,18,41,19,8,27,0,31,32
2021-01-04,30,10,22,87,15,9,33,0,34,42
2021-01-03,11,4,6,105,9,2,5,0,18,12
2021-01-02,18,19,4,88,19,0,9,0,23,16
2021-01-01,11,5,2,77,0,0,5,0,19,16
2020-12-31,18,5,9,90,4,5,20,0,32,32
2020-12-30,26,4,21,28,13,11,19,0,29,28
2020-12-29,24,8,14,26,13,6,23,20,31,33
2020-12-28,28,11,9,75,16,6,27,0,35,41
2020-12-27,13,5,4,96,21,5,11,60,23,18
2020-12-26,17,20,5,103,21,6,11,0,27,20
2020-12-25,6,1,4,13,0,5,8,20,16,17
2020-12-24,19,5,18,24,3,8,17,40,26,31
2020-12-23,31,15,16,126,16,9,22,20,43,38
2020-12-22,36,4,11,206,26,14,28,20,49,39
2020-12-21,32,8,15,167,24,2,25,0,44,47
2020-12-20,16,13,3,114,13,3,6,0,26,19
2020-12-19,23,24,8,21,16,0,11,20,26,24
2020-12-18,30,8,14,37,6,8,28,40,36,46
2020-12-17,29,6,25,174,0,13,22,0,42,44
2020-12-16,32,5,16,33,16,11,24,20,32,33
2020-12-15,28,5,16,30,24,5,22,0,30,29
2020-12-14,30,15,18,219,13,9,24,40,37,35
2020-12-13,14,3,3,137,10,5,6,0,22,14
2020-12-12,15,16,3,27,9,2,8,0,19,14
2020-12-11,25,10,20,29,9,6,17,20,30,37
2020-12-10,29,6,20,146,0,9,23,40,38,38
2020-12-09,32,10,20,33,15,13,28,20,33,30
2020-12-08,33,5,18,187,12,5,24,20,39,30
2020-12-07,31,8,19,218,19,19,37,0,41,37
2020-12-06,17,15,4,137,4,3,9,0,21,13
2020-12-05,24,28,6,201,13,5,12,20,33,20
2020-12-04,31,16,13,94,21,13,26,20,36,39
2020-12-03,32,10,18,34,0,11,24,0,32,39
2020-12-02,32,6,10,174,26,13,28,20,39,30
2020-12-01,34,5,11,196,22,13,23,0,39,30
2020-11-30,26,11,16,163,15,5,23,0,36,37
2020-11-29,17,4,2,134,4,0,7,0,21,14
2020-11-28,19,29,3,152,19,5,10,0,29,20
2020-11-27,24,5,10,184,18,13,20,20,37,31
2020-11-26,11,3,1,134,6,2,8,0,20,13
2020-11-25,27,9,11,133,16,14,17,20,33,23
2020-11-24,33,9,11,189,21,8,18,20,38,29
2020-11-23,36,8,16,37,16,5,20,40,32,38
2020-11-22,17,6,2,149,4,3,4,0,21,11
2020-11-21,21,19,3,137,4,0,8,20,26,16
2020-11-20,37,8,16,177,18,17,23,0,42,40
2020-11-19,35,8,18,62,21,13,28,40,35,42
2020-11-18,40,10,19,32,15,8,24,40,32,31
2020-11-17,29,18,14,100,18,13,31,40,35,30
2020-11-16,34,8,14,146,21,16,16,20,38,33
2020-11-15,16,3,3,95,15,0,12,0,19,10
2020-11-14,26,26,5,129,9,9,15,0,26,19
2020-11-13,34,6,18,114,29,14,28,40,41,44
2020-11-12,36,10,20,35,16,23,28,0,36,42
2020-11-11,30,5,11,26,13,13,20,20,30,25
2020-11-10,36,6,23,135,22,11,30,40,38,32
2020-11-09,31,8,15,27,10,9,26,20,35,37
2020-11-08,20,10,3,23,9,3,11,0,21,15
2020-11-07,23,30,8,91,18,16,13,20,33,27
2020-11-06,30,11,20,113,15,16,27,20,45,50
2020-11-05,34,4,16,122,24,17,25,0,41,45
2020-11-04,34,13,20,122,24,11,23,0,40,32
2020-11-03,33,8,13,133,26,13,23,0,45,36
2020-11-02,35,6,22,89,26,16,32,40,42,44
2020-11-01,16,11,3,47,7,3,12,0,20,13
2020-10-31,22,33,10,24,10,6,15,0,25,22
2020-10-30,34,10,24,31,18,11,26,0,42,52
2020-10-29,30,16,22,64,26,13,34,20,44,52
2020-10-28,33,11,18,36,18,11,24,20,40,40
2020-10-27,34,6,18,34,19,11,34,0,39,39
2020-10-26,37,13,16,32,13,6,30,0,38,43
2020-10-25,20,10,7,21,10,9,8,0,21,14
2020-10-24,26,30,9,28,21,9,16,20,31,28
2020-10-23,31,6,14,38,21,8,30,0,42,53
2020-10-22,35,15,22,40,22,8,26,40,43,54
2020-10-21,36,13,23,33,24,6,26,0,40,40
2020-10-20,33,11,20,38,24,11,28,40,40,40
2020-10-19,35,9,20,35,13,9,22,20,38,44
2020-10-18,24,10,5,22,26,3,10,0,23,16
2020-10-17,34,31,8,29,26,3,20,20,34,33
2020-10-16,45,13,18,41,25,27,34,20,46,61
2020-10-15,40,15,22,39,24,13,35,40,43,53
2020-10-14,37,9,20,40,24,11,29,20,42,40
2020-10-13,34,9,23,42,29,11,28,40,42,42
2020-10-12,34,8,7,30,28,13,22,20,34,36
2020-10-11,22,15,5,22,12,13,6,0,27,21
2020-10-10,31,40,5,28,18,6,17,0,35,32
2020-10-09,36,8,17,36,19,17,23,20,44,54
