Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,36,48,33,27,17,25,27,33,9,25
2021-03-08,28,23,26,22,11,13,28,29,7,24
2021-03-07,11,16,9,12,4,4,1,18,4,8
2021-03-06,15,27,20,19,4,11,8,23,4,16
2021-03-05,34,40,35,26,11,24,22,33,7,25
2021-03-04,25,29,29,21,13,24,21,29,7,23
2021-03-03,31,27,30,23,13,28,22,31,7,25
2021-03-02,28,31,26,25,14,24,24,29,7,23
2021-03-01,26,21,24,23,10,18,23,29,7,23
2021-02-28,11,23,5,14,4,8,2,17,4,8
2021-02-27,19,29,13,21,4,13,8,25,4,16
2021-02-26,33,41,27,28,13,15,19,33,7,25
2021-02-25,31,31,27,31,15,14,24,33,8,25
2021-02-24,23,39,29,26,16,13,21,32,8,24
2021-02-23,29,42,27,27,11,17,23,33,7,22
2021-02-22,27,39,28,25,16,13,26,31,8,23
2021-02-21,9,23,5,12,3,3,3,16,3,5
2021-02-20,15,24,14,16,2,3,6,23,5,9
2021-02-19,25,54,35,28,16,30,25,33,8,14
2021-02-18,29,30,30,22,16,15,22,29,7,11
2021-02-17,23,35,25,22,16,21,22,28,7,11
2021-02-16,19,21,13,12,7,15,12,18,4,6
2021-02-15,16,21,15,14,8,24,16,21,4,7
2021-02-14,11,13,5,12,4,6,3,17,3,1
2021-02-13,11,15,11,15,1,6,4,19,4,5
2021-02-12,23,46,32,23,8,17,21,30,6,11
2021-02-11,23,24,26,23,13,14,24,29,7,11
2021-02-10,22,35,25,16,11,23,21,27,6,10
2021-02-09,24,33,26,20,14,30,18,27,7,11
2021-02-08,20,23,29,19,13,28,19,26,6,11
2021-02-07,8,18,4,7,4,1,2,12,2,1
2021-02-06,10,14,9,9,2,4,5,15,2,4
2021-02-05,20,23,32,23,7,14,18,27,6,10
2021-02-04,23,39,33,25,13,20,27,33,8,11
2021-02-03,27,41,27,25,14,23,23,33,7,11
2021-02-02,20,30,26,29,12,21,23,33,8,11
2021-02-01,24,34,26,20,12,17,21,28,6,10
2021-01-31,8,8,10,7,2,4,2,12,2,1
2021-01-30,10,21,9,11,1,4,5,18,3,4
2021-01-29,20,32,31,23,14,23,21,32,7,12
2021-01-28,25,26,27,21,14,30,25,30,6,11
2021-01-27,22,32,28,20,10,15,23,29,6,11
2021-01-26,19,18,21,19,16,23,21,25,5,9
2021-01-25,22,28,31,20,12,24,24,28,6,11
2021-01-24,10,14,7,7,4,3,5,14,2,1
2021-01-23,10,21,11,14,2,4,5,19,3,4
2021-01-22,24,25,30,21,13,20,27,31,6,11
2021-01-21,25,21,26,23,14,18,23,31,6,11
2021-01-20,21,19,24,18,13,18,21,29,7,11
2021-01-19,28,26,32,22,11,25,23,33,7,12
2021-01-18,18,37,29,20,17,17,20,29,6,11
2021-01-17,12,15,8,10,5,4,6,19,4,1
2021-01-16,15,11,18,16,3,3,10,24,5,6
2021-01-15,24,26,41,26,10,24,30,38,8,13
2021-01-14,23,37,38,24,10,37,29,34,8,12
2021-01-13,28,29,30,23,19,21,28,33,8,13
2021-01-12,26,25,30,21,16,27,28,33,7,13
2021-01-11,22,29,24,17,16,24,25,26,5,10
2021-01-10,8,8,6,7,2,3,2,12,2,1
