Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,74,72,69,105,65,72,"3,900",36,39,55
2021-03-08,13,58,42,83,72,60,"5,500",34,31,53
2021-03-07,9,35,15,65,69,58,"3,200",23,24,27
2021-03-06,43,51,15,71,66,65,"3,600",32,29,39
2021-03-05,57,71,35,90,70,72,"6,100",39,39,56
2021-03-04,39,56,46,90,64,62,"5,400",34,31,54
2021-03-03,43,64,38,87,87,66,"8,000",35,33,50
2021-03-02,43,59,50,97,67,58,"4,400",34,28,52
2021-03-01,22,46,54,83,72,67,"4,000",29,28,45
2021-02-28,30,28,8,51,68,56,"2,700",21,21,24
2021-02-27,48,73,19,88,75,66,"2,600",33,29,38
2021-02-26,83,87,31,97,90,70,"3,800",38,34,52
2021-02-25,30,62,46,87,72,72,"3,700",35,28,50
2021-02-24,35,74,35,82,70,71,"4,300",33,29,51
2021-02-23,83,80,31,92,70,69,"3,300",34,28,46
2021-02-22,26,57,54,90,74,55,"3,200",29,24,43
2021-02-21,26,29,12,45,52,54,"2,600",18,16,21
2021-02-20,74,61,27,64,69,61,"3,700",26,23,32
2021-02-19,57,74,46,71,70,66,"4,100",34,28,44
2021-02-18,65,59,38,68,68,64,"3,500",30,26,43
2021-02-17,35,70,50,97,74,61,"3,000",29,26,47
2021-02-16,78,60,35,101,65,51,"1,400",19,18,29
2021-02-15,26,61,42,78,60,54,"2,500",23,19,34
2021-02-14,17,52,4,53,75,52,"2,100",19,17,21
2021-02-13,57,68,23,40,76,67,"2,300",22,23,28
2021-02-12,48,82,46,100,108,89,"2,800",34,30,48
2021-02-11,61,72,38,103,85,61,"2,300",32,29,48
2021-02-10,39,54,42,105,80,59,"4,100",30,26,44
2021-02-09,70,56,50,67,71,51,"3,600",30,27,43
2021-02-08,30,40,54,74,54,58,"2,300",27,24,40
2021-02-07,30,30,4,40,44,35,"1,700",15,12,20
2021-02-06,43,49,19,40,50,50,"1,900",23,18,29
2021-02-05,78,51,50,106,70,63,"4,300",32,24,47
2021-02-04,39,49,46,68,76,54,"2,800",30,29,42
2021-02-03,52,58,58,92,75,61,"3,000",31,29,44
2021-02-02,43,45,54,83,60,54,"3,800",30,27,42
2021-02-01,39,46,62,79,59,58,"3,700",27,25,40
2021-01-31,26,21,8,44,32,27,"1,200",13,13,14
2021-01-30,39,60,31,55,67,51,"2,700",23,20,27
2021-01-29,87,66,50,82,82,59,"3,100",34,28,46
2021-01-28,52,42,23,79,66,58,"3,000",30,26,43
2021-01-27,39,60,46,64,68,51,"2,700",29,23,42
2021-01-26,52,51,42,96,66,45,"2,900",23,20,35
2021-01-25,52,67,54,122,95,61,"3,900",29,27,42
2021-01-24,22,38,15,46,61,49,"2,200",17,16,18
2021-01-23,35,70,15,69,74,64,"2,400",25,23,27
2021-01-22,74,63,58,132,88,66,"3,900",33,27,45
2021-01-21,48,74,58,127,89,67,"2,600",33,26,44
2021-01-20,35,46,54,88,68,52,"3,300",28,24,41
2021-01-19,39,50,50,67,66,55,"3,600",28,24,41
2021-01-18,52,50,42,79,61,45,"2,400",25,20,35
2021-01-17,43,26,0,46,60,53,"2,300",17,15,18
2021-01-16,48,51,8,64,63,51,"2,700",22,17,24
2021-01-15,52,63,62,78,57,63,"3,700",31,26,42
2021-01-14,48,54,38,85,70,54,"4,200",30,25,39
2021-01-13,96,61,54,91,69,57,"4,100",30,23,42
2021-01-12,43,51,27,101,84,65,"2,800",30,24,41
2021-01-11,43,45,77,96,66,53,"3,400",28,22,39
2021-01-10,26,23,12,56,55,44,"2,500",17,13,17
2021-01-09,52,51,23,67,66,54,"3,500",24,18,26
2021-01-08,61,68,38,96,43,62,"4,900",31,26,42
2021-01-07,22,51,54,91,72,56,"4,700",29,22,40
2021-01-06,48,53,73,78,83,60,"3,400",29,24,40
2021-01-05,39,41,46,78,69,55,"2,600",28,23,41
2021-01-04,30,50,46,67,85,55,"3,300",27,23,41
2021-01-03,9,30,0,40,55,38,"2,300",17,15,19
2021-01-02,43,49,31,59,64,48,"1,900",20,17,23
2021-01-01,9,29,0,38,37,45,"1,300",15,11,18
2020-12-31,30,56,12,68,79,60,"2,000",27,20,35
2020-12-30,61,56,38,65,67,57,"2,600",27,22,35
2020-12-29,57,57,35,96,79,54,"3,000",29,23,39
2020-12-28,39,42,38,78,77,56,"2,800",27,22,36
2020-12-27,17,23,8,45,48,38,"1,800",17,16,16
2020-12-26,17,48,12,62,54,48,"2,400",20,18,20
2020-12-25,9,34,0,27,61,25,300,14,9,14
2020-12-24,35,50,19,74,92,66,"1,600",25,18,29
2020-12-23,70,70,58,95,92,69,"3,600",34,30,41
2020-12-22,57,64,54,108,63,62,"2,900",34,27,42
2020-12-21,30,50,46,83,80,52,"2,500",29,23,38
2020-12-20,35,30,0,62,45,49,"1,700",18,14,19
2020-12-19,26,46,15,49,53,55,"3,000",21,18,25
2020-12-18,52,48,50,78,76,56,"3,400",30,26,42
2020-12-17,22,48,42,53,54,50,"4,300",28,22,39
2020-12-16,17,50,54,59,50,54,"2,800",25,20,39
2020-12-15,26,42,42,58,54,49,"2,700",24,19,39
2020-12-14,17,49,54,56,43,51,"2,700",24,20,37
2020-12-13,30,21,8,32,44,40,"1,400",12,12,17
2020-12-12,4,39,12,45,48,50,"1,300",16,17,22
2020-12-11,39,57,38,59,49,53,"3,600",26,23,39
2020-12-10,26,49,81,68,61,48,"2,700",25,22,39
2020-12-09,22,49,35,69,72,57,"3,500",26,22,40
2020-12-08,35,54,54,79,65,50,"3,100",25,21,41
2020-12-07,26,63,58,86,67,56,"2,200",25,21,38
2020-12-06,30,25,15,54,48,54,"1,600",15,15,18
2020-12-05,4,55,23,59,68,62,"2,400",21,19,26
2020-12-04,35,56,58,82,68,64,"2,300",30,24,43
2020-12-03,48,58,35,96,55,68,"3,700",28,23,40
2020-12-02,9,48,65,76,63,56,"3,800",26,19,39
2020-12-01,48,58,54,74,69,65,"3,300",27,20,40
2020-11-30,13,48,27,77,65,62,"2,900",24,20,38
2020-11-29,13,29,8,64,45,42,"1,700",14,12,16
