Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,40,50,65,44,71,75,67,65,49,100,25,71
2021-03-08,37,43,54,45,74,50,71,70,74,67,28,64
2021-03-07,36,53,43,33,63,69,43,60,61,56,14,78
2021-03-06,53,71,68,35,73,64,59,90,61,144,42,89
2021-03-05,52,66,64,39,73,54,74,76,76,33,36,60
2021-03-04,35,38,58,39,56,29,55,58,44,33,42,47
2021-03-03,46,37,50,39,57,50,69,67,66,56,25,59
2021-03-02,42,46,55,44,60,43,66,53,49,78,33,47
2021-03-01,32,43,47,34,61,26,47,66,63,44,11,46
2021-02-28,32,40,38,30,61,46,44,54,61,56,19,55
2021-02-27,57,68,70,39,72,78,70,94,96,56,61,81
2021-02-26,50,50,63,38,68,58,65,77,46,56,33,72
2021-02-25,48,48,56,34,63,47,78,59,45,44,25,52
2021-02-24,34,41,57,37,49,68,59,90,65,56,36,58
2021-02-23,42,45,53,37,69,46,69,76,50,78,25,51
2021-02-22,36,38,37,34,70,40,40,75,63,89,11,29
2021-02-21,24,43,34,27,57,35,52,69,66,22,22,33
2021-02-20,43,56,60,34,65,59,56,87,65,33,42,48
2021-02-19,51,46,60,35,65,51,68,88,71,33,39,39
2021-02-18,40,43,51,32,56,36,52,70,51,56,39,40
2021-02-17,35,39,50,37,62,33,55,68,29,44,44,36
2021-02-16,29,26,44,31,46,26,43,46,45,22,31,34
2021-02-15,24,32,32,31,57,44,50,35,52,44,28,31
2021-02-14,28,45,36,26,58,53,41,50,59,33,17,42
2021-02-13,35,46,51,35,63,41,51,89,62,33,36,49
2021-02-12,43,49,72,45,67,50,84,84,74,67,19,59
2021-02-11,33,39,56,41,61,29,52,69,59,100,17,46
2021-02-10,37,41,55,42,59,31,61,63,54,11,19,40
2021-02-09,33,40,55,33,62,39,53,54,62,100,33,36
2021-02-08,29,33,38,32,57,35,52,47,49,22,25,26
2021-02-07,23,32,40,30,58,41,45,57,50,89,28,33
2021-02-06,30,38,52,30,73,56,43,54,39,67,36,40
2021-02-05,32,46,62,38,66,50,68,74,73,44,33,51
2021-02-04,35,40,60,39,67,46,52,80,45,11,31,30
2021-02-03,34,38,58,42,67,43,52,55,50,56,31,46
2021-02-02,36,38,62,42,71,47,61,62,65,0,56,36
2021-02-01,27,39,50,36,56,35,67,52,49,100,22,30
2021-01-31,20,34,30,26,46,30,41,28,35,22,22,23
2021-01-30,29,50,48,41,69,50,52,66,60,89,50,42
2021-01-29,30,51,66,44,59,50,52,71,67,78,47,43
2021-01-28,32,37,64,36,54,46,55,65,40,0,22,38
2021-01-27,31,36,53,42,59,33,62,44,62,78,19,31
2021-01-26,26,38,46,42,55,37,48,58,49,0,22,30
2021-01-25,24,35,45,38,64,45,57,62,55,33,33,38
2021-01-24,18,39,34,34,59,41,41,65,48,78,8,27
2021-01-23,25,47,56,39,68,48,55,60,54,111,44,49
2021-01-22,23,40,65,46,61,39,58,59,82,56,39,41
2021-01-21,25,35,54,42,62,43,52,59,57,0,28,40
2021-01-20,31,34,41,40,49,39,61,40,45,44,11,27
2021-01-19,28,33,56,46,60,28,51,52,33,0,36,37
2021-01-18,25,35,43,48,58,50,72,58,57,56,6,50
2021-01-17,22,45,35,45,55,43,48,50,40,44,8,56
2021-01-16,28,58,54,51,70,47,45,54,57,89,25,53
2021-01-15,32,50,53,56,71,39,92,82,56,33,47,48
2021-01-14,29,40,54,50,58,50,69,64,48,0,19,36
2021-01-13,30,37,50,53,52,34,63,56,48,89,36,36
2021-01-12,32,36,49,46,67,36,66,59,35,0,28,32
2021-01-11,33,30,38,39,59,44,55,43,52,44,22,26
2021-01-10,23,27,30,29,56,50,52,44,43,56,22,32
2021-01-09,31,41,44,34,66,50,45,58,71,100,22,40
2021-01-08,34,40,51,33,65,49,45,58,59,44,22,44
2021-01-07,23,33,46,33,57,42,44,62,29,0,28,30
2021-01-06,30,29,50,36,55,54,53,67,45,33,28,29
2021-01-05,24,27,48,32,57,49,55,50,45,0,22,26
2021-01-04,26,32,42,37,61,47,54,63,51,67,8,30
