Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,32,48,75,49,57,63,134,67,68,54,57,74,58,33
2021-03-08,28,38,61,43,69,71,114,59,60,52,62,69,59,33
2021-03-07,17,53,57,36,76,72,94,61,70,65,81,1,62,31
2021-03-06,26,85,91,52,69,76,120,63,87,78,95,1,76,34
2021-03-05,29,67,77,51,56,54,103,74,75,63,74,73,68,25
2021-03-04,26,42,63,42,58,66,81,52,63,46,37,66,57,16
2021-03-03,26,48,67,41,60,63,93,60,74,48,59,68,56,20
2021-03-02,27,39,66,43,59,63,88,55,68,52,59,67,56,20
2021-03-01,23,33,59,39,58,48,78,54,69,47,62,67,51,15
2021-02-28,20,51,53,31,78,78,80,52,59,50,74,1,56,18
2021-02-27,28,76,92,51,81,74,108,68,82,68,108,1,87,23
2021-02-26,32,59,79,45,65,56,82,68,82,60,75,66,65,19
2021-02-25,28,49,67,46,62,47,98,67,75,60,51,64,56,19
2021-02-24,25,39,68,44,52,49,90,62,67,59,64,65,56,20
2021-02-23,26,41,71,43,59,71,110,64,67,51,59,66,55,22
2021-02-22,25,39,60,45,68,57,122,56,52,49,57,68,55,22
2021-02-21,17,45,51,32,69,74,91,46,65,48,72,0,52,16
2021-02-20,25,67,78,43,79,93,103,67,87,66,102,1,68,19
2021-02-19,29,58,78,48,61,47,117,64,73,57,65,69,58,19
2021-02-18,27,45,62,42,54,48,130,55,59,51,38,71,51,22
2021-02-17,29,59,78,51,61,64,246,68,56,50,44,86,51,52
2021-02-16,19,48,55,36,35,31,175,48,39,33,27,66,31,31
2021-02-15,19,50,58,43,43,46,218,46,35,38,35,75,40,35
2021-02-14,17,71,60,34,59,56,177,47,48,51,62,1,53,28
2021-02-13,20,74,75,41,69,63,211,59,60,46,68,1,59,37
2021-02-12,28,76,87,55,70,54,251,70,74,64,74,91,65,47
2021-02-11,25,65,75,52,55,61,221,70,63,45,37,90,51,47
2021-02-10,23,50,66,47,58,56,201,60,58,43,52,86,49,41
2021-02-09,22,43,65,46,52,64,101,53,62,56,58,66,51,19
2021-02-08,19,33,52,35,47,43,84,42,50,32,42,65,45,19
2021-02-07,12,41,41,31,71,54,63,37,47,31,47,0,45,14
2021-02-06,17,58,65,37,80,69,56,55,65,53,83,0,62,14
2021-02-05,22,57,73,47,67,58,90,56,68,47,64,69,59,17
2021-02-04,22,42,58,42,58,63,85,51,56,45,42,71,49,19
2021-02-03,20,43,61,43,66,68,82,59,60,46,63,65,55,18
2021-02-02,21,37,60,40,61,65,81,53,67,46,49,63,51,18
2021-02-01,20,32,53,38,57,51,79,47,54,44,50,61,47,18
2021-01-31,15,33,32,24,30,23,65,27,33,25,27,0,30,15
2021-01-30,16,57,69,41,85,70,69,55,59,58,94,0,67,13
2021-01-29,20,48,66,42,69,57,90,53,74,53,66,67,57,18
2021-01-28,20,42,57,41,52,65,82,56,60,45,38,68,50,19
2021-01-27,20,38,58,38,55,49,86,53,65,44,51,64,49,19
2021-01-26,19,36,50,36,43,42,96,45,50,38,38,64,42,20
2021-01-25,19,32,52,42,69,76,90,64,55,48,60,71,54,21
2021-01-24,13,44,44,31,71,66,61,52,53,42,70,0,51,15
2021-01-23,20,59,70,39,83,84,75,60,69,58,96,0,69,18
2021-01-22,20,50,61,46,68,67,97,59,64,54,64,66,60,20
2021-01-21,20,43,61,46,50,45,99,66,62,56,41,65,53,21
2021-01-20,18,36,50,40,54,53,81,47,49,46,51,62,47,16
2021-01-19,20,32,58,39,55,68,75,49,50,40,53,65,48,18
2021-01-18,18,32,61,37,76,61,65,53,51,46,81,69,62,20
2021-01-17,11,45,49,31,66,68,59,45,58,46,68,0,54,19
