Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,65,95,76,78,76,56,113,31,70,60,67,86,71
2021-03-08,71,86,71,73,75,59,86,28,71,58,70,66,58
2021-03-07,32,71,56,20,73,67,65,22,55,58,89,28,38
2021-03-06,32,66,90,44,77,60,76,27,77,75,107,41,83
2021-03-05,55,93,82,77,81,69,97,31,86,64,81,83,44
2021-03-04,42,73,64,64,78,60,70,22,66,60,25,48,50
2021-03-03,39,75,78,82,78,70,95,26,75,61,74,103,54
2021-03-02,55,63,64,68,69,58,80,23,65,63,67,110,50
2021-03-01,71,43,67,68,69,59,69,23,66,63,67,55,42
2021-02-28,26,57,53,16,75,57,54,22,64,50,51,66,46
2021-02-27,39,88,82,38,72,61,67,34,70,66,97,79,65
2021-02-26,39,68,85,57,69,59,85,33,75,75,91,59,52
2021-02-25,42,66,80,56,64,54,82,35,71,64,32,107,73
2021-02-24,48,64,77,81,73,59,83,31,71,57,72,52,46
2021-02-23,55,52,65,71,68,57,79,29,69,61,47,103,60
2021-02-22,35,59,70,64,70,58,77,24,62,50,62,124,56
2021-02-21,29,45,50,17,64,58,52,22,54,55,59,45,38
2021-02-20,35,57,72,40,77,60,68,24,70,69,86,62,62
2021-02-19,65,86,82,63,77,53,82,34,70,62,69,76,67
2021-02-18,68,48,77,49,74,49,69,37,59,50,23,69,42
2021-02-17,77,41,77,46,64,48,61,21,60,60,63,224,35
2021-02-16,74,32,53,18,50,38,47,18,41,34,33,131,35
2021-02-15,65,46,60,27,56,39,54,16,43,45,34,169,40
2021-02-14,42,52,54,10,73,52,45,21,44,44,62,159,60
2021-02-13,45,57,79,26,75,64,53,24,55,60,93,186,42
2021-02-12,61,80,95,63,87,65,84,42,76,71,101,193,58
2021-02-11,71,54,79,69,69,59,65,20,60,66,30,183,48
2021-02-10,65,61,70,59,65,61,67,19,61,54,53,169,63
2021-02-09,65,57,63,54,69,48,70,28,53,48,56,83,46
2021-02-08,58,39,55,58,64,50,64,23,42,40,56,38,52
2021-02-07,39,21,46,13,71,53,37,21,40,45,65,38,37
2021-02-06,29,63,66,37,78,67,63,25,56,63,76,59,56
2021-02-05,48,63,65,52,71,60,77,26,61,55,66,48,44
2021-02-04,58,57,66,61,83,64,74,28,58,49,29,38,48
2021-02-03,52,88,73,58,81,62,82,36,66,54,62,55,58
2021-02-02,48,52,63,64,79,61,71,27,58,52,44,55,62
2021-02-01,35,43,55,62,63,60,69,23,52,54,50,62,25
2021-01-31,32,18,33,5,38,32,50,9,29,27,21,21,37
2021-01-30,39,75,76,44,88,75,67,25,62,53,73,62,117
2021-01-29,48,89,71,71,72,57,80,23,69,55,53,69,44
2021-01-28,45,59,61,73,63,53,76,30,56,61,20,79,77
2021-01-27,52,38,63,73,64,62,76,22,53,47,55,72,50
2021-01-26,52,50,52,56,59,49,75,22,46,43,50,52,35
2021-01-25,45,70,50,57,87,64,72,22,53,50,56,83,54
2021-01-24,35,38,46,24,74,59,42,18,48,46,62,52,50
2021-01-23,55,61,71,39,80,65,59,29,63,54,87,69,44
2021-01-22,52,70,68,74,78,62,89,34,67,53,78,59,65
2021-01-21,71,54,66,73,72,64,91,28,71,64,22,93,40
2021-01-20,55,55,59,64,75,57,68,31,56,49,60,55,38
2021-01-19,39,43,56,59,72,56,64,25,53,59,54,45,44
2021-01-18,42,30,51,71,74,60,69,24,57,45,58,24,46
2021-01-17,32,27,48,24,78,62,48,23,57,48,48,28,42
2021-01-16,29,57,68,36,77,61,54,27,61,56,102,38,44
2021-01-15,61,63,76,78,67,58,75,24,65,60,83,48,46
2021-01-14,55,39,66,55,73,57,74,31,68,57,31,45,58
2021-01-13,48,71,64,76,73,64,79,28,65,54,73,34,46
2021-01-12,55,43,60,61,75,62,79,26,63,55,71,59,63
2021-01-11,26,45,58,67,78,54,70,35,58,55,70,62,52
2021-01-10,35,30,48,33,76,76,57,23,58,59,65,34,31
2021-01-09,19,43,75,44,81,75,57,31,73,68,95,38,54
2021-01-08,32,61,70,61,74,59,83,28,74,68,74,69,71
2021-01-07,48,57,60,75,81,62,72,33,69,60,68,52,58
2021-01-06,65,45,60,68,70,72,77,32,68,61,55,52,37
2021-01-05,68,50,60,65,86,65,77,25,67,61,62,66,62
2021-01-04,48,39,56,73,77,70,72,28,65,69,60,52,42
2021-01-03,32,32,42,23,71,68,46,19,57,45,72,34,58
2021-01-02,29,46,58,42,70,74,55,28,68,57,100,41,77
2021-01-01,35,23,43,37,63,50,51,10,50,38,46,21,31
2020-12-31,58,41,79,51,122,84,90,31,81,67,130,72,67
2020-12-30,55,46,70,77,92,72,79,27,76,66,108,41,56
2020-12-29,48,63,65,51,80,67,91,26,70,60,77,76,63
2020-12-28,32,29,57,64,71,64,82,33,67,59,62,72,48
2020-12-27,55,21,42,16,69,60,52,21,62,57,54,41,37
2020-12-26,32,57,59,27,68,67,65,26,57,51,86,34,33
2020-12-25,35,34,36,32,11,6,51,17,26,31,27,41,29
2020-12-24,55,68,86,55,121,107,99,40,83,83,195,72,100
2020-12-23,45,105,77,77,103,97,107,36,75,71,129,72,100
2020-12-22,48,64,70,63,92,78,97,28,74,61,93,59,62
2020-12-21,39,96,65,68,84,74,88,34,70,59,99,48,42
