Category,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,67,80,61,52,159,69,66,92,50,37,59
2021-03-08,0,77,61,57,135,61,60,85,0,19,61
2021-03-07,33,44,61,54,82,50,53,87,0,17,42
2021-03-06,0,77,67,66,100,71,60,81,0,38,47
2021-03-05,33,77,66,56,141,81,69,91,50,40,85
2021-03-04,33,68,72,68,76,81,50,87,50,25,63
2021-03-03,0,96,80,71,147,80,77,81,0,43,79
2021-03-02,33,67,63,60,82,69,63,91,50,32,64
2021-03-01,0,70,67,67,59,63,55,82,0,49,86
2021-02-28,33,45,42,37,71,41,61,78,50,31,42
2021-02-27,33,96,58,60,59,61,65,66,150,58,81
2021-02-26,67,105,64,46,94,68,79,89,0,81,91
2021-02-25,0,89,67,62,129,52,77,96,50,93,80
2021-02-24,67,102,64,56,124,61,64,87,50,107,84
2021-02-23,0,100,83,88,100,74,69,109,150,156,108
2021-02-22,33,127,70,76,106,54,60,85,50,199,122
2021-02-21,33,64,52,48,112,48,50,84,0,120,64
2021-02-20,33,92,69,70,71,67,64,68,50,135,89
2021-02-19,33,102,98,96,106,82,63,94,100,194,119
2021-02-18,0,75,70,55,112,62,55,76,0,66,81
2021-02-17,0,58,56,49,65,41,37,62,0,30,50
2021-02-16,0,39,33,30,82,32,33,23,0,13,34
2021-02-15,0,37,50,45,94,39,31,56,0,14,42
2021-02-14,67,52,41,35,59,51,36,52,0,14,26
2021-02-13,100,61,41,31,82,47,44,71,50,24,43
2021-02-12,0,71,67,55,94,61,58,66,0,19,65
2021-02-11,100,67,65,55,82,46,48,61,50,23,67
2021-02-10,0,79,56,49,88,50,40,61,50,29,33
2021-02-09,33,73,67,59,118,52,53,54,0,22,57
2021-02-08,0,63,55,47,153,42,31,53,50,20,29
2021-02-07,33,50,45,42,141,39,35,35,0,13,26
2021-02-06,33,63,52,45,71,42,49,53,0,11,31
2021-02-05,0,69,61,54,147,46,40,51,0,23,50
2021-02-04,67,62,57,51,135,46,44,63,50,26,50
2021-02-03,0,85,57,53,59,54,47,56,200,23,65
2021-02-02,0,58,59,54,135,57,52,70,0,27,53
2021-02-01,0,45,48,47,88,63,38,62,50,19,57
2021-01-31,0,38,23,27,47,23,16,30,0,13,26
2021-01-30,33,60,59,56,88,35,55,68,0,12,42
2021-01-29,33,64,65,52,71,60,59,63,50,22,64
2021-01-28,0,65,46,45,100,54,44,59,50,24,59
2021-01-27,67,58,53,47,82,51,49,54,0,25,55
2021-01-26,33,46,58,49,82,48,46,59,50,20,51
2021-01-25,100,57,55,44,124,48,46,65,0,16,43
2021-01-24,33,60,54,47,165,52,42,53,0,10,34
2021-01-23,33,61,48,47,112,60,50,63,0,13,39
2021-01-22,67,68,61,51,135,55,49,70,0,17,58
2021-01-21,0,99,89,81,118,65,59,82,100,32,60
2021-01-20,33,79,58,47,182,42,47,68,0,16,48
2021-01-19,0,55,64,58,153,60,49,67,0,22,43
2021-01-18,33,60,59,51,112,43,42,67,0,14,43
2021-01-17,33,60,46,37,59,38,44,58,0,15,30
2021-01-16,33,54,45,45,124,47,43,46,0,15,45
2021-01-15,33,89,66,67,94,51,59,68,0,23,57
2021-01-14,100,73,63,57,112,66,61,78,0,20,59
2021-01-13,0,79,79,75,100,69,65,59,0,20,72
2021-01-12,33,77,70,68,112,42,59,84,0,16,57
2021-01-11,0,74,70,70,124,65,40,62,0,23,58
2021-01-10,0,48,50,48,88,53,52,58,0,11,33
2021-01-09,67,95,61,54,94,55,58,66,50,13,47
2021-01-08,67,86,58,60,76,55,66,95,0,23,67
2021-01-07,0,85,55,55,100,60,59,63,50,18,53
2021-01-06,33,69,58,57,94,67,54,65,50,15,53
2021-01-05,0,77,65,64,112,61,60,71,0,16,54
2021-01-04,133,81,67,62,94,75,58,77,0,14,67
2021-01-03,0,44,39,33,59,46,52,57,0,7,25
2021-01-02,100,50,57,55,94,54,58,62,50,13,43
2021-01-01,0,55,24,13,35,36,41,43,50,11,25
2020-12-31,67,89,86,75,53,68,56,54,50,13,67
2020-12-30,0,75,57,42,106,61,74,58,50,15,61
2020-12-29,100,90,57,51,71,48,69,56,100,17,58
2020-12-28,67,80,71,64,100,66,66,81,50,14,51
2020-12-27,0,56,39,36,94,33,45,57,50,7,30
2020-12-26,33,81,50,55,82,47,48,41,0,9,48
2020-12-25,33,52,12,15,76,55,32,24,0,10,19
2020-12-24,33,89,70,53,106,64,60,51,0,16,57
2020-12-23,33,86,74,56,106,61,63,59,50,16,58
2020-12-22,33,94,52,48,112,72,68,70,0,15,61
2020-12-21,33,57,63,55,88,48,50,58,0,20,57
2020-12-20,0,60,48,34,71,40,59,59,50,10,49
2020-12-19,0,74,58,59,65,59,63,58,0,16,50
2020-12-18,0,75,56,53,100,48,63,58,0,15,68
2020-12-17,0,71,64,60,47,60,52,57,50,16,62
2020-12-16,0,55,60,53,129,54,61,46,50,16,58
2020-12-15,33,55,47,45,100,53,47,44,0,18,40
2020-12-14,0,43,51,43,135,43,38,48,0,11,35
2020-12-13,33,42,45,35,94,43,38,30,0,7,27
2020-12-12,33,51,51,45,106,42,44,59,50,10,41
2020-12-11,33,67,61,54,106,45,49,63,0,17,64
2020-12-10,67,50,64,64,135,61,60,54,100,16,42
2020-12-09,33,68,68,47,129,53,57,57,50,18,48
2020-12-08,33,44,60,56,94,59,51,47,0,15,40
2020-12-07,0,63,67,68,147,59,62,59,0,22,50
2020-12-06,33,50,52,49,94,32,49,43,50,13,26
2020-12-05,33,61,58,62,112,67,68,65,0,13,45
2020-12-04,0,61,83,78,112,68,61,70,0,26,79
2020-12-03,33,64,77,69,165,66,75,59,0,26,74
2020-12-02,0,77,72,65,94,67,60,84,0,22,62
2020-12-01,33,44,77,74,112,66,76,62,0,21,57
2020-11-30,33,55,69,63,94,62,52,58,0,20,57
2020-11-29,33,48,42,40,76,46,51,51,50,10,35
2020-11-28,33,61,59,60,118,46,55,54,100,19,40
2020-11-27,0,58,42,36,112,47,44,56,0,16,46
2020-11-26,0,58,44,22,124,38,28,38,0,11,30
2020-11-25,0,73,95,73,118,48,60,48,0,22,50
2020-11-24,0,62,77,62,118,50,72,53,50,20,57
2020-11-23,100,52,66,62,82,61,58,49,0,28,61
2020-11-22,0,49,61,62,82,40,57,44,0,13,29
2020-11-21,0,60,60,45,71,50,62,68,0,22,34
2020-11-20,0,68,89,37,106,61,71,76,0,25,61
2020-11-19,67,76,68,10,112,69,60,66,0,23,69
2020-11-18,0,64,83,0,100,58,50,72,50,20,60
2020-11-17,0,65,65,0,106,49,73,57,0,25,47
2020-11-16,67,60,61,0,100,59,59,48,0,22,63
2020-11-15,33,33,50,0,53,45,42,47,0,13,29
2020-11-14,0,75,58,0,135,54,49,67,0,19,43
2020-11-13,0,56,73,0,135,82,69,82,0,28,71
2020-11-12,33,81,69,0,135,72,72,67,0,25,68
2020-11-11,0,46,68,0,82,72,73,76,0,22,43
2020-11-10,33,67,68,0,129,69,62,56,50,24,53
2020-11-09,33,57,61,0,118,59,59,80,50,24,56
2020-11-08,0,54,55,0,94,49,52,51,100,9,40
2020-11-07,0,63,64,0,141,52,61,52,0,15,56
2020-11-06,33,68,74,0,118,58,66,82,0,24,72
2020-11-05,0,74,73,0,100,64,73,86,0,26,65
2020-11-04,67,67,64,0,88,81,60,62,0,19,79
2020-11-03,33,75,67,0,182,61,72,62,100,22,81
2020-11-02,0,52,71,0,135,60,53,66,0,26,58
2020-11-01,33,45,48,0,124,48,47,62,50,14,27
2020-10-31,33,58,80,0,88,72,59,85,0,25,55
2020-10-30,0,71,79,0,106,60,77,72,0,24,72
2020-10-29,33,69,57,0,112,68,60,81,50,20,57
2020-10-28,0,67,75,0,65,64,62,65,50,19,63
2020-10-27,33,46,65,0,112,67,60,61,0,20,55
2020-10-26,0,57,70,0,88,57,50,48,50,17,60
2020-10-25,33,49,63,0,65,49,50,46,0,12,40
2020-10-24,33,62,55,0,82,50,66,66,0,19,44
2020-10-23,33,55,71,0,71,79,64,75,0,20,71
2020-10-22,33,61,69,0,118,66,60,81,0,30,64
2020-10-21,67,64,69,0,100,54,49,71,0,14,57
2020-10-20,33,42,70,0,76,67,62,65,50,17,55
2020-10-19,133,54,58,0,94,62,48,63,50,21,52
