Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,102,64,144,200,97,82,106,76,129,180,84,59
2021-03-08,121,18,140,167,64,69,105,74,137,380,37,57
2021-03-07,85,9,110,120,97,0,94,77,107,240,66,80
2021-03-06,100,36,157,100,94,0,107,86,158,160,158,92
2021-03-05,92,9,121,160,83,78,95,98,145,120,155,66
2021-03-04,70,9,113,140,72,67,92,69,123,340,58,56
2021-03-03,67,9,86,133,111,79,81,69,118,40,168,58
2021-03-02,114,27,135,193,75,66,98,76,125,240,103,52
2021-03-01,89,27,85,127,89,68,101,67,119,120,132,55
2021-02-28,50,45,91,40,83,0,79,69,110,140,121,69
2021-02-27,71,64,121,67,83,0,90,80,166,140,187,83
2021-02-26,83,73,118,147,119,78,87,82,140,80,174,61
2021-02-25,67,64,109,93,75,71,101,78,119,180,126,56
2021-02-24,92,73,108,127,83,73,95,68,108,220,97,54
2021-02-23,80,9,95,80,83,71,83,67,115,200,108,53
2021-02-22,77,55,81,160,64,68,76,58,112,120,161,48
2021-02-21,48,9,72,40,72,0,61,52,85,40,134,62
2021-02-20,58,64,96,60,117,0,80,69,112,40,200,71
2021-02-19,67,18,97,67,67,68,99,81,117,140,176,53
2021-02-18,45,0,67,87,58,67,66,57,99,60,171,45
2021-02-17,65,9,50,53,61,60,72,51,64,0,129,43
2021-02-16,42,27,55,40,67,32,40,42,60,40,108,35
2021-02-15,42,9,45,67,44,47,49,46,66,20,108,38
2021-02-14,23,82,58,13,75,0,76,47,70,80,121,52
2021-02-13,35,64,60,20,89,0,71,59,71,60,58,60
2021-02-12,50,45,89,60,117,61,78,73,122,80,95,54
2021-02-11,38,0,67,107,56,62,73,64,86,40,145,47
2021-02-10,42,27,56,80,61,59,73,58,86,60,105,51
2021-02-09,33,45,59,73,100,61,71,58,83,60,97,49
2021-02-08,38,0,50,27,67,57,60,48,80,20,87,45
2021-02-07,23,100,53,13,56,0,38,40,59,40,137,43
2021-02-06,17,45,67,20,78,0,64,53,91,40,126,56
2021-02-05,42,45,66,53,81,65,61,64,96,0,168,55
2021-02-04,38,36,62,47,81,68,61,55,99,0,161,42
2021-02-03,41,18,68,53,92,65,72,59,98,20,161,50
2021-02-02,50,9,59,20,75,60,62,56,82,40,111,45
2021-02-01,36,9,60,40,72,60,74,50,70,20,68,48
2021-01-31,18,18,45,7,39,0,26,33,50,80,53,29
2021-01-30,33,9,90,7,108,0,64,61,80,0,134,67
2021-01-29,33,36,76,7,78,64,65,71,92,40,124,55
2021-01-28,47,45,65,27,81,58,62,63,71,0,150,47
2021-01-27,53,36,61,33,94,57,59,55,74,40,84,45
2021-01-26,47,36,46,47,75,48,49,45,54,80,89,35
2021-01-25,56,18,65,100,128,62,64,49,83,60,87,45
2021-01-24,35,45,69,13,147,0,54,63,75,20,66,56
2021-01-23,39,55,88,40,103,0,76,64,119,80,84,68
2021-01-22,45,64,71,80,67,68,69,76,95,40,97,54
2021-01-21,59,36,73,73,75,64,68,63,73,140,113,44
2021-01-20,36,36,51,60,64,62,54,45,88,100,76,45
2021-01-19,39,27,52,100,89,61,72,53,79,80,113,44
2021-01-18,29,9,61,7,81,49,59,51,84,40,147,45
2021-01-17,26,27,61,0,89,0,63,51,71,0,126,55
2021-01-16,38,36,72,13,97,0,65,57,82,100,100,60
2021-01-15,52,9,72,73,64,63,70,60,90,20,66,48
