Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,QSR,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,74,206,184,47,237,455,77,292,955,235,50
2021-03-08,83,139,170,47,279,528,85,369,"1,073",271,150
2021-03-07,54,103,117,47,187,266,61,231,827,180,100
2021-03-06,70,106,144,63,168,337,88,292,755,219,50
2021-03-05,79,148,160,45,250,430,81,369,"1,036",241,100
2021-03-04,69,112,134,54,0,363,75,200,745,201,50
2021-03-03,52,61,86,55,61,121,69,69,227,91,100
2021-03-02,66,121,122,65,276,361,80,223,709,178,100
2021-03-01,37,48,72,41,142,92,59,38,118,90,100
2021-02-28,40,55,79,54,63,87,60,54,245,86,100
2021-02-27,50,82,114,65,76,121,68,185,273,133,50
2021-02-26,58,85,105,67,97,163,72,85,236,113,200
2021-02-25,50,109,101,56,0,207,58,123,409,125,0
2021-02-24,51,82,90,44,68,170,62,108,336,114,0
2021-02-23,48,82,93,54,68,163,57,131,273,89,100
2021-02-22,43,42,69,55,53,157,46,62,227,78,0
2021-02-21,22,52,60,38,34,76,63,38,109,75,50
2021-02-20,34,55,85,64,126,81,68,62,136,64,0
2021-02-19,48,52,89,59,134,176,59,115,255,98,50
2021-02-18,37,42,83,62,0,91,50,62,127,61,50
2021-02-17,39,48,63,56,126,113,45,85,273,75,100
2021-02-16,32,55,55,36,71,58,30,31,91,45,150
2021-02-15,35,33,55,33,61,69,30,69,145,44,50
2021-02-14,21,33,53,49,58,50,40,77,127,56,0
2021-02-13,32,58,87,45,108,85,49,85,173,98,100
2021-02-12,56,52,104,64,192,190,64,177,345,150,50
2021-02-11,44,76,83,55,0,124,61,146,255,84,100
2021-02-10,45,45,73,44,189,131,43,69,236,84,0
2021-02-09,40,36,69,58,205,131,44,92,245,97,50
2021-02-08,36,45,60,44,74,121,40,54,200,76,150
2021-02-07,25,55,46,44,84,128,27,85,164,75,50
2021-02-06,25,27,67,58,76,88,43,62,155,72,0
2021-02-05,36,45,71,51,124,161,56,131,209,94,250
2021-02-04,37,52,67,56,0,80,47,46,136,61,200
2021-02-03,39,55,72,60,92,80,52,69,109,70,50
2021-02-02,37,30,55,46,126,72,48,38,145,52,0
2021-02-01,30,45,56,73,63,56,41,38,91,71,50
2021-01-31,19,33,33,31,24,16,24,8,55,30,0
2021-01-30,32,42,61,59,53,27,53,62,73,60,100
2021-01-29,42,42,77,53,74,67,60,38,127,85,0
2021-01-28,39,33,62,58,0,56,58,54,73,62,100
2021-01-27,34,24,63,55,97,63,51,77,109,53,200
2021-01-26,34,24,42,32,84,50,40,46,127,40,150
2021-01-25,31,36,51,68,82,49,41,23,82,61,100
2021-01-24,21,24,40,47,53,17,36,46,55,32,100
2021-01-23,27,36,67,46,97,19,54,77,82,72,50
2021-01-22,37,33,76,72,116,64,54,54,118,76,150
2021-01-21,39,55,71,53,0,63,55,46,55,57,100
2021-01-20,34,36,57,44,42,53,44,62,45,52,150
2021-01-19,32,36,50,49,34,55,48,31,55,51,250
2021-01-18,29,36,61,50,32,44,44,23,73,54,0
2021-01-17,25,33,36,44,84,22,44,23,55,49,50
2021-01-16,32,39,70,58,66,31,51,38,55,66,0
2021-01-15,37,24,69,58,53,58,50,54,136,50,50
2021-01-14,36,33,59,44,0,68,50,69,73,60,50
2021-01-13,30,30,63,58,97,56,53,54,91,58,100
2021-01-12,35,39,57,65,66,57,38,31,91,53,50
2021-01-11,33,48,42,50,92,45,42,38,73,38,150
2021-01-10,19,42,40,58,92,18,36,38,45,36,150
2021-01-09,31,36,73,76,61,20,63,8,36,75,50
2021-01-08,30,52,71,59,87,55,56,108,73,64,100
2021-01-07,34,52,57,56,0,56,54,54,82,53,200
2021-01-06,32,55,58,74,116,58,64,46,64,55,100
2021-01-05,35,42,57,63,92,44,55,46,55,51,50
2021-01-04,39,58,53,64,74,52,59,46,55,48,100
2021-01-03,20,48,32,44,79,19,43,31,55,40,50
2021-01-02,29,24,61,51,89,24,56,85,27,49,50
2021-01-01,19,24,39,42,50,32,47,46,36,48,50
2020-12-31,37,45,73,62,0,58,67,115,91,86,200
2020-12-30,33,30,70,64,66,49,52,123,73,69,50
2020-12-29,35,42,58,60,42,57,46,31,45,49,100
2020-12-28,31,39,53,63,47,46,53,46,82,55,150
2020-12-27,25,30,30,42,47,14,37,54,55,46,50
2020-12-26,28,48,47,38,53,18,42,15,27,44,50
2020-12-25,22,45,35,17,13,35,38,46,18,30,50
2020-12-24,31,52,73,67,0,53,76,138,82,84,150
2020-12-23,42,61,79,72,76,80,62,62,145,72,350
2020-12-22,36,24,81,55,45,71,60,131,127,72,150
2020-12-21,37,42,50,40,79,49,63,46,73,57,50
2020-12-20,31,48,35,47,55,15,56,38,64,60,100
2020-12-19,36,24,70,45,53,13,63,69,27,56,100
2020-12-18,34,42,64,55,63,50,60,46,91,54,100
2020-12-17,37,45,52,73,0,51,50,46,91,63,100
2020-12-16,30,42,47,49,74,44,49,15,64,43,0
2020-12-15,34,24,37,53,76,45,49,31,55,37,50
2020-12-14,36,24,43,36,63,42,48,31,91,32,100
2020-12-13,19,18,30,50,42,10,29,54,18,36,0
2020-12-12,27,24,49,44,53,15,47,31,45,50,100
2020-12-11,36,36,52,45,68,46,51,62,64,38,50
2020-12-10,33,36,59,42,0,48,45,8,127,49,100
2020-12-09,29,67,60,63,105,49,51,38,91,56,50
2020-12-08,35,42,51,68,111,47,55,23,64,59,50
2020-12-07,38,30,56,58,121,54,58,23,73,62,150
2020-12-06,23,30,33,68,76,17,36,23,64,51,100
2020-12-05,29,45,53,65,95,20,54,31,64,76,150
2020-12-04,37,24,60,65,100,54,68,46,64,76,50
2020-12-03,37,42,52,73,0,44,65,38,55,66,50
2020-12-02,36,33,52,49,45,53,53,46,91,60,50
2020-12-01,33,45,56,62,95,54,59,46,73,65,0
2020-11-30,30,42,44,69,63,37,53,38,45,43,0
2020-11-29,21,24,34,41,58,14,43,8,36,39,150
2020-11-28,33,39,59,40,63,23,48,62,64,62,50
2020-11-27,27,33,54,49,68,40,38,54,55,60,100
2020-11-26,25,24,55,50,0,41,38,46,27,52,100
2020-11-25,31,36,63,81,137,55,52,38,91,55,50
2020-11-24,45,27,63,55,118,59,51,46,36,60,100
2020-11-23,36,36,54,54,97,42,48,62,64,55,150
2020-11-22,22,12,40,51,74,10,40,15,36,51,0
