Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,0,54,74,78,42,321,36,75,77,85,53,79,127
2021-03-08,100,43,68,64,44,191,30,74,75,93,40,63,124
2021-03-07,0,43,60,58,41,141,41,67,73,68,25,60,2
2021-03-06,100,46,83,64,44,200,35,74,78,115,39,73,6
2021-03-05,100,71,91,82,43,167,38,83,70,71,43,81,134
2021-03-04,0,50,66,72,40,121,8,79,77,71,38,66,131
2021-03-03,0,64,80,82,41,98,27,75,82,78,43,69,115
2021-03-02,0,54,68,86,41,159,26,75,75,85,42,63,118
2021-03-01,0,36,66,73,38,230,23,76,83,80,35,64,107
2021-02-28,0,39,57,45,34,236,31,59,63,76,26,56,3
2021-02-27,100,79,85,77,40,260,47,76,80,112,35,75,6
2021-02-26,0,79,93,58,54,224,36,91,82,105,37,76,118
2021-02-25,0,54,73,63,32,246,42,69,61,83,39,62,117
2021-02-24,0,50,75,64,32,256,31,74,80,63,36,73,114
2021-02-23,0,46,70,65,30,229,42,65,69,66,36,60,110
2021-02-22,0,29,72,64,33,195,41,70,74,56,36,61,92
2021-02-21,0,54,54,47,36,189,36,55,59,63,23,47,3
2021-02-20,0,75,77,49,44,197,28,78,73,93,36,68,0
2021-02-19,0,71,79,58,40,217,32,69,83,76,44,69,109
2021-02-18,0,89,75,63,34,196,34,60,79,54,44,61,87
2021-02-17,0,43,65,60,34,149,12,60,49,54,41,59,88
2021-02-16,0,29,46,32,23,204,12,36,29,29,30,38,61
2021-02-15,0,32,43,42,26,287,16,38,47,27,31,46,70
2021-02-14,0,54,45,36,33,152,24,49,34,51,27,44,1
2021-02-13,100,61,68,33,39,169,16,52,53,80,34,59,1
2021-02-12,0,86,89,65,41,214,59,68,65,68,49,67,106
2021-02-11,100,57,62,63,41,172,16,56,65,78,48,56,89
2021-02-10,100,46,67,70,37,193,20,59,62,66,44,58,80
2021-02-09,100,61,60,58,35,135,26,58,69,51,38,55,85
2021-02-08,0,50,49,45,33,142,20,41,57,37,31,50,72
2021-02-07,0,64,50,35,30,179,23,40,33,68,24,46,2
2021-02-06,0,64,66,53,38,186,27,63,55,95,31,59,1
2021-02-05,300,61,82,46,39,180,28,63,55,61,45,62,96
2021-02-04,0,29,64,50,34,216,35,56,61,27,42,57,99
2021-02-03,0,43,69,58,40,133,35,62,67,54,38,66,98
2021-02-02,0,36,68,70,37,133,30,70,52,46,44,63,94
2021-02-01,100,50,61,50,35,114,36,53,41,32,35,56,82
2021-01-31,0,29,39,27,20,155,14,35,29,24,17,33,2
2021-01-30,0,61,72,48,40,93,38,60,62,85,34,65,2
2021-01-29,100,64,72,53,38,147,32,72,78,56,48,66,98
2021-01-28,100,79,78,53,38,293,26,63,77,71,44,59,81
2021-01-27,0,32,65,70,35,127,45,61,59,68,42,53,88
2021-01-26,0,43,64,46,30,149,32,49,45,51,36,50,72
2021-01-25,0,39,68,56,34,157,24,56,64,76,38,56,82
2021-01-24,0,46,52,36,34,64,26,43,57,54,22,50,2
2021-01-23,100,50,66,52,40,101,24,65,50,88,31,63,2
2021-01-22,200,39,82,60,42,141,34,78,86,73,46,69,100
2021-01-21,100,46,74,72,38,159,45,66,57,76,44,67,89
2021-01-20,100,50,66,57,39,124,28,64,68,90,43,56,85
2021-01-19,0,54,66,55,32,117,28,57,53,63,37,56,91
2021-01-18,200,29,55,65,28,116,30,54,55,73,31,56,71
2021-01-17,0,36,58,42,29,133,28,45,47,63,24,47,2
2021-01-16,0,71,71,49,27,127,19,61,57,100,26,62,3
2021-01-15,100,43,79,68,27,183,30,63,65,73,41,66,107
2021-01-14,400,64,77,61,29,129,34,64,64,34,37,60,93
2021-01-13,200,32,76,67,31,142,38,68,52,54,37,61,100
2021-01-12,100,36,75,61,30,170,39,63,63,80,42,59,101
2021-01-11,0,71,69,65,31,174,28,64,67,49,35,56,97
2021-01-10,0,25,53,46,35,402,20,52,50,66,28,48,2
2021-01-09,0,57,72,57,39,481,38,80,65,78,28,68,3
2021-01-08,0,50,83,48,31,421,41,71,89,83,38,72,104
2021-01-07,100,43,66,58,32,547,27,60,61,56,39,63,97
2021-01-06,0,50,85,74,31,338,39,78,68,56,46,65,117
2021-01-05,0,25,76,73,33,86,34,73,59,78,38,68,112
2021-01-04,0,14,66,62,32,105,30,74,60,71,36,64,85
2021-01-03,0,50,53,35,32,330,27,59,55,41,18,54,1
2021-01-02,0,104,62,39,30,413,28,63,61,93,25,60,2
2021-01-01,0,32,45,24,25,271,15,52,46,32,23,52,44
2020-12-31,100,89,88,57,41,270,16,74,52,107,33,70,86
