Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,37,73,74,54,77,95,61,71,70,61,97
2021-03-08,36,55,75,50,95,89,60,82,75,55,81
2021-03-07,24,44,70,46,83,86,59,68,78,59,89
2021-03-06,29,73,91,57,92,98,58,85,95,70,108
2021-03-05,46,70,94,61,84,93,61,87,81,69,102
2021-03-04,26,41,64,44,69,71,51,55,67,50,74
2021-03-03,31,46,76,59,72,85,62,74,78,58,93
2021-03-02,35,58,76,55,82,96,58,84,75,56,86
2021-03-01,29,50,61,51,75,68,54,74,64,52,81
2021-02-28,23,59,63,47,71,106,56,72,64,52,78
2021-02-27,39,95,97,95,89,134,58,101,95,57,135
2021-02-26,46,71,92,65,70,87,58,97,75,67,83
2021-02-25,38,66,74,47,69,70,62,91,64,59,82
2021-02-24,34,63,73,57,65,78,56,71,79,59,98
2021-02-23,41,51,74,60,72,85,58,67,65,56,83
2021-02-22,36,39,70,48,73,71,57,67,66,52,81
2021-02-21,26,31,54,40,65,61,53,48,52,47,65
2021-02-20,29,60,93,52,82,82,61,97,68,67,100
2021-02-19,40,69,84,56,77,92,60,86,79,63,86
2021-02-18,37,69,74,56,77,68,55,81,63,59,94
2021-02-17,29,48,68,47,73,76,46,60,56,54,67
2021-02-16,33,53,57,36,62,56,50,65,55,40,48
2021-02-15,49,41,61,50,54,72,40,50,49,53,58
2021-02-14,22,40,57,33,85,54,57,60,60,51,69
2021-02-13,17,52,69,56,87,63,59,78,64,53,86
2021-02-12,33,76,82,54,80,84,62,84,65,64,86
2021-02-11,26,47,66,48,76,63,62,77,50,54,75
2021-02-10,25,55,58,52,84,58,49,57,53,50,71
2021-02-09,35,51,66,48,68,54,56,78,56,51,69
2021-02-08,32,39,60,43,79,77,44,61,60,46,61
2021-02-07,17,58,55,34,69,58,42,64,55,41,59
2021-02-06,24,56,65,43,92,52,56,67,51,55,75
2021-02-05,35,68,72,49,87,70,55,64,63,58,82
2021-02-04,34,51,68,50,87,61,51,72,54,52,83
2021-02-03,33,60,70,55,77,60,54,87,54,56,78
2021-02-02,33,52,66,50,68,68,46,77,63,53,76
2021-02-01,34,42,59,43,70,64,49,79,61,48,81
2021-01-31,17,32,38,24,46,47,37,54,40,32,54
2021-01-30,31,49,75,48,92,82,55,83,69,54,81
2021-01-29,31,66,73,54,86,71,65,76,61,61,86
2021-01-28,33,38,63,45,76,66,50,84,54,53,70
2021-01-27,32,41,62,49,64,50,54,69,53,50,78
2021-01-26,25,41,50,41,59,67,47,56,57,40,57
2021-01-25,31,41,64,48,78,59,46,70,54,49,80
2021-01-24,20,35,47,35,70,46,44,63,47,44,65
2021-01-23,66,59,89,74,87,71,64,81,67,60,100
2021-01-22,33,54,71,56,83,71,62,91,58,58,88
2021-01-21,42,33,66,44,79,60,65,84,72,54,77
2021-01-20,30,44,60,44,73,56,42,68,48,50,77
2021-01-19,28,34,61,46,86,67,54,57,54,47,68
2021-01-18,27,46,56,49,78,67,61,70,67,56,78
2021-01-17,24,26,52,34,69,53,39,70,50,49,54
2021-01-16,27,41,70,44,77,57,61,68,69,59,78
2021-01-15,34,48,70,50,80,67,49,82,60,58,77
2021-01-14,35,32,62,44,72,63,58,76,75,55,78
2021-01-13,34,37,61,46,75,63,52,74,74,54,65
2021-01-12,34,34,56,52,70,63,55,70,58,52,89
2021-01-11,33,36,59,49,72,59,61,68,65,49,78
2021-01-10,23,34,48,30,87,58,45,58,56,47,68
2021-01-09,27,48,70,41,76,59,58,94,80,58,87
2021-01-08,38,38,73,55,84,60,48,83,73,60,82
2021-01-07,32,38,56,44,79,68,51,87,67,53,87
2021-01-06,35,34,63,48,74,64,62,77,72,52,76
2021-01-05,30,39,57,47,79,63,56,76,69,51,60
2021-01-04,37,29,59,50,78,58,54,80,67,52,78
2021-01-03,26,30,48,30,74,52,46,57,44,46,63
2021-01-02,30,38,57,42,80,51,53,66,69,51,78
2021-01-01,21,19,38,27,50,49,32,50,49,39,56
2020-12-31,32,35,75,44,127,89,65,72,61,54,82
2020-12-30,39,34,70,45,83,60,52,94,72,58,88
