Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,67,76,40,147,62,66,69,73
2021-03-08,54,56,32,111,60,52,72,65
2021-03-07,85,49,9,91,61,60,89,68
2021-03-06,115,98,10,121,88,103,106,84
2021-03-05,88,107,28,129,59,67,93,73
2021-03-04,59,71,28,69,56,60,58,64
2021-03-03,57,65,35,121,56,46,65,70
2021-03-02,34,60,37,78,61,49,57,58
2021-03-01,46,58,29,76,59,58,62,58
2021-02-28,72,44,10,73,56,54,82,59
2021-02-27,103,113,16,129,70,75,112,79
2021-02-26,90,105,30,125,61,40,98,71
2021-02-25,65,84,35,96,64,57,77,62
2021-02-24,66,70,42,101,64,60,79,59
2021-02-23,43,71,32,100,49,48,73,59
2021-02-22,47,63,37,80,46,40,60,58
2021-02-21,59,42,9,78,43,36,77,54
2021-02-20,94,95,11,105,63,61,98,72
2021-02-19,65,90,35,109,60,66,84,64
2021-02-18,61,76,33,83,54,48,68,61
2021-02-17,59,61,46,63,57,37,55,57
2021-02-16,43,54,22,64,46,34,49,45
2021-02-15,32,49,25,71,48,42,48,57
2021-02-14,74,47,5,83,64,40,81,54
2021-02-13,71,61,12,68,68,72,82,64
2021-02-12,84,78,44,111,69,55,84,72
2021-02-11,55,65,36,72,58,45,62,63
2021-02-10,46,53,40,71,65,55,63,59
2021-02-09,45,55,39,94,47,37,58,55
2021-02-08,40,54,30,59,47,46,53,52
2021-02-07,61,33,12,66,41,54,62,47
2021-02-06,55,70,13,85,71,54,83,63
2021-02-05,59,76,25,113,58,42,72,64
2021-02-04,47,63,36,113,63,55,63,59
2021-02-03,48,62,37,96,56,61,66,59
2021-02-02,68,59,31,108,58,48,59,58
2021-02-01,51,50,25,73,41,57,54,58
2021-01-31,25,28,10,36,26,30,35,38
2021-01-30,70,71,12,103,63,67,72,67
2021-01-29,63,74,34,89,68,55,65,71
2021-01-28,34,63,34,84,58,42,63,59
2021-01-27,47,61,37,81,53,55,65,57
2021-01-26,37,43,24,81,39,28,37,47
2021-01-25,49,52,36,111,53,69,55,60
2021-01-24,57,48,9,73,59,64,61,54
2021-01-23,65,71,11,101,66,60,66,69
2021-01-22,58,80,32,100,64,66,70,66
2021-01-21,47,54,33,113,56,52,61,56
2021-01-20,41,51,38,60,57,51,55,54
