Category,Bars,Beauty & Wellness,Parks & Beaches,QSR,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index
2021-03-09,13,122,103,89,81
2021-03-08,38,117,77,107,71
2021-03-07,113,106,71,78,72
2021-03-06,250,106,80,93,76
2021-03-05,175,106,86,89,84
2021-03-04,138,122,77,81,74
2021-03-03,138,144,94,85,79
2021-03-02,125,133,43,152,76
2021-03-01,138,94,69,41,70
2021-02-28,100,89,63,104,71
2021-02-27,138,139,69,119,87
2021-02-26,150,100,91,119,90
2021-02-25,200,106,86,100,77
2021-02-24,188,156,83,96,78
2021-02-23,150,106,100,111,74
2021-02-22,63,50,71,70,70
2021-02-21,175,117,63,93,68
2021-02-20,50,94,57,119,72
2021-02-19,163,150,97,93,82
2021-02-18,125,89,74,104,71
2021-02-17,125,72,80,126,67
2021-02-16,75,89,49,52,56
2021-02-15,75,78,51,81,65
2021-02-14,113,83,37,74,64
2021-02-13,188,89,63,100,67
2021-02-12,125,150,69,137,80
2021-02-11,150,144,60,70,71
2021-02-10,50,128,37,89,83
2021-02-09,50,172,51,63,72
2021-02-08,88,89,63,89,61
2021-02-07,175,67,46,59,59
2021-02-06,188,111,69,115,66
2021-02-05,150,206,71,126,75
2021-02-04,75,117,74,37,69
2021-02-03,125,144,71,81,72
2021-02-02,138,61,77,85,86
2021-02-01,125,67,57,59,63
2021-01-31,63,22,43,48,47
2021-01-30,75,122,71,104,73
2021-01-29,163,106,100,111,77
2021-01-28,225,89,57,52,65
2021-01-27,213,94,66,63,67
2021-01-26,138,100,63,37,61
2021-01-25,238,106,77,59,68
2021-01-24,213,100,57,70,66
2021-01-23,150,156,66,96,72
2021-01-22,150,83,63,111,76
2021-01-21,175,167,54,89,77
2021-01-20,100,67,43,85,66
2021-01-19,113,67,57,122,63
2021-01-18,113,111,43,56,63
2021-01-17,163,67,26,93,63
2021-01-16,63,133,43,59,71
2021-01-15,138,128,46,70,75
2021-01-14,113,94,91,67,74
2021-01-13,100,133,60,74,72
2021-01-12,125,150,60,44,73
2021-01-11,113,100,83,100,69
2021-01-10,38,117,63,67,67
2021-01-09,113,144,66,107,82
2021-01-08,100,161,60,122,76
2021-01-07,175,144,57,63,71
2021-01-06,138,117,74,81,72
2021-01-05,163,139,66,33,76
2021-01-04,63,122,63,74,69
2021-01-03,63,100,40,104,54
2021-01-02,88,122,69,44,63
2021-01-01,113,78,34,37,59
2020-12-31,188,178,60,119,78
2020-12-30,125,106,63,85,72
2020-12-29,138,128,60,126,81
2020-12-28,38,94,74,48,69
2020-12-27,113,111,60,93,61
2020-12-26,63,67,46,81,61
2020-12-25,200,78,66,26,66
2020-12-24,225,150,74,56,83
2020-12-23,250,111,137,119,92
2020-12-22,88,78,97,96,77
2020-12-21,88,83,80,89,73
2020-12-20,138,161,57,89,69
2020-12-19,63,117,106,119,69
2020-12-18,150,100,71,93,83
2020-12-17,75,89,69,115,73
2020-12-16,63,78,57,111,69
2020-12-15,100,83,57,30,65
