Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,90,75,68,89,92,32,67,0,160,93,106
2021-03-08,80,68,94,100,104,42,60,0,90,87,101
2021-03-07,100,48,38,52,54,34,57,0,50,60,0
2021-03-06,80,82,121,81,85,35,70,29,80,80,0
2021-03-05,60,112,132,44,46,38,72,0,110,78,0
2021-03-04,100,69,96,59,62,34,71,0,70,77,98
2021-03-03,110,94,89,63,65,35,77,100,100,90,104
2021-03-02,110,85,117,81,77,34,68,100,180,109,97
2021-03-01,70,75,92,85,88,35,69,0,200,99,90
2021-02-28,100,59,26,78,81,25,75,29,130,78,0
2021-02-27,80,83,104,63,69,30,72,57,180,101,0
2021-02-26,90,102,94,52,54,36,78,86,280,109,0
2021-02-25,80,91,104,44,46,38,71,29,200,96,92
2021-02-24,70,91,109,85,88,46,71,43,170,100,92
2021-02-23,80,74,91,63,69,35,72,57,190,81,97
2021-02-22,30,62,79,100,104,31,55,29,120,65,88
2021-02-21,80,45,25,104,104,26,54,14,100,50,0
2021-02-20,110,74,83,63,65,32,58,0,100,65,0
2021-02-19,40,89,145,48,50,25,62,71,130,70,0
2021-02-18,70,81,91,89,92,34,57,0,60,69,83
2021-02-17,20,65,74,56,58,21,47,29,120,64,75
2021-02-16,40,48,36,63,65,27,36,43,80,42,55
2021-02-15,40,41,32,122,123,23,32,0,60,48,74
2021-02-14,90,45,8,52,54,47,47,0,50,48,0
2021-02-13,50,62,26,93,96,42,60,57,40,65,0
2021-02-12,60,96,45,74,77,44,57,0,60,78,0
2021-02-11,70,75,58,81,85,33,53,14,110,67,91
2021-02-10,50,55,51,104,100,29,40,43,110,60,79
2021-02-09,50,57,34,70,73,36,44,29,140,60,77
2021-02-08,70,55,34,107,112,25,39,14,30,54,86
2021-02-07,30,33,9,85,88,32,39,43,80,43,0
2021-02-06,40,58,32,100,104,29,50,29,60,58,0
2021-02-05,30,75,36,37,35,32,54,57,100,65,0
2021-02-04,60,74,23,89,92,28,46,29,180,65,90
2021-02-03,70,74,32,63,65,37,56,14,120,71,82
2021-02-02,60,57,47,78,81,24,63,57,70,64,79
2021-02-01,50,59,45,96,96,24,43,14,110,58,70
2021-01-31,50,30,8,22,23,14,20,0,40,33,0
2021-01-30,30,58,17,100,104,34,57,29,90,62,0
2021-01-29,60,71,28,56,58,37,52,0,110,67,0
2021-01-28,40,65,62,74,77,23,59,0,90,64,82
2021-01-27,40,67,28,63,65,35,46,0,150,60,73
2021-01-26,40,48,26,30,31,31,44,0,100,60,66
2021-01-25,20,46,42,107,112,26,50,0,120,62,79
2021-01-24,40,37,32,78,81,27,57,14,140,55,0
2021-01-23,40,65,26,63,65,15,64,14,110,71,0
2021-01-22,30,73,38,74,77,39,55,71,120,75,0
2021-01-21,40,81,40,70,69,36,56,43,150,74,85
2021-01-20,20,55,43,78,81,26,43,29,70,66,74
2021-01-19,30,61,32,89,92,32,46,43,100,67,80
2021-01-18,60,49,26,107,108,28,47,57,90,58,79
2021-01-17,60,36,11,85,88,29,48,29,80,52,0
2021-01-16,60,77,45,48,50,30,56,43,100,65,0
2021-01-15,40,71,45,59,62,44,62,0,80,71,0
2021-01-14,30,66,42,85,88,44,55,43,100,67,85
2021-01-13,40,73,47,89,92,33,53,43,80,63,85
2021-01-12,50,58,40,89,88,40,60,0,60,64,78
2021-01-11,20,65,49,93,96,25,56,29,100,59,80
2021-01-10,60,51,21,96,100,32,48,0,50,46,0
2021-01-09,30,66,26,74,73,45,68,71,120,66,0
2021-01-08,40,82,58,93,96,26,67,57,180,69,0
2021-01-07,40,65,34,67,69,27,62,0,90,71,83
2021-01-06,30,72,42,130,135,37,64,0,80,72,81
2021-01-05,20,75,28,96,100,37,55,43,120,66,80
2021-01-04,60,86,57,107,108,34,56,29,100,66,74
2021-01-03,50,40,13,89,85,30,43,0,40,50,0
2021-01-02,30,72,36,104,108,34,56,0,90,57,0
2021-01-01,70,39,17,15,12,19,38,14,30,41,0
2020-12-31,60,106,36,81,81,49,67,14,40,72,81
2020-12-30,20,80,34,137,142,31,74,0,60,66,76
2020-12-29,40,70,13,67,69,33,65,0,180,69,86
2020-12-28,40,69,21,78,81,31,62,0,100,66,82
2020-12-27,40,42,32,74,77,25,48,0,80,51,0
2020-12-26,30,51,19,70,73,35,50,29,90,55,0
2020-12-25,40,39,4,7,8,47,30,0,80,42,0
2020-12-24,60,91,36,119,119,65,60,0,90,71,83
2020-12-23,60,91,34,100,104,41,74,0,80,82,92
2020-12-22,30,70,25,74,77,51,70,0,130,72,84
2020-12-21,40,67,23,44,46,37,58,29,140,69,77
2020-12-20,30,43,17,100,104,31,57,0,100,54,0
2020-12-19,50,75,23,96,100,36,78,57,70,68,0
2020-12-18,30,69,53,48,50,36,70,71,60,69,0
2020-12-17,20,71,49,78,77,38,60,14,30,61,80
2020-12-16,40,60,30,89,88,41,54,0,60,64,82
2020-12-15,10,53,15,63,65,28,56,0,60,60,71
2020-12-14,20,43,21,67,65,21,50,14,110,55,75
2020-12-13,30,39,11,67,69,28,40,29,10,42,0
2020-12-12,30,55,30,93,96,24,45,43,30,55,0
2020-12-11,40,55,32,78,81,33,59,14,40,62,0
2020-12-10,20,63,40,44,46,29,62,29,50,69,79
2020-12-09,30,65,40,70,73,36,57,43,70,65,81
2020-12-08,10,62,21,115,112,30,65,14,70,65,78
2020-12-07,20,60,28,89,92,38,50,0,60,62,77
2020-12-06,30,46,38,67,69,31,52,29,40,51,0
2020-12-05,50,65,42,85,88,28,71,14,80,65,0
2020-12-04,40,65,36,78,77,53,78,29,20,78,0
2020-12-03,30,69,40,67,65,43,77,14,110,67,72
2020-12-02,70,69,47,89,92,34,60,0,70,65,82
2020-12-01,40,68,45,96,100,42,72,57,90,61,81
2020-11-30,50,58,15,74,77,39,55,14,90,63,79
2020-11-29,10,34,25,70,73,33,46,57,50,45,0
2020-11-28,20,68,40,74,77,27,54,57,50,55,0
2020-11-27,20,70,25,85,88,33,54,0,50,63,0
2020-11-26,40,47,17,15,15,28,34,0,40,53,55
2020-11-25,50,72,51,126,131,34,61,14,130,68,83
2020-11-24,50,57,55,107,108,33,59,0,120,66,82
2020-11-23,20,60,72,81,81,32,59,57,70,61,82
2020-11-22,0,42,40,104,108,27,59,57,30,48,0
2020-11-21,50,61,40,85,85,36,60,0,90,63,0
2020-11-20,20,62,34,81,38,43,66,57,110,71,0
2020-11-19,30,70,21,48,4,43,64,0,70,66,75
2020-11-18,40,56,34,93,0,28,55,0,30,61,77
2020-11-17,40,47,53,89,0,39,60,29,90,61,80
2020-11-16,70,56,43,70,0,39,56,0,50,65,82
2020-11-15,30,43,17,96,0,34,41,0,40,49,0
2020-11-14,20,69,36,78,0,41,65,43,50,64,0
2020-11-13,70,80,47,119,0,49,70,14,60,74,0
2020-11-12,60,48,40,74,0,36,67,0,50,58,81
2020-11-11,50,58,25,93,0,32,53,0,60,60,80
2020-11-10,40,59,40,104,0,38,67,14,70,69,84
2020-11-09,40,58,42,81,0,33,47,0,70,63,82
2020-11-08,30,42,28,100,0,37,55,0,60,48,0
2020-11-07,40,73,47,78,0,49,66,71,70,66,6
2020-11-06,60,79,38,111,0,27,64,14,150,71,0
2020-11-05,50,62,34,81,0,22,68,14,60,66,73
2020-11-04,60,62,70,81,0,30,65,14,80,72,79
2020-11-03,40,77,28,89,0,49,74,0,160,70,88
2020-11-02,70,58,49,85,0,25,62,29,70,68,75
2020-11-01,80,48,38,111,0,34,65,14,100,51,0
2020-10-31,50,68,30,70,0,41,77,0,50,71,0
2020-10-30,20,94,57,74,0,46,86,14,70,79,0
2020-10-29,50,66,47,85,0,41,78,0,100,65,84
2020-10-28,40,65,53,52,0,24,60,29,40,60,86
2020-10-27,10,60,45,93,0,35,66,0,20,61,83
2020-10-26,50,54,49,85,0,42,52,43,100,64,80
2020-10-25,80,37,30,93,0,30,55,0,60,46,0
2020-10-24,70,72,34,81,0,31,78,57,130,70,0
2020-10-23,70,66,72,93,0,34,68,57,100,74,0
2020-10-22,30,66,32,67,0,42,65,0,100,68,86
2020-10-21,40,59,36,85,0,33,63,29,50,59,85
2020-10-20,40,58,38,67,0,45,68,0,100,68,86
2020-10-19,60,55,47,104,0,35,56,0,70,61,81
2020-10-18,20,44,26,89,0,33,57,0,20,47,0
2020-10-17,0,68,26,44,0,59,64,29,140,65,0
2020-10-16,80,80,81,63,0,40,68,29,150,88,0
2020-10-15,30,63,32,74,0,31,62,100,110,72,77
2020-10-14,50,67,45,41,0,42,65,29,50,72,92
2020-10-13,50,64,25,85,0,36,69,0,30,68,82
2020-10-12,10,42,32,100,0,41,50,0,60,54,87
2020-10-11,40,44,13,104,0,36,54,29,40,55,0
2020-10-10,40,65,32,78,0,30,69,0,20,70,0
2020-10-09,60,64,40,67,0,26,74,14,70,77,0
2020-10-08,40,70,15,44,0,41,67,0,30,76,85
2020-10-07,30,67,19,122,0,38,69,0,50,67,89
2020-10-06,60,60,26,85,0,33,63,0,70,63,86
2020-10-05,70,65,38,96,0,47,64,0,90,64,91
2020-10-04,50,42,32,81,0,26,56,0,60,51,0
2020-10-03,20,67,40,63,0,34,64,0,10,70,0
2020-10-02,50,81,68,81,0,31,71,0,60,77,0
2020-10-01,60,79,40,52,0,38,70,0,80,69,89
2020-09-30,60,76,47,63,0,39,72,0,40,71,100
2020-09-29,40,74,60,74,0,33,61,0,70,66,91
2020-09-28,10,48,42,93,0,27,60,0,100,58,78
2020-09-27,60,45,21,67,0,36,56,43,20,55,0
2020-09-26,100,70,38,78,0,38,74,29,90,67,0
2020-09-25,30,76,60,74,0,45,71,0,80,72,0
2020-09-24,70,71,57,70,0,41,56,14,110,71,89
2020-09-23,50,58,55,59,0,40,62,29,100,71,82
2020-09-22,60,67,38,78,0,35,69,43,80,72,77
2020-09-21,60,52,30,100,0,45,57,57,60,63,75
2020-09-20,20,43,25,100,0,32,50,0,60,49,0
2020-09-19,70,79,28,59,0,36,69,0,80,74,0
2020-09-18,50,68,32,74,0,44,68,14,110,75,0
2020-09-17,70,70,36,74,0,33,77,0,90,72,86
2020-09-16,20,62,47,111,0,40,62,29,120,72,88
2020-09-15,30,64,42,85,0,44,57,0,70,66,77
2020-09-14,20,51,43,52,0,34,59,43,40,61,76
2020-09-13,30,43,17,70,0,36,48,29,60,60,0
2020-09-12,80,55,42,63,0,36,64,14,50,65,0
2020-09-11,90,68,57,41,0,41,65,29,60,78,0
2020-09-10,90,72,51,96,0,37,60,14,80,69,91
2020-09-09,20,68,85,81,0,45,65,29,60,66,84
2020-09-08,30,66,91,81,0,34,54,14,50,66,81
2020-09-07,40,50,38,85,0,36,58,0,10,56,62
2020-09-06,80,53,40,70,0,37,49,0,40,51,0
2020-09-05,80,70,49,63,0,44,68,0,100,75,0
2020-09-04,60,95,91,104,0,40,85,71,50,87,0
2020-09-03,60,86,64,93,0,45,78,0,80,87,97
2020-09-02,80,73,47,81,0,31,73,14,40,84,85
2020-09-01,110,73,75,63,0,51,67,0,70,75,96
2020-08-31,60,57,49,81,0,53,68,57,80,64,85
2020-08-30,70,39,32,41,0,31,51,29,50,51,0
2020-08-29,90,65,25,56,0,45,64,29,40,71,0
2020-08-28,30,68,26,52,0,39,60,0,70,67,0
2020-08-27,70,71,42,81,0,43,66,0,90,74,87
2020-08-26,60,64,47,70,0,45,65,0,60,74,87
2020-08-25,130,64,49,81,0,37,65,43,60,73,92
2020-08-24,70,53,42,100,0,36,61,0,20,68,89
2020-08-23,30,40,38,56,0,27,53,0,30,54,0
2020-08-22,40,65,36,63,0,38,71,0,50,73,0
2020-08-21,40,73,62,74,0,37,70,0,60,83,0
2020-08-20,60,67,60,111,0,42,65,0,40,74,97
2020-08-19,70,68,40,93,0,37,62,0,40,81,98
2020-08-18,40,69,47,81,0,27,74,0,90,80,92
2020-08-17,10,63,51,74,0,37,65,0,30,68,96
2020-08-16,100,47,40,67,0,34,48,0,40,65,0
2020-08-15,20,69,32,70,0,30,59,0,50,75,0
2020-08-14,50,70,28,63,0,38,64,0,80,80,0
2020-08-13,90,60,47,70,0,31,54,0,100,78,90
2020-08-12,50,66,40,63,0,42,71,14,50,77,98
2020-08-11,50,60,30,85,0,43,66,0,60,80,92
2020-08-10,70,54,62,81,0,33,60,0,60,70,79
2020-08-09,50,42,28,104,0,39,48,0,20,56,0
2020-08-08,100,62,34,67,0,45,69,0,30,79,0
2020-08-07,50,80,43,81,0,45,72,0,80,90,0
2020-08-06,80,69,45,93,0,38,72,0,60,87,98
2020-08-05,30,65,32,70,0,47,71,0,100,76,96
2020-08-04,40,67,42,81,0,40,68,29,70,75,88
2020-08-03,20,63,42,107,0,36,67,14,80,72,92
2020-08-02,60,37,43,89,0,40,58,0,20,55,0
2020-08-01,90,72,17,67,0,57,67,29,60,74,0
2020-07-31,50,90,30,63,0,44,80,0,50,81,0
2020-07-30,50,71,45,100,0,66,63,0,80,72,91
2020-07-29,70,70,66,78,0,54,74,0,50,84,104
2020-07-28,50,71,53,70,0,52,76,0,80,77,86
2020-07-27,100,60,34,78,0,56,61,0,50,70,92
2020-07-26,100,40,25,89,0,53,56,0,30,51,0
2020-07-25,30,72,47,74,0,55,68,0,40,80,0
2020-07-24,40,59,26,63,0,40,61,14,60,65,0
2020-07-23,40,69,53,96,0,47,77,0,30,79,93
2020-07-22,40,79,43,44,0,44,69,14,40,72,91
2020-07-21,20,78,32,85,0,41,73,14,40,77,94
2020-07-20,20,59,36,100,0,29,63,0,80,71,75
2020-07-19,90,50,36,56,0,46,52,0,20,57,0
2020-07-18,110,50,58,63,0,57,68,0,80,76,0
2020-07-17,80,80,51,78,0,40,71,0,80,80,0
2020-07-16,60,83,43,115,0,47,78,0,90,78,92
2020-07-15,60,79,43,89,0,46,68,0,60,74,93
2020-07-14,10,70,47,70,0,31,68,14,90,81,90
2020-07-13,70,69,62,74,0,47,72,0,60,76,86
2020-07-12,60,40,55,78,0,29,57,0,20,68,0
2020-07-11,50,64,57,70,0,46,80,0,50,73,0
2020-07-10,50,69,28,48,0,44,69,0,70,82,0
2020-07-09,50,72,53,100,0,39,74,0,80,79,84
2020-07-08,40,61,57,81,0,37,62,0,50,80,87
2020-07-07,30,60,45,78,0,40,56,0,60,74,66
2020-07-06,30,70,36,70,0,45,65,0,70,76,83
2020-07-05,20,55,49,56,0,41,50,0,30,65,0
2020-07-04,40,58,23,52,0,26,54,0,10,68,0
2020-07-03,70,90,47,67,0,33,81,0,60,89,0
2020-07-02,40,87,66,85,0,45,84,0,100,85,94
2020-07-01,40,92,55,59,0,48,72,29,90,83,83
2020-06-30,30,80,21,52,0,38,67,0,90,79,69
2020-06-29,60,61,47,107,0,33,61,0,60,77,81
2020-06-28,20,53,40,81,0,27,56,0,70,58,0
2020-06-27,40,78,25,93,0,25,79,0,80,73,0
2020-06-26,70,75,42,70,0,25,66,0,80,76,0
2020-06-25,40,78,64,56,0,25,83,0,90,80,81
2020-06-24,30,53,45,63,0,9,63,14,50,69,61
2020-06-23,60,73,58,89,0,11,72,0,80,74,81
2020-06-22,0,68,30,67,0,15,68,0,50,65,73
2020-06-21,20,54,43,93,0,4,64,0,40,69,0
2020-06-20,30,65,43,78,0,16,75,14,60,89,0
2020-06-19,70,93,36,70,0,10,92,0,60,90,0
2020-06-18,50,70,36,100,0,16,79,57,40,87,85
2020-06-17,50,65,51,78,0,20,71,0,60,77,67
2020-06-16,50,67,60,115,0,16,75,0,50,83,88
2020-06-15,50,75,30,93,0,14,74,0,70,75,84
2020-06-14,40,60,49,111,0,8,63,14,10,59,0
2020-06-13,60,80,25,81,0,14,86,14,60,74,0
2020-06-12,140,73,51,81,0,25,87,0,100,87,0
2020-06-11,20,75,45,85,0,7,90,14,50,84,87
2020-06-10,60,78,42,63,0,10,82,29,90,72,78
2020-06-09,80,67,42,78,0,8,77,0,60,73,68
2020-06-08,60,66,30,81,0,19,78,29,30,76,78
2020-06-07,40,38,32,89,0,10,52,0,20,50,0
2020-06-06,140,67,40,37,0,13,74,0,20,75,0
2020-06-05,60,57,42,56,0,22,74,29,60,82,0
2020-06-04,40,58,36,30,0,18,68,14,50,63,55
2020-06-03,40,58,28,22,0,21,63,0,40,59,62
2020-06-02,40,60,30,41,0,18,62,0,20,58,58
2020-06-01,40,82,28,0,0,35,75,0,10,65,79
2020-05-31,40,51,25,33,0,63,65,57,30,67,0
2020-05-30,40,74,36,81,0,72,95,0,40,72,0
2020-05-29,20,81,30,93,0,92,94,43,50,81,0
2020-05-28,30,69,23,81,0,75,86,29,40,64,69
2020-05-27,40,66,55,104,0,91,90,29,10,79,87
2020-05-26,60,69,47,74,0,91,85,29,40,76,82
2020-05-25,50,53,25,89,0,72,72,0,50,61,66
2020-05-24,40,54,42,104,0,72,67,0,30,63,0
2020-05-23,70,76,26,78,0,86,90,29,90,76,0
2020-05-22,40,80,38,59,0,102,98,0,0,79,0
2020-05-21,50,75,47,130,0,91,93,43,40,74,79
2020-05-20,50,62,26,70,0,95,91,29,60,75,82
2020-05-19,50,63,47,89,0,66,77,57,60,70,80
2020-05-18,50,70,28,107,0,93,84,29,20,64,77
2020-05-17,40,40,30,78,0,70,60,14,30,44,0
2020-05-16,40,65,40,100,0,100,103,29,60,78,0
2020-05-15,80,81,36,119,0,94,96,71,40,75,0
2020-05-14,30,63,36,85,0,87,72,0,20,56,55
2020-05-13,30,78,42,85,0,72,83,29,30,68,72
2020-05-12,70,55,40,70,0,65,77,0,40,53,51
2020-05-11,50,66,28,70,0,73,76,57,20,59,73
2020-05-10,70,41,21,100,0,88,60,29,20,50,0
2020-05-09,30,71,43,89,0,101,84,0,40,66,0
2020-05-08,20,77,55,104,0,98,89,29,70,69,0
2020-05-07,40,62,47,70,0,75,73,14,60,52,46
2020-05-06,50,65,83,85,0,76,75,29,30,62,67
2020-05-05,20,67,43,115,0,65,73,57,10,59,64
2020-05-04,30,67,32,93,0,86,81,57,0,59,66
2020-05-03,30,59,38,74,0,46,67,57,20,52,0
2020-05-02,30,80,34,115,0,89,91,29,20,61,0
2020-05-01,50,98,23,85,0,97,107,29,40,74,0
2020-04-30,40,65,38,74,0,73,79,57,10,58,63
2020-04-29,40,55,53,44,0,54,78,71,40,53,54
2020-04-28,50,68,42,85,0,68,92,29,40,66,73
2020-04-27,20,65,66,63,0,69,86,86,20,60,70
2020-04-26,20,55,28,111,0,52,70,29,50,51,0
2020-04-25,30,53,25,96,0,84,91,43,20,56,0
2020-04-24,20,63,42,78,0,64,87,14,0,66,0
2020-04-23,10,58,47,100,0,69,82,29,10,61,69
2020-04-22,20,58,77,100,0,91,86,43,20,58,75
2020-04-21,10,60,32,89,0,55,81,29,20,57,75
2020-04-20,50,73,36,89,0,72,93,29,30,58,70
2020-04-19,60,38,11,89,0,58,65,0,40,52,0
2020-04-18,60,63,34,119,0,78,89,14,30,65,0
2020-04-17,10,65,30,78,0,74,81,14,10,58,0
2020-04-16,10,55,38,74,0,79,81,29,20,59,67
2020-04-15,20,60,36,96,0,65,76,71,20,58,66
2020-04-14,40,52,23,111,0,55,85,57,10,62,68
2020-04-13,60,54,26,119,0,63,62,43,10,59,71
2020-04-12,20,40,19,15,0,68,45,0,40,47,0
2020-04-11,40,68,32,144,0,75,84,0,30,60,0
2020-04-10,40,69,62,115,0,66,80,0,50,63,0
2020-04-09,30,76,30,152,0,78,64,14,50,56,72
2020-04-08,50,69,43,93,0,57,65,43,40,57,64
