Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,63,104,55,110,72,103,71,86,85,74,79,0
2021-03-08,45,75,47,137,71,88,84,64,94,62,73,0
2021-03-07,74,58,38,152,98,48,68,68,84,38,75,0
2021-03-06,72,101,55,172,97,74,83,96,119,60,85,0
2021-03-05,85,103,49,147,75,103,69,87,114,84,78,0
2021-03-04,41,84,48,112,70,110,65,73,84,60,73,0
2021-03-03,51,78,54,109,71,117,65,72,89,73,71,0
2021-03-02,61,83,47,101,62,118,68,70,88,56,67,0
2021-03-01,39,71,45,104,72,86,69,68,84,67,73,0
2021-02-28,54,56,40,140,88,45,60,70,90,42,70,0
2021-02-27,57,117,55,151,94,78,83,87,92,71,88,0
2021-02-26,78,106,63,113,74,122,71,90,107,79,82,0
2021-02-25,67,89,49,114,72,113,60,75,85,84,76,0
2021-02-24,49,84,45,110,69,138,70,73,86,76,73,0
2021-02-23,44,78,50,119,70,103,67,66,82,76,71,0
2021-02-22,47,63,46,101,71,97,59,67,72,76,67,0
2021-02-21,42,65,36,130,88,43,62,61,87,35,62,0
2021-02-20,64,99,66,164,94,54,86,85,106,63,86,0
2021-02-19,78,88,53,136,78,107,70,84,104,85,77,0
2021-02-18,56,73,49,141,71,119,58,74,73,73,69,0
2021-02-17,50,62,49,137,60,102,64,61,76,79,62,0
2021-02-16,44,48,35,94,47,81,50,53,57,48,50,0
2021-02-15,52,60,47,104,52,123,49,46,68,48,54,0
2021-02-14,48,59,44,198,79,50,83,56,81,37,59,0
2021-02-13,56,84,48,197,93,56,83,65,81,47,75,0
2021-02-12,76,103,65,162,84,108,72,80,104,58,80,0
2021-02-11,46,65,54,123,77,124,65,71,69,71,71,0
2021-02-10,51,72,47,125,69,117,63,64,67,57,66,0
2021-02-09,47,72,48,134,71,114,66,66,79,71,73,0
2021-02-08,51,62,45,92,60,125,55,58,60,52,60,0
2021-02-07,51,63,36,162,70,45,44,50,64,27,51,0
2021-02-06,61,102,46,159,89,67,73,70,98,40,77,0
2021-02-05,67,95,51,105,73,114,69,70,88,64,74,0
2021-02-04,54,82,32,140,68,108,57,63,82,92,71,0
2021-02-03,51,70,43,128,74,115,68,69,78,67,72,0
2021-02-02,46,85,41,131,63,129,66,69,74,78,68,0
2021-02-01,51,91,43,118,73,103,69,63,73,85,73,0
2021-01-31,35,59,23,81,47,30,45,39,55,45,39,0
2021-01-30,59,102,49,195,95,68,73,73,90,57,89,0
2021-01-29,73,117,43,141,78,130,80,83,88,93,79,0
2021-01-28,53,90,43,105,67,109,62,65,70,99,71,0
2021-01-27,66,94,41,90,67,100,62,65,75,86,67,0
2021-01-26,61,84,42,116,53,99,61,60,63,87,59,0
2021-01-25,44,80,40,134,71,122,61,60,69,81,68,0
2021-01-24,34,56,30,157,86,55,55,60,90,37,64,0
2021-01-23,66,93,42,159,94,64,84,78,92,53,84,0
2021-01-22,50,84,52,133,74,117,58,86,85,77,75,0
2021-01-21,48,87,42,123,69,96,68,65,78,72,70,0
2021-01-20,46,61,42,114,65,91,53,59,64,56,62,0
2021-01-19,56,61,45,101,66,103,53,68,65,56,65,0
2021-01-18,42,74,47,154,79,97,66,69,81,45,76,0
2021-01-17,42,53,33,145,81,41,56,59,80,49,64,0
2021-01-16,49,74,40,173,84,71,64,81,84,51,75,0
2021-01-15,50,87,53,147,71,111,70,81,74,67,72,0
2021-01-14,52,70,44,131,63,108,65,67,71,72,65,0
2021-01-13,56,72,51,141,73,109,58,68,64,59,73,0
2021-01-12,42,70,44,157,71,119,65,67,73,65,73,0
2021-01-11,41,58,49,134,72,102,63,64,71,47,73,0
2021-01-10,34,54,39,159,90,56,59,62,82,33,66,0
2021-01-09,39,84,38,196,104,66,67,92,89,50,88,0
2021-01-08,52,78,55,144,77,92,65,78,87,67,75,0
2021-01-07,56,75,41,101,70,126,63,66,74,66,74,0
2021-01-06,58,70,49,124,77,110,73,66,83,64,72,0
2021-01-05,42,67,55,132,76,126,72,76,72,56,77,0
2021-01-04,42,66,51,139,78,104,60,69,71,64,76,0
2021-01-03,35,50,33,154,82,44,62,61,71,24,63,0
2021-01-02,41,86,42,169,105,64,82,78,80,40,84,0
2021-01-01,39,39,30,98,54,26,42,47,72,21,43,0
2020-12-31,51,88,55,220,87,97,81,66,85,56,79,0
2020-12-30,55,85,50,165,81,114,82,83,88,73,83,0
2020-12-29,55,62,42,138,78,133,60,71,78,43,82,0
2020-12-28,59,71,49,143,89,96,73,75,89,71,82,0
2020-12-27,48,61,36,137,87,45,65,70,84,26,64,0
2020-12-26,36,69,41,163,104,56,69,78,91,37,82,0
2020-12-25,21,42,21,26,8,25,74,47,74,22,25,0
2020-12-24,51,76,46,198,103,68,122,67,70,51,95,0
2020-12-23,64,108,59,216,123,122,101,96,105,84,117,0
2020-12-22,52,85,61,194,114,134,83,84,99,64,105,0
2020-12-21,50,71,54,155,102,103,72,77,86,49,95,0
2020-12-20,39,54,35,164,109,56,61,67,86,24,83,0
2020-12-19,36,89,43,178,110,58,89,90,103,29,94,0
2020-12-18,48,77,53,106,92,129,71,88,99,59,87,0
2020-12-17,34,65,48,121,81,91,66,71,85,38,80,0
2020-12-16,36,49,46,144,88,98,72,76,92,53,84,0
2020-12-15,32,52,48,116,76,120,60,73,75,41,78,0
2020-12-14,34,50,43,124,75,92,58,63,65,44,74,0
2020-12-13,24,50,40,136,103,45,59,62,93,23,71,0
2020-12-12,35,60,43,142,100,64,55,74,100,26,81,0
2020-12-11,34,73,40,134,75,100,67,82,84,49,71,0
2020-12-10,39,57,48,115,81,104,67,80,77,55,76,0
2020-12-09,42,66,44,125,76,84,63,72,90,59,78,0
2020-12-08,36,60,54,127,80,111,60,71,79,59,80,0
2020-12-07,38,63,45,125,86,114,64,74,81,64,82,0
2020-12-06,39,53,35,155,104,46,69,67,91,34,76,0
2020-12-05,43,93,35,151,113,59,82,90,104,43,100,0
2020-12-04,45,71,47,128,92,107,72,89,91,56,87,0
2020-12-03,44,80,55,129,84,109,69,81,85,69,83,0
2020-12-02,48,73,41,112,82,96,65,78,85,55,80,0
2020-12-01,44,61,43,140,83,106,77,83,87,59,80,0
2020-11-30,41,69,42,113,84,99,61,69,74,62,79,0
2020-11-29,31,51,33,148,95,39,56,68,83,28,72,0
2020-11-28,46,70,41,154,98,51,63,72,87,27,88,0
2020-11-27,38,63,36,123,106,78,74,79,77,27,90,0
2020-11-26,25,33,33,155,15,35,58,38,45,20,46,0
2020-11-25,44,74,57,230,101,97,65,80,87,42,94,0
2020-11-24,45,72,58,177,87,97,62,74,86,44,87,0
2020-11-23,38,61,43,160,84,89,64,63,70,45,88,0
2020-11-22,36,48,24,166,104,36,54,63,66,17,78,0
2020-11-21,36,75,45,186,103,66,77,82,99,30,94,0
2020-11-20,48,87,43,145,82,103,74,87,89,52,93,0
2020-11-19,45,75,43,137,69,108,69,75,79,51,79,0
2020-11-18,42,62,45,142,66,105,58,76,78,37,84,0
2020-11-17,36,60,39,141,68,97,61,66,79,45,83,0
2020-11-16,47,54,34,102,67,87,69,66,69,48,78,0
2020-11-15,26,60,31,152,92,28,64,59,65,16,73,0
2020-11-14,42,62,41,189,99,57,76,75,96,23,94,0
2020-11-13,52,74,47,143,75,90,77,93,97,56,95,0
2020-11-12,45,70,65,113,76,97,67,74,86,43,85,0
2020-11-11,39,58,71,142,70,95,65,71,94,48,83,0
2020-11-10,39,65,67,128,60,76,65,68,75,49,75,0
2020-11-09,37,68,56,123,67,89,64,72,71,45,79,0
2020-11-08,34,57,48,120,82,36,66,69,77,28,74,0
2020-11-07,45,87,55,153,82,61,73,88,104,48,88,0
2020-11-06,56,99,77,133,73,118,78,91,108,53,91,0
2020-11-05,38,68,64,111,60,86,66,73,82,62,76,0
2020-11-04,38,71,61,103,56,101,73,82,84,63,79,0
2020-11-03,44,65,65,141,63,104,71,73,88,90,82,0
2020-11-02,35,71,66,139,63,92,81,77,77,62,90,0
2020-11-01,41,58,55,153,81,52,66,74,79,37,78,0
2020-10-31,46,71,53,171,102,75,95,89,103,34,98,0
2020-10-30,61,63,89,134,89,131,74,93,96,50,94,0
2020-10-29,51,75,79,154,82,108,71,85,92,66,87,0
2020-10-28,35,62,67,127,73,120,65,80,86,70,83,0
2020-10-27,34,62,73,135,66,131,64,81,83,58,76,0
2020-10-26,35,57,72,126,67,110,66,69,86,44,82,0
2020-10-25,41,43,44,156,89,27,58,71,102,26,71,0
2020-10-24,53,77,71,138,93,83,69,90,103,62,91,0
2020-10-23,51,80,99,138,72,118,72,91,97,52,88,0
2020-10-22,51,70,107,121,65,104,72,85,93,59,86,0
2020-10-21,48,57,85,144,68,121,72,80,94,52,80,0
2020-10-20,41,63,85,144,69,114,59,74,78,59,81,0
2020-10-19,49,46,86,134,68,89,73,76,73,58,80,0
2020-10-18,69,53,72,145,84,31,71,69,102,34,71,0
2020-10-17,69,71,90,198,87,74,86,90,114,44,95,0
2020-10-16,77,79,96,153,79,125,77,91,112,67,93,0
2020-10-15,48,72,89,119,66,106,73,81,84,70,83,0
2020-10-14,47,61,88,121,61,99,67,74,98,77,81,0
2020-10-13,56,58,74,116,63,108,67,72,91,71,77,0
2020-10-12,41,53,73,128,70,83,55,74,83,48,81,0
2020-10-11,40,46,45,143,75,31,58,64,89,21,61,0
2020-10-10,61,76,69,140,90,62,74,91,107,43,91,0
2020-10-09,60,69,84,140,72,106,72,89,110,74,84,0
2020-10-08,69,83,80,90,63,123,66,88,93,56,81,0
2020-10-07,48,71,82,121,63,114,71,81,98,65,80,0
2020-10-06,51,68,79,113,65,95,66,77,87,70,75,0
2020-10-05,39,59,82,143,68,86,61,84,86,69,78,0
2020-10-04,55,49,47,162,84,41,68,71,97,33,68,0
2020-10-03,58,67,63,129,89,51,73,82,106,42,88,0
2020-10-02,58,83,95,113,76,97,73,92,103,63,84,0
2020-10-01,52,78,86,128,65,97,70,88,85,70,81,0
2020-09-30,66,72,96,125,67,147,74,83,94,73,82,0
2020-09-29,53,56,69,119,68,112,67,75,95,65,76,0
2020-09-28,44,58,73,128,72,79,68,73,82,72,78,0
2020-09-27,48,49,58,124,78,32,56,74,94,27,66,0
2020-09-26,50,72,65,181,83,55,65,87,100,27,80,0
2020-09-25,56,89,82,119,65,96,73,90,105,58,81,0
2020-09-24,54,62,74,131,65,115,66,80,96,85,80,0
2020-09-23,48,74,89,142,64,102,61,78,109,72,76,0
2020-09-22,45,61,75,140,62,111,67,67,94,55,76,0
2020-09-21,39,57,76,119,56,75,61,66,86,50,73,0
2020-09-20,36,48,67,146,70,33,59,64,82,34,65,0
2020-09-19,38,61,62,164,76,43,70,91,109,60,85,0
2020-09-18,51,74,86,143,69,92,69,86,95,63,79,0
2020-09-17,43,60,77,121,61,71,51,73,77,58,78,0
2020-09-16,48,68,80,116,64,86,65,76,101,77,78,0
2020-09-15,41,60,78,143,63,96,60,70,82,64,73,0
2020-09-14,42,53,68,135,69,85,68,72,87,60,77,0
2020-09-13,49,59,59,155,67,42,69,72,98,29,67,0
2020-09-12,42,74,65,182,85,62,80,81,115,50,92,0
2020-09-11,62,81,85,137,72,106,74,93,126,84,87,0
2020-09-10,48,80,90,137,64,108,78,78,90,65,83,0
2020-09-09,51,69,86,125,69,82,71,77,105,57,88,0
