Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,95,90,0,77,151,81,78,138,81,55,121
2021-03-08,116,84,0,73,164,77,81,150,63,48,120
2021-03-07,107,81,0,78,67,67,81,140,93,58,136
2021-03-06,161,109,0,85,76,89,95,162,125,81,183
2021-03-05,129,108,0,78,140,83,90,158,78,81,127
2021-03-04,82,83,0,66,115,70,75,117,68,48,112
2021-03-03,86,81,0,78,67,71,76,124,66,84,117
2021-03-02,129,88,0,70,177,86,78,140,75,61,107
2021-03-01,108,81,0,74,114,77,77,130,61,48,102
2021-02-28,89,76,0,76,81,65,75,133,81,35,138
2021-02-27,145,137,0,79,98,99,106,151,114,84,146
2021-02-26,117,98,0,60,133,94,84,150,69,135,117
2021-02-25,114,101,0,55,173,100,83,146,58,71,103
2021-02-24,107,92,0,70,144,83,85,131,53,71,113
2021-02-23,84,78,0,72,89,71,73,122,59,58,128
2021-02-22,54,77,0,61,63,61,66,113,53,48,115
2021-02-21,61,63,0,69,30,54,64,98,68,39,111
2021-02-20,96,101,0,77,39,68,80,128,80,52,132
2021-02-19,105,92,0,61,64,76,76,125,64,58,116
2021-02-18,73,74,0,60,45,62,60,92,59,58,104
2021-02-17,73,72,0,57,88,64,59,99,42,58,88
2021-02-16,65,49,0,38,49,44,41,85,31,35,84
2021-02-15,69,62,0,46,49,39,45,69,44,32,85
2021-02-14,70,54,0,62,36,54,55,96,69,26,99
2021-02-13,98,81,0,84,58,69,78,118,64,32,114
2021-02-12,125,102,0,83,138,88,85,134,49,58,120
2021-02-11,69,70,0,59,81,76,64,93,47,26,86
2021-02-10,66,64,0,62,60,60,56,100,47,68,101
2021-02-09,80,59,0,56,73,66,59,94,51,39,98
2021-02-08,59,68,0,51,61,50,50,89,37,26,81
2021-02-07,98,53,0,61,58,50,56,93,56,19,70
2021-02-06,95,81,0,74,51,66,71,117,59,58,115
2021-02-05,100,80,0,68,92,71,71,109,41,74,108
2021-02-04,65,66,0,54,33,52,56,90,49,42,80
2021-02-03,65,72,0,78,36,62,61,89,63,77,113
2021-02-02,54,58,0,61,35,62,56,80,54,35,102
2021-02-01,64,67,0,66,41,55,60,72,58,52,92
2021-01-31,40,34,0,34,20,33,38,66,42,19,85
2021-01-30,93,80,6,80,20,56,66,102,75,42,106
2021-01-29,77,82,25,73,44,66,74,109,73,103,115
2021-01-28,40,69,38,56,38,56,69,83,64,65,99
2021-01-27,61,63,44,58,40,56,61,101,59,55,97
2021-01-26,51,50,19,42,37,46,49,86,59,48,88
2021-01-25,43,61,31,63,40,55,60,95,76,68,86
2021-01-24,51,54,25,59,21,52,60,99,75,87,106
2021-01-23,63,79,38,73,22,55,79,102,108,61,105
2021-01-22,83,76,38,67,42,68,69,105,61,81,112
