Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,94,113,74,109,61,177,87,81,106,88,81,78,80
2021-03-08,59,84,58,102,62,165,87,64,95,102,75,77,16
2021-03-07,85,72,52,116,68,2,79,75,104,100,94,78,32
2021-03-06,93,128,73,116,70,1,95,91,117,119,94,84,125
2021-03-05,82,110,68,103,53,164,85,85,97,93,119,73,106
2021-03-04,56,78,56,88,51,95,71,73,80,65,44,70,97
2021-03-03,65,92,71,105,52,153,73,74,93,93,81,74,85
2021-03-02,74,92,61,96,48,114,91,67,93,67,31,66,82
2021-03-01,48,82,60,98,56,105,78,73,87,84,69,73,14
2021-02-28,76,68,46,110,76,0,76,62,87,83,44,74,29
2021-02-27,99,156,77,129,66,2,107,99,122,120,100,87,145
2021-02-26,93,115,80,109,49,150,78,83,117,84,94,71,102
2021-02-25,69,89,65,103,50,120,86,77,87,61,125,72,100
2021-02-24,74,94,62,85,51,141,95,72,98,73,138,68,78
2021-02-23,85,98,59,108,45,153,75,67,91,78,106,69,82
2021-02-22,63,69,54,109,48,125,71,64,84,75,94,64,12
2021-02-21,70,58,42,105,64,0,60,62,81,72,63,71,28
2021-02-20,80,117,63,133,73,1,81,89,107,108,113,83,114
2021-02-19,80,116,69,105,44,147,80,81,91,60,50,63,101
2021-02-18,63,82,69,98,42,140,67,74,84,35,81,55,92
2021-02-17,52,83,45,97,40,107,66,55,72,59,81,52,75
2021-02-16,43,66,38,66,32,88,48,46,54,40,81,45,54
2021-02-15,47,65,42,85,32,98,52,44,57,40,81,41,10
2021-02-14,71,56,43,121,58,1,71,53,68,67,31,62,26
2021-02-13,54,90,42,158,65,0,73,63,84,89,44,71,106
2021-02-12,82,100,62,104,58,132,77,73,88,74,50,69,97
2021-02-11,60,82,52,93,52,102,68,59,82,40,63,61,88
2021-02-10,49,72,49,82,48,100,64,64,82,59,50,58,76
2021-02-09,53,77,59,103,52,117,63,58,84,61,44,65,76
2021-02-08,50,58,51,92,46,86,59,49,62,44,119,55,12
2021-02-07,59,52,40,115,59,0,65,53,60,70,44,60,25
2021-02-06,63,85,59,134,63,0,65,66,75,98,75,69,101
2021-02-05,80,90,55,125,52,122,72,73,88,65,88,61,96
2021-02-04,61,80,52,106,48,124,63,62,74,40,100,60,88
2021-02-03,66,84,61,108,65,151,67,69,74,72,63,73,80
2021-02-02,67,78,54,90,48,113,59,66,76,55,50,62,74
2021-02-01,65,67,49,102,53,125,65,55,77,75,81,68,20
2021-01-31,49,45,21,67,37,2,41,40,37,41,38,44,26
2021-01-30,70,99,53,152,66,0,63,70,85,104,75,74,107
2021-01-29,78,92,50,122,62,135,67,82,87,88,63,76,109
2021-01-28,60,87,64,92,57,134,68,66,70,43,31,64,97
2021-01-27,62,78,53,93,46,113,64,63,79,70,81,65,84
2021-01-26,56,70,45,74,40,118,56,56,61,46,38,49,72
2021-01-25,55,66,43,118,54,132,70,67,74,80,81,72,13
2021-01-24,48,53,40,121,77,0,59,65,71,99,69,74,27
2021-01-23,71,105,57,130,70,1,66,79,96,90,56,80,132
2021-01-22,64,93,59,98,57,122,65,77,81,86,75,68,94
2021-01-21,62,83,60,96,51,127,54,72,81,67,63,64,92
2021-01-20,49,74,53,90,53,108,55,56,81,73,69,63,71
2021-01-19,44,72,50,110,47,96,50,56,69,66,100,58,72
2021-01-18,59,73,59,106,65,154,61,63,74,68,75,66,11
2021-01-17,46,49,38,107,71,0,57,62,76,88,75,70,25
2021-01-16,63,95,49,110,66,1,68,75,91,87,88,79,102
2021-01-15,55,87,56,96,58,127,63,77,88,78,50,70,94
2021-01-14,60,80,54,97,54,127,70,64,86,63,69,65,88
2021-01-13,63,86,60,92,54,131,73,66,79,71,69,69,76
2021-01-12,45,84,58,99,52,112,58,63,70,73,100,64,76
2021-01-11,54,69,55,111,57,117,51,64,82,78,50,73,10
2021-01-10,51,53,44,115,67,1,52,66,75,93,38,67,22
2021-01-09,64,92,51,140,75,2,72,81,93,107,63,79,104
2021-01-08,74,93,63,92,65,141,67,70,88,94,31,77,90
2021-01-07,68,85,58,106,51,134,71,70,86,81,75,65,87
2021-01-06,56,86,59,91,57,134,69,67,83,84,113,70,79
2021-01-05,56,88,52,99,61,119,69,59,74,78,56,68,74
2021-01-04,61,69,60,116,58,134,61,64,74,68,94,71,11
2021-01-03,49,50,40,130,73,0,63,62,69,94,31,69,21
2021-01-02,69,79,49,124,78,1,65,74,79,101,100,75,92
2021-01-01,45,48,29,90,49,81,44,50,56,52,38,46,54
2020-12-31,73,97,69,194,72,144,77,79,96,97,63,83,101
2020-12-30,66,84,57,124,61,134,67,69,80,80,56,66,77
2020-12-29,64,99,53,89,54,137,67,66,75,66,100,64,80
2020-12-28,63,78,57,110,72,132,70,69,83,98,100,75,10
2020-12-27,54,53,40,110,64,0,58,56,76,78,63,64,23
2020-12-26,58,81,47,116,75,0,68,69,83,101,81,74,90
2020-12-25,32,46,22,15,2,100,71,38,50,14,50,26,57
2020-12-24,59,106,62,216,80,150,86,66,78,136,81,92,110
2020-12-23,62,124,84,153,85,179,94,98,98,145,138,94,104
2020-12-22,66,102,60,128,74,152,74,77,79,114,88,81,91
2020-12-21,53,74,59,128,66,130,70,65,84,101,56,76,11
2020-12-20,59,59,48,131,68,1,74,78,79,111,50,73,24
2020-12-19,58,93,54,119,76,1,73,76,91,123,56,80,109
2020-12-18,42,90,47,115,54,109,70,85,75,97,50,63,94
2020-12-17,36,73,48,104,48,92,61,67,73,81,38,58,91
2020-12-16,34,75,46,101,46,97,60,58,79,89,44,55,74
2020-12-15,32,77,44,106,46,100,59,56,72,77,81,54,74
2020-12-14,39,66,42,90,46,86,55,57,64,76,81,54,10
2020-12-13,30,49,27,115,70,2,48,57,83,98,44,69,22
2020-12-12,39,91,36,106,61,1,58,68,91,102,44,66,96
2020-12-11,37,81,36,108,45,111,59,63,82,73,50,55,93
2020-12-10,40,81,47,113,56,117,51,59,82,74,69,60,89
