Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,300,58,100,425,73,137,78,88,69,106
2021-03-08,100,53,81,575,80,126,82,76,78,56
2021-03-07,200,118,65,400,73,4,55,64,91,11
2021-03-06,200,92,111,675,53,7,58,87,72,78
2021-03-05,0,58,118,700,77,126,95,86,98,33
2021-03-04,300,42,82,325,87,100,50,79,60,33
2021-03-03,200,92,90,400,73,115,75,72,68,39
2021-03-02,200,21,80,250,93,107,72,61,63,72
2021-03-01,400,58,72,475,57,103,66,72,62,28
2021-02-28,200,76,70,425,53,5,65,64,60,39
2021-02-27,0,79,115,575,60,7,64,89,89,44
2021-02-26,200,84,101,600,63,120,84,83,93,33
2021-02-25,100,74,93,700,73,111,63,66,72,61
2021-02-24,0,74,92,450,93,104,63,74,84,78
2021-02-23,200,61,88,425,83,96,58,74,65,56
2021-02-22,200,45,62,450,67,97,60,60,52,39
2021-02-21,200,66,50,275,40,3,47,54,64,22
2021-02-20,200,55,94,525,70,3,50,71,79,33
2021-02-19,300,66,98,475,63,113,57,78,85,28
2021-02-18,100,58,68,750,37,115,80,53,65,17
2021-02-17,0,63,74,425,67,82,57,52,54,39
2021-02-16,100,34,57,275,57,63,34,39,28,17
2021-02-15,300,42,57,325,83,83,34,42,40,33
2021-02-14,400,29,54,225,70,3,63,43,48,11
2021-02-13,100,45,77,250,73,5,74,57,58,28
2021-02-12,100,50,96,475,87,104,66,66,84,22
2021-02-11,200,53,78,250,87,85,58,61,47,44
2021-02-10,400,50,74,225,70,92,54,64,51,56
2021-02-09,300,32,73,425,87,102,68,60,67,72
2021-02-08,500,37,58,325,67,75,66,47,59,28
2021-02-07,200,50,57,400,67,6,58,43,56,44
2021-02-06,100,37,82,475,67,8,57,60,58,56
2021-02-05,200,34,86,400,63,111,78,67,74,83
2021-02-04,300,39,67,350,77,102,66,56,57,61
2021-02-03,200,66,75,450,90,108,70,66,65,39
2021-02-02,400,32,77,225,53,105,56,53,68,100
2021-02-01,900,45,72,325,80,116,82,67,64,150
2021-01-31,400,42,44,200,70,15,43,46,52,111
2021-01-30,"1,000",58,81,525,107,11,59,67,64,94
2021-01-29,300,71,94,350,57,131,75,77,78,228
2021-01-28,600,58,78,350,60,121,89,57,85,144
2021-01-27,900,63,77,350,53,125,81,70,93,250
2021-01-26,200,37,66,275,63,93,85,71,73,117
2021-01-25,300,39,58,350,120,82,50,57,68,56
2021-01-24,100,61,53,250,77,4,63,56,42,39
2021-01-23,100,50,80,525,57,4,62,59,68,56
2021-01-22,100,50,83,450,33,106,73,73,72,44
2021-01-21,200,61,74,500,47,96,69,65,68,44
2021-01-20,400,63,76,300,87,79,51,64,54,17
2021-01-19,100,45,62,350,70,87,56,59,67,50
2021-01-18,400,47,58,525,87,85,52,57,42,28
2021-01-17,100,108,58,325,70,3,50,60,54,28
2021-01-16,400,32,83,475,30,7,58,61,57,61
2021-01-15,100,47,84,325,63,100,67,76,86,28
2021-01-14,100,39,73,400,63,96,65,66,65,33
2021-01-13,300,61,68,600,120,97,79,61,61,56
2021-01-12,400,47,68,350,77,91,81,56,64,22
2021-01-11,300,32,62,450,97,88,60,54,58,44
2021-01-10,100,53,57,425,87,4,46,49,65,22
2021-01-09,100,82,85,425,87,2,58,71,68,11
2021-01-08,100,71,80,300,73,103,72,77,78,67
2021-01-07,200,42,75,425,93,96,70,70,79,39
2021-01-06,100,34,71,350,73,84,63,60,75,17
2021-01-05,100,55,66,425,80,88,64,66,63,17
2021-01-04,0,34,69,450,77,80,69,67,72,11
2021-01-03,100,26,62,425,53,2,55,58,60,11
2021-01-02,100,45,71,425,50,5,73,65,57,17
2021-01-01,100,26,50,450,10,55,40,41,51,17
2020-12-31,100,53,100,400,107,105,87,74,77,11
2020-12-30,100,45,84,525,60,94,73,68,74,33
2020-12-29,100,45,74,225,67,97,46,62,62,22
2020-12-28,0,61,66,325,67,95,67,67,65,22
2020-12-27,0,24,53,325,40,1,69,50,35,17
2020-12-26,100,37,70,325,73,5,57,62,62,17
2020-12-25,200,45,48,350,3,66,74,55,39,28
2020-12-24,200,68,92,650,93,110,85,76,81,44
2020-12-23,300,66,94,625,73,127,96,74,85,44
2020-12-22,300,55,90,325,60,108,76,76,74,33
2020-12-21,400,71,73,350,87,90,71,69,78,28
2020-12-20,100,58,61,375,73,1,56,71,61,17
2020-12-19,200,45,83,325,57,3,61,82,61,39
2020-12-18,200,71,87,325,57,104,83,81,71,61
2020-12-17,100,76,66,275,60,76,64,66,66,56
2020-12-16,100,45,66,275,63,88,59,58,62,44
2020-12-15,200,21,58,325,83,80,52,55,38,39
2020-12-14,100,37,48,300,67,79,53,56,55,39
2020-12-13,0,24,50,425,63,1,38,48,44,11
