Category,Bars,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,59,80,80,72,113,82,68,50,74,84
2021-03-08,29,72,81,59,86,90,70,50,73,40
2021-03-07,32,54,0,56,107,99,78,200,80,0
2021-03-06,59,85,0,53,115,88,85,50,89,97
2021-03-05,59,82,63,73,93,109,70,25,77,92
2021-03-04,26,63,49,72,75,92,62,125,66,78
2021-03-03,62,70,48,84,93,81,73,125,76,86
2021-03-02,53,63,60,59,96,106,65,100,77,74
2021-03-01,38,64,55,55,95,75,55,200,63,41
2021-02-28,59,44,0,53,80,94,105,100,74,0
2021-02-27,65,82,0,43,120,102,76,75,86,101
2021-02-26,65,79,52,68,108,77,66,100,73,88
2021-02-25,76,78,51,53,91,73,61,75,69,73
2021-02-24,47,70,47,56,80,58,58,125,65,79
2021-02-23,53,65,57,76,96,78,70,25,75,82
2021-02-22,32,60,39,45,75,78,59,75,68,40
2021-02-21,94,44,0,61,81,69,70,100,75,0
2021-02-20,79,80,0,81,105,73,84,75,80,100
2021-02-19,88,71,41,59,93,67,74,75,74,85
2021-02-18,53,60,35,52,76,84,35,125,61,74
2021-02-17,29,64,36,45,85,76,38,50,54,76
2021-02-16,29,50,27,59,58,50,30,150,53,60
2021-02-15,32,47,37,28,45,56,27,100,42,32
2021-02-14,32,42,0,53,68,77,64,50,59,0
2021-02-13,38,59,0,56,73,74,69,50,65,80
2021-02-12,62,72,45,77,107,94,65,50,74,84
2021-02-11,38,58,42,59,73,62,47,225,65,71
2021-02-10,21,53,51,59,77,62,35,75,54,70
2021-02-09,56,63,46,49,78,74,42,100,61,74
2021-02-08,32,49,45,39,58,64,54,125,57,31
2021-02-07,50,36,0,44,66,65,55,75,56,0
2021-02-06,82,63,0,59,80,82,66,100,69,86
2021-02-05,44,62,47,56,89,75,41,200,70,81
2021-02-04,65,59,45,68,88,100,54,75,66,78
2021-02-03,47,63,61,65,79,71,57,50,64,75
2021-02-02,53,63,53,44,90,52,53,50,60,76
2021-02-01,65,61,60,52,80,73,45,100,63,40
2021-01-31,12,30,0,24,37,42,54,25,47,0
2021-01-30,74,62,0,64,77,74,69,125,73,87
2021-01-29,53,58,62,51,82,69,54,75,73,76
2021-01-28,56,59,54,56,73,89,58,75,61,69
2021-01-27,32,52,52,37,75,86,45,125,60,65
2021-01-26,50,54,66,63,73,53,53,125,53,63
2021-01-25,38,56,46,41,73,60,39,50,61,42
2021-01-24,32,40,0,39,85,75,59,75,69,0
2021-01-23,59,66,0,44,96,69,53,150,69,87
2021-01-22,35,59,52,48,92,60,47,50,64,79
2021-01-21,21,57,70,53,86,74,42,50,64,75
2021-01-20,44,49,56,48,78,43,41,75,59,65
2021-01-19,26,49,63,48,72,65,32,25,56,65
2021-01-18,44,59,74,65,92,71,57,50,66,43
2021-01-17,44,39,0,49,92,65,64,75,73,0
2021-01-16,65,62,0,52,84,68,76,25,75,88
2021-01-15,56,64,55,41,88,90,43,75,60,80
2021-01-14,32,63,51,69,86,76,46,25,66,76
2021-01-13,71,66,67,57,91,81,57,25,57,78
2021-01-12,53,57,52,72,89,60,47,50,63,72
2021-01-11,47,65,53,60,82,52,47,150,64,39
2021-01-10,65,44,0,39,77,80,81,125,67,0
2021-01-09,15,71,0,35,119,80,114,75,87,82
2021-01-08,53,64,122,72,87,66,64,25,64,71
2021-01-07,44,57,123,52,81,73,42,75,69,71
2021-01-06,53,56,137,59,94,62,43,50,69,72
2021-01-05,44,52,51,68,80,83,45,75,63,69
2021-01-04,44,59,58,49,74,70,54,25,67,37
2021-01-03,50,37,0,51,72,86,53,0,62,0
