Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,200,39,66,54,89,86,66,67
2021-03-08,150,64,63,66,86,60,65,58
2021-03-07,0,85,65,64,68,64,63,44
2021-03-06,50,76,99,70,125,125,76,79
2021-03-05,100,79,80,56,107,82,70,91
2021-03-04,150,36,62,55,94,65,62,76
2021-03-03,50,67,80,55,87,70,66,64
2021-03-02,200,61,55,61,84,64,59,74
2021-03-01,100,55,62,64,74,58,61,65
2021-02-28,50,52,49,55,74,56,58,47
2021-02-27,50,73,86,61,123,118,76,78
2021-02-26,0,67,86,66,111,86,71,74
2021-02-25,50,58,71,50,97,107,61,63
2021-02-24,200,55,78,75,102,79,63,66
2021-02-23,100,27,62,64,107,77,62,74
2021-02-22,200,76,62,58,79,63,59,76
2021-02-21,50,88,48,69,74,52,57,49
2021-02-20,100,79,66,79,93,86,71,78
2021-02-19,150,82,81,61,99,65,65,64
2021-02-18,200,36,72,52,81,77,64,55
2021-02-17,150,39,59,57,86,71,64,55
2021-02-16,100,21,37,38,67,42,51,43
2021-02-15,100,55,56,42,61,38,59,41
2021-02-14,100,24,53,77,60,67,58,47
2021-02-13,0,42,56,79,77,87,66,52
2021-02-12,150,70,86,61,88,62,73,71
2021-02-11,50,36,62,51,74,52,63,63
2021-02-10,250,48,63,58,68,60,62,69
2021-02-09,150,52,63,61,60,49,61,57
2021-02-08,200,48,53,49,65,57,59,47
2021-02-07,50,61,41,55,52,46,52,42
2021-02-06,50,45,74,71,79,67,63,51
2021-02-05,150,70,74,58,91,60,65,65
2021-02-04,50,33,63,59,68,65,61,62
2021-02-03,50,70,66,52,81,51,63,64
2021-02-02,50,61,61,56,85,52,61,66
2021-02-01,150,55,55,59,71,65,59,60
2021-01-31,200,55,29,42,52,38,43,24
2021-01-30,0,82,74,68,86,82,67,58
2021-01-29,100,97,73,62,92,68,69,56
2021-01-28,100,79,62,64,65,46,62,47
2021-01-27,150,82,69,55,71,52,61,38
2021-01-26,150,70,51,49,67,68,56,49
2021-01-25,200,52,62,72,51,57,62,44
2021-01-24,0,67,39,77,81,55,58,42
2021-01-23,50,79,75,64,91,74,73,70
2021-01-22,250,88,79,66,88,85,65,64
2021-01-21,50,88,67,61,95,63,62,56
2021-01-20,150,73,64,61,88,65,58,73
2021-01-19,100,85,60,60,60,63,61,59
2021-01-18,0,61,66,66,73,55,63,47
2021-01-17,50,67,49,58,88,56,54,43
2021-01-16,0,109,73,63,106,60,67,51
2021-01-15,0,55,60,61,96,79,66,70
2021-01-14,100,18,69,56,91,60,62,65
2021-01-13,100,61,64,61,96,65,60,58
2021-01-12,0,36,61,60,66,74,59,66
2021-01-11,50,82,59,63,65,61,58,60
2021-01-10,0,70,54,60,86,61,54,50
2021-01-09,0,73,76,67,131,93,70,57
2021-01-08,200,64,73,75,88,71,67,72
2021-01-07,50,106,63,55,80,71,61,51
2021-01-06,50,73,70,59,80,73,60,51
2021-01-05,100,55,64,51,75,83,59,67
2021-01-04,100,33,66,61,71,61,60,70
2021-01-03,0,39,42,56,66,54,54,47
2021-01-02,100,58,63,64,63,62,63,59
2021-01-01,50,88,44,40,42,58,48,24
2020-12-31,50,55,68,85,88,68,63,71
2020-12-30,50,73,75,71,80,51,64,60
2020-12-29,50,55,70,58,95,74,63,64
2020-12-28,100,58,84,57,82,80,64,69
2020-12-27,50,55,56,54,102,61,56,38
2020-12-26,50,91,56,67,86,49,57,45
2020-12-25,100,52,29,19,23,46,49,33
2020-12-24,50,42,74,96,74,87,68,67
2020-12-23,0,73,96,81,104,64,78,92
2020-12-22,50,58,86,66,98,70,73,92
2020-12-21,150,30,74,66,94,65,66,76
2020-12-20,0,70,49,59,91,73,60,45
2020-12-19,0,70,70,75,100,69,69,78
2020-12-18,50,67,77,52,107,82,69,81
2020-12-17,100,48,67,70,80,61,61,62
2020-12-16,50,64,63,53,86,73,63,59
2020-12-15,50,52,55,54,68,58,58,50
2020-12-14,100,39,50,56,84,67,58,44
2020-12-13,0,39,44,58,68,49,54,56
2020-12-12,0,73,55,74,76,55,60,58
2020-12-11,0,70,60,50,104,80,63,59
2020-12-10,100,58,60,61,72,69,59,62
2020-12-09,100,45,63,61,105,69,61,57
2020-12-08,50,15,52,60,86,48,60,65
2020-12-07,100,42,58,52,77,51,58,58
2020-12-06,0,36,44,40,84,71,54,41
2020-12-05,50,64,68,71,108,55,66,57
2020-12-04,100,55,65,63,91,65,66,66
2020-12-03,100,52,72,56,77,55,60,57
2020-12-02,50,30,61,59,101,74,59,56
2020-12-01,100,39,52,66,71,61,58,64
