Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,0,89,25,104,75,63,77,77,1,62,64
2021-03-08,0,85,33,72,70,80,57,62,1,63,62
2021-03-07,50,72,30,62,51,60,56,32,1,54,57
2021-03-06,19,95,33,53,74,83,47,77,1,67,66
2021-03-05,38,103,43,68,74,101,58,94,1,66,65
2021-03-04,19,73,27,85,59,71,51,68,1,61,59
2021-03-03,13,93,47,72,74,94,70,81,2,70,70
2021-03-02,6,82,32,66,38,85,56,60,1,54,62
2021-03-01,0,80,30,51,53,69,54,68,2,56,65
2021-02-28,0,61,35,43,62,45,53,57,1,58,70
2021-02-27,0,96,35,47,71,78,64,62,1,67,78
2021-02-26,81,99,39,66,74,83,54,68,1,66,75
2021-02-25,56,85,27,74,64,55,53,49,2,55,71
2021-02-24,13,88,35,64,58,65,57,72,2,59,71
2021-02-23,13,95,35,72,67,55,57,68,2,58,72
2021-02-22,0,77,24,51,46,53,57,45,1,52,69
2021-02-21,19,58,30,43,50,53,34,36,1,49,68
2021-02-20,0,89,27,45,57,87,45,83,2,61,66
2021-02-19,19,93,41,60,57,74,45,64,1,64,66
2021-02-18,19,80,20,62,63,66,46,57,2,53,60
2021-02-17,6,74,35,43,53,57,44,60,1,46,62
2021-02-16,0,61,28,32,38,32,19,43,1,38,58
2021-02-15,0,56,29,47,38,34,34,28,1,38,64
2021-02-14,0,56,24,30,50,58,38,40,0,44,66
2021-02-13,13,70,37,36,64,49,37,68,1,57,71
2021-02-12,25,87,25,58,67,74,48,60,2,59,70
2021-02-11,0,77,32,57,47,49,58,47,1,51,75
2021-02-10,25,77,39,55,57,68,37,62,1,53,64
2021-02-09,25,79,24,47,47,53,55,32,1,49,70
2021-02-08,0,57,38,38,49,49,42,38,1,50,68
2021-02-07,0,58,19,36,29,40,31,28,1,35,55
2021-02-06,0,65,37,40,53,47,49,64,1,49,57
2021-02-05,50,82,39,55,53,61,49,51,0,54,97
2021-02-04,0,76,57,47,59,76,50,62,2,64,129
2021-02-03,19,83,42,62,74,69,57,79,1,64,63
2021-02-02,19,84,37,115,53,70,50,60,2,64,83
2021-02-01,13,82,54,243,74,52,55,87,1,74,120
2021-01-31,25,55,34,191,36,24,31,45,2,50,158
2021-01-30,31,78,62,164,67,70,37,68,1,73,91
2021-01-29,44,94,62,215,78,79,48,109,2,88,123
