Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,56,87,24,380,185,79,43,79,89,69,483,78
2021-03-08,80,85,21,422,218,101,49,70,90,66,465,73
2021-03-07,67,58,12,294,129,55,52,72,90,84,296,66
2021-03-06,93,96,16,288,145,72,64,84,91,96,461,84
2021-03-05,95,102,17,363,171,78,60,86,108,86,313,87
2021-03-04,61,80,24,355,184,69,36,75,77,85,387,79
2021-03-03,67,89,18,131,41,31,38,86,92,84,87,78
2021-03-02,69,73,25,353,180,64,53,72,89,68,348,74
2021-03-01,80,70,16,180,66,16,38,79,92,60,78,69
2021-02-28,65,46,7,153,55,24,33,70,87,65,139,57
2021-02-27,87,104,16,233,84,32,45,88,123,107,161,95
2021-02-26,85,97,16,190,64,32,58,76,108,77,126,75
2021-02-25,68,87,22,194,72,35,42,77,97,72,143,73
2021-02-24,60,86,14,220,83,28,49,75,99,77,191,74
2021-02-23,75,73,20,206,77,23,37,77,81,68,126,72
2021-02-22,64,71,16,184,75,32,44,69,64,38,100,57
2021-02-21,49,54,8,167,62,24,34,64,61,43,113,50
2021-02-20,99,79,13,198,68,25,44,79,88,66,78,74
2021-02-19,68,94,15,176,63,31,62,77,86,59,165,69
2021-02-18,65,76,10,141,47,13,43,63,78,63,43,58
2021-02-17,44,69,18,153,63,17,45,58,62,50,117,59
2021-02-16,47,46,9,116,46,9,42,44,59,34,78,43
2021-02-15,56,56,7,71,29,13,27,49,50,33,35,42
2021-02-14,56,51,5,118,39,13,51,53,75,50,87,47
2021-02-13,80,74,10,192,69,23,47,72,75,63,78,67
2021-02-12,75,92,22,222,82,35,67,74,83,67,165,84
2021-02-11,59,75,21,165,64,21,38,70,64,72,117,65
2021-02-10,64,76,16,186,62,19,64,54,76,58,130,61
2021-02-09,40,79,22,173,69,21,49,48,60,61,78,63
2021-02-08,55,59,13,169,57,19,37,57,61,33,104,50
2021-02-07,40,53,4,216,84,26,38,47,65,59,143,44
2021-02-06,49,75,12,139,47,25,44,67,80,93,91,68
2021-02-05,61,80,11,227,77,26,55,75,75,62,139,69
2021-02-04,59,76,11,155,56,13,39,60,69,47,74,59
2021-02-03,72,86,17,147,45,13,61,70,95,82,83,69
2021-02-02,61,75,14,188,59,12,47,65,74,54,83,56
2021-02-01,51,71,11,102,40,7,46,54,72,42,30,53
2021-01-31,29,46,3,65,18,6,47,37,38,17,30,27
2021-01-30,36,80,13,188,55,10,46,68,93,81,30,70
2021-01-29,59,92,11,129,31,7,48,83,76,74,48,70
2021-01-28,51,83,18,127,37,7,60,70,76,56,48,62
2021-01-27,52,92,14,137,45,9,40,59,61,46,57,53
2021-01-26,59,68,10,112,36,6,43,56,69,46,43,48
2021-01-25,63,56,12,194,70,6,40,59,71,79,65,59
2021-01-24,59,50,13,149,47,4,42,60,62,70,35,53
2021-01-23,68,82,13,165,47,6,61,76,78,94,39,76
2021-01-22,81,84,15,114,38,8,48,74,88,60,30,72
2021-01-21,75,76,14,110,34,6,36,71,77,59,43,63
2021-01-20,63,67,12,133,47,6,44,57,66,62,43,55
2021-01-19,45,61,12,116,32,6,27,55,49,47,70,51
2021-01-18,60,63,14,129,51,7,51,56,77,43,35,54
2021-01-17,49,51,5,165,57,4,38,60,56,53,30,47
2021-01-16,59,78,16,143,40,6,51,67,69,71,22,67
2021-01-15,73,82,12,163,43,7,54,74,89,80,52,71
2021-01-14,61,75,17,137,45,7,48,73,83,81,52,69
2021-01-13,67,73,15,165,49,9,47,87,63,59,83,72
2021-01-12,73,71,17,155,44,7,40,69,68,56,57,64
2021-01-11,69,65,14,110,30,9,49,66,77,57,30,62
2021-01-10,59,59,11,161,54,149,52,72,75,62,22,58
2021-01-09,59,79,10,173,49,154,64,80,89,86,22,77
2021-01-08,56,85,13,133,40,12,65,86,99,85,22,80
2021-01-07,69,73,15,143,44,12,64,68,80,64,13,66
2021-01-06,61,80,18,124,38,12,60,72,92,68,35,67
2021-01-05,87,75,16,161,52,7,40,69,72,69,35,71
2021-01-04,61,66,12,153,41,7,54,71,85,66,17,70
2021-01-03,56,52,8,169,54,12,40,59,64,60,43,53
2021-01-02,61,71,9,182,57,19,37,77,105,79,30,70
2021-01-01,29,57,6,41,5,9,43,62,69,41,35,44
2020-12-31,72,92,16,188,47,12,67,94,110,120,43,92
2020-12-30,55,77,11,159,49,12,46,79,98,80,26,69
2020-12-29,75,62,15,151,44,14,57,72,86,69,22,66
2020-12-28,44,61,15,149,52,11,48,68,73,63,26,61
2020-12-27,52,46,9,106,36,6,53,60,65,63,17,44
2020-12-26,79,62,8,141,33,10,61,79,79,74,17,70
2020-12-25,49,52,5,14,2,9,53,39,42,17,17,26
2020-12-24,53,86,16,163,44,15,92,77,94,156,22,98
2020-12-23,96,84,15,204,55,21,52,86,111,119,43,93
2020-12-22,87,90,14,200,53,30,58,73,78,84,48,78
2020-12-21,60,75,17,157,38,59,54,68,89,90,26,72
2020-12-20,48,47,12,192,52,25,36,74,67,91,35,66
2020-12-19,61,70,9,147,43,61,54,74,86,100,48,77
2020-12-18,65,92,12,131,22,54,46,71,78,86,35,74
2020-12-17,44,74,9,145,33,61,47,64,74,64,52,61
2020-12-16,63,70,10,173,44,85,52,68,63,66,48,59
2020-12-15,44,53,9,102,24,108,53,62,58,80,13,56
2020-12-14,56,54,8,133,37,67,42,59,57,51,26,53
2020-12-13,55,35,5,122,30,67,25,47,59,73,26,43
2020-12-12,43,53,9,171,38,79,35,62,63,93,35,64
2020-12-11,60,65,10,149,38,75,40,66,64,62,35,58
2020-12-10,76,63,11,165,49,80,45,62,65,64,13,60
2020-12-09,56,62,13,153,39,230,49,69,83,70,26,60
2020-12-08,51,73,10,212,49,202,52,60,79,73,39,61
2020-12-07,63,64,11,176,41,63,61,70,85,73,43,63
2020-12-06,48,51,6,206,47,52,38,58,75,67,26,54
2020-12-05,68,80,13,159,33,53,57,75,84,82,48,71
2020-12-04,77,78,8,180,40,64,44,80,88,63,26,72
2020-12-03,67,75,11,161,36,54,40,71,80,57,35,69
2020-12-02,56,66,10,178,34,63,31,59,85,58,43,62
2020-12-01,55,58,12,176,36,53,55,68,77,61,43,61
2020-11-30,63,57,12,184,38,59,52,73,70,57,26,56
2020-11-29,45,49,4,178,40,53,42,59,62,54,35,47
2020-11-28,69,58,9,167,25,53,61,63,85,64,22,64
2020-11-27,53,69,7,114,20,70,44,61,78,65,39,57
2020-11-26,47,53,3,92,11,97,48,39,44,46,13,45
2020-11-25,75,78,7,284,60,156,62,76,88,111,35,90
2020-11-24,60,63,10,259,56,163,44,77,85,82,35,77
2020-11-23,60,57,11,237,46,180,49,64,68,81,22,69
2020-11-22,49,43,5,210,39,174,44,64,66,58,39,55
2020-11-21,87,85,14,204,38,221,47,85,87,83,61,77
2020-11-20,77,80,12,206,28,193,67,76,101,69,52,72
2020-11-19,60,72,13,231,44,173,55,64,79,60,35,66
2020-11-18,55,56,10,229,41,69,56,57,91,60,52,64
2020-11-17,67,59,16,202,57,34,62,60,77,51,48,59
2020-11-16,49,65,14,202,33,40,53,63,78,63,26,63
2020-11-15,52,48,4,210,49,38,46,57,73,49,26,48
2020-11-14,55,65,8,222,64,44,56,62,83,83,17,72
2020-11-13,85,78,10,188,49,36,56,84,99,89,78,73
2020-11-12,57,69,11,198,5,211,46,61,77,62,43,64
2020-11-11,64,58,13,202,2,917,57,66,76,43,39,58
2020-11-10,47,59,14,224,0,888,52,63,77,67,35,64
2020-11-09,44,59,13,204,0,968,63,58,79,55,30,60
2020-11-08,53,48,6,210,0,546,57,72,67,61,26,54
2020-11-07,75,80,8,229,0,648,66,81,97,91,30,79
2020-11-06,77,86,14,167,0,743,54,83,82,75,13,72
2020-11-05,56,63,15,173,0,513,55,68,79,50,26,60
2020-11-04,47,75,11,227,0,170,63,68,88,66,35,67
2020-11-03,61,92,12,229,0,117,55,77,85,71,48,71
2020-11-02,56,71,11,255,0,80,53,79,76,65,35,68
2020-11-01,48,53,7,253,0,89,29,75,89,75,22,58
2020-10-31,72,80,8,188,0,105,57,75,107,66,48,78
2020-10-30,55,89,9,178,0,117,67,81,90,92,35,78
2020-10-29,75,68,9,188,0,126,70,69,82,63,78,61
2020-10-28,64,67,14,200,0,146,44,66,85,61,52,65
2020-10-27,45,59,11,163,0,59,56,64,79,47,35,61
2020-10-26,60,59,8,165,0,31,63,67,75,43,43,56
2020-10-25,59,53,6,159,0,15,47,58,74,67,4,49
2020-10-24,64,69,11,212,0,20,62,70,91,108,17,79
2020-10-23,73,73,8,178,0,14,56,78,82,75,65,68
2020-10-22,53,76,13,171,0,25,54,68,64,71,30,62
2020-10-21,49,64,13,194,0,13,53,73,79,64,35,64
2020-10-20,53,58,14,182,0,13,47,63,80,63,43,60
2020-10-19,56,55,13,149,0,6,49,63,88,59,26,60
2020-10-18,55,43,8,216,0,10,47,61,59,59,22,53
2020-10-17,88,74,11,222,0,13,66,72,93,101,13,82
2020-10-16,72,82,12,176,0,12,63,90,99,83,39,79
2020-10-15,63,66,12,184,0,78,62,59,78,71,35,64
2020-10-14,40,68,13,204,0,219,48,66,84,67,48,60
2020-10-13,65,69,8,198,0,199,57,58,70,61,30,60
2020-10-12,47,57,10,202,0,139,49,54,59,52,22,58
2020-10-11,63,39,7,206,0,150,63,55,66,68,17,54
2020-10-10,61,74,11,210,0,208,66,77,85,90,35,78
2020-10-09,76,74,14,173,0,232,54,83,102,94,30,73
2020-10-08,60,79,7,202,0,173,48,72,76,64,17,69
2020-10-07,72,76,10,169,0,164,47,73,86,63,30,69
2020-10-06,31,57,17,216,0,227,62,68,77,69,17,66
2020-10-05,65,66,12,173,0,119,49,64,73,70,48,65
2020-10-04,61,43,8,218,0,119,52,56,73,81,26,56
2020-10-03,79,69,10,171,0,137,57,81,80,91,26,78
2020-10-02,91,83,13,186,0,181,53,76,95,96,30,81
2020-10-01,69,68,8,241,0,256,48,70,91,61,22,69
2020-09-30,84,78,12,165,0,400,57,76,88,72,48,68
2020-09-29,49,60,10,200,0,356,49,71,85,72,39,72
2020-09-28,59,59,11,206,0,368,43,67,87,45,22,59
2020-09-27,63,47,6,178,0,172,34,65,72,48,4,52
2020-09-26,81,68,12,198,0,207,61,73,89,86,35,77
2020-09-25,60,83,14,173,0,186,67,78,97,98,39,77
2020-09-24,60,74,8,141,0,186,63,62,72,77,43,63
2020-09-23,52,67,13,204,0,81,60,69,91,72,30,64
2020-09-22,56,64,12,161,0,93,51,63,73,59,39,63
2020-09-21,59,51,13,173,0,47,35,51,65,61,43,53
2020-09-20,60,47,4,186,0,47,53,51,64,53,9,49
2020-09-19,67,75,9,186,0,47,57,68,83,89,35,70
2020-09-18,63,69,11,155,0,46,57,64,87,87,57,68
2020-09-17,57,61,13,202,0,81,57,63,72,75,48,66
2020-09-16,73,67,11,141,0,122,64,63,75,78,22,68
2020-09-15,60,69,10,182,0,90,55,61,75,50,22,64
2020-09-14,71,63,12,206,0,37,80,55,63,55,52,62
2020-09-13,44,46,9,233,0,28,49,70,75,79,22,59
2020-09-12,81,64,9,227,0,25,69,71,95,86,4,78
2020-09-11,68,75,11,190,0,21,61,71,104,63,43,73
2020-09-10,65,70,15,227,0,17,73,70,77,77,26,74
2020-09-09,55,67,11,204,0,18,71,67,73,63,35,68
2020-09-08,69,67,16,231,0,55,57,57,77,62,48,63
2020-09-07,41,58,10,200,0,141,62,64,66,65,13,63
2020-09-06,47,45,5,200,0,168,63,62,65,71,13,64
2020-09-05,65,77,10,247,0,155,97,85,87,99,30,88
2020-09-04,84,87,12,178,0,172,67,84,114,77,43,79
2020-09-03,68,73,10,180,0,142,76,83,96,73,78,75
2020-09-02,69,69,13,182,0,254,73,64,83,69,48,70
2020-09-01,68,66,15,182,0,465,58,65,74,57,35,74
2020-08-31,67,63,7,165,0,131,92,63,69,55,30,62
2020-08-30,57,40,4,188,0,57,55,48,61,50,39,48
2020-08-29,64,63,12,167,0,49,74,59,77,80,39,61
2020-08-28,77,65,9,176,0,50,66,70,95,55,4,64
2020-08-27,60,70,12,163,0,170,90,72,74,55,61,63
2020-08-26,47,76,10,167,0,280,89,69,78,59,26,63
2020-08-25,55,61,9,180,0,324,91,58,77,56,22,63
2020-08-24,72,58,14,176,0,389,74,70,68,51,22,63
2020-08-23,55,49,4,180,0,371,62,52,77,48,22,49
2020-08-22,85,80,9,190,0,418,82,75,86,97,74,73
2020-08-21,72,94,11,206,0,474,83,69,96,83,48,73
2020-08-20,67,70,14,155,0,698,64,65,77,65,39,67
2020-08-19,64,81,13,188,0,812,66,64,77,60,87,64
2020-08-18,52,71,17,167,0,937,76,66,69,63,61,68
2020-08-17,80,59,11,196,0,"1,372",80,68,75,71,70,62
2020-08-16,69,45,6,184,0,"1,244",65,62,84,56,35,47
2020-08-15,71,64,11,214,0,"1,429",70,74,93,75,48,74
2020-08-14,107,75,13,227,0,"1,312",81,73,102,87,61,75
2020-08-13,73,63,14,141,0,"1,426",65,62,89,55,57,65
2020-08-12,57,62,13,159,0,929,54,66,87,64,48,65
2020-08-11,60,78,11,222,0,811,70,54,89,57,22,69
2020-08-10,91,61,9,204,0,758,46,57,86,54,35,52
2020-08-09,69,46,9,198,0,468,62,52,78,64,35,55
2020-08-08,89,76,12,243,0,650,52,70,112,95,39,74
2020-08-07,93,76,12,194,0,718,63,81,106,69,43,78
2020-08-06,56,68,15,208,0,733,63,71,91,84,52,71
2020-08-05,61,69,14,220,0,785,69,71,99,68,48,66
2020-08-04,55,70,12,214,0,740,57,62,84,70,48,68
2020-08-03,65,65,14,239,0,541,53,61,71,55,39,66
2020-08-02,83,55,9,190,0,653,63,57,81,55,9,57
2020-08-01,63,81,10,202,0,721,56,68,96,97,35,77
2020-07-31,111,84,15,173,0,423,63,80,118,95,17,86
2020-07-30,68,80,16,231,0,595,61,69,91,86,57,77
2020-07-29,93,71,12,190,0,624,62,68,109,71,65,68
2020-07-28,87,70,17,218,0,385,56,66,74,76,61,73
2020-07-27,72,69,9,188,0,138,46,68,92,75,43,68
2020-07-26,63,47,7,139,0,136,47,55,75,48,17,43
2020-07-25,71,100,11,261,0,115,75,72,92,129,61,81
2020-07-24,79,75,12,143,0,132,56,51,74,70,57,67
2020-07-23,73,72,14,194,0,121,66,63,81,76,26,70
2020-07-22,76,75,15,176,0,169,62,70,102,85,30,77
2020-07-21,72,65,15,216,0,237,60,62,79,78,48,71
2020-07-20,61,65,13,143,0,386,58,57,69,62,30,63
2020-07-19,53,45,7,206,0,368,64,52,73,59,52,48
2020-07-18,99,70,12,151,0,318,61,56,90,79,35,66
