Category,Airports & Transit Centers,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,86,111,55,59,83,51,73,0,0
2021-03-08,36,108,51,47,105,65,79,0,0
2021-03-07,14,82,36,37,65,63,72,0,0
2021-03-06,57,122,52,65,72,98,95,0,0
2021-03-05,57,138,56,61,80,90,98,0,0
2021-03-04,64,94,44,53,80,56,91,0,0
2021-03-03,57,80,51,53,63,67,87,0,0
2021-03-02,64,95,49,60,79,73,63,0,0
2021-03-01,57,60,47,53,54,75,66,0,0
2021-02-28,29,48,32,49,40,49,73,0,0
2021-02-27,54,90,54,60,77,71,115,0,0
2021-02-26,71,91,53,51,69,71,83,0,0
2021-02-25,64,65,51,63,62,63,85,0,0
2021-02-24,14,81,47,61,59,73,80,0,0
2021-02-23,57,79,51,54,58,38,59,0,0
2021-02-22,21,46,49,39,47,40,54,0,0
2021-02-21,43,45,23,44,40,44,46,0,0
2021-02-20,36,77,38,56,45,70,76,0,0
2021-02-19,61,77,43,50,54,51,76,0,0
2021-02-18,43,68,45,49,49,51,70,0,0
2021-02-17,57,58,40,44,50,37,46,0,0
2021-02-16,54,44,30,34,33,29,33,0,0
2021-02-15,43,40,37,37,30,33,46,0,0
2021-02-14,86,43,33,49,38,46,66,0,0
2021-02-13,36,68,33,44,46,63,73,0,0
2021-02-12,79,86,52,52,57,100,80,0,0
2021-02-11,82,66,43,47,51,51,80,0,0
2021-02-10,79,56,41,44,52,44,51,0,0
2021-02-09,43,61,48,39,44,63,65,0,0
2021-02-08,36,41,40,43,42,54,50,0,0
2021-02-07,7,39,30,35,30,48,57,0,0
2021-02-06,14,60,32,44,42,52,63,0,0
2021-02-05,32,77,51,50,50,48,78,0,0
2021-02-04,57,56,49,48,54,49,62,0,0
2021-02-03,93,72,47,50,54,52,62,0,0
2021-02-02,64,60,48,47,48,43,65,0,0
2021-02-01,36,56,49,45,50,46,76,0,0
2021-01-31,29,30,17,12,28,22,49,0,0
2021-01-30,36,68,38,48,40,70,83,0,0
2021-01-29,18,66,49,45,54,78,111,0,0
2021-01-28,57,67,51,37,49,43,67,0,0
2021-01-27,43,64,47,41,39,65,107,0,0
2021-01-26,64,48,40,37,40,24,55,0,0
2021-01-25,71,50,45,43,42,46,50,0,0
2021-01-24,21,38,29,36,36,52,50,0,0
2021-01-23,57,78,41,49,54,44,95,0,0
2021-01-22,21,68,52,43,55,71,89,0,0
2021-01-21,46,62,48,48,53,79,83,0,0
2021-01-20,36,59,36,41,48,60,66,0,0
2021-01-19,79,53,41,37,47,52,55,0,0
2021-01-18,61,45,47,37,44,63,60,0,0
2021-01-17,29,40,27,17,41,37,45,0,0
2021-01-16,36,70,33,48,53,86,72,0,0
2021-01-15,36,78,42,59,62,68,98,0,0
2021-01-14,21,66,52,38,55,73,44,0,0
2021-01-13,43,70,47,48,60,51,61,0,0
2021-01-12,57,67,45,40,47,60,63,0,0
2021-01-11,21,54,46,36,51,56,56,0,0
2021-01-10,29,46,29,30,40,71,57,0,0
2021-01-09,64,77,37,64,58,75,89,0,0
2021-01-08,68,78,47,60,68,71,94,0,0
2021-01-07,50,66,51,46,58,67,72,0,0
2021-01-06,82,73,44,37,50,68,67,0,0
2021-01-05,86,58,47,36,60,76,54,0,0
2021-01-04,11,44,38,39,49,51,62,0,0
2021-01-03,68,44,26,31,41,51,60,0,0
2021-01-02,46,63,34,37,54,97,95,0,0
2021-01-01,50,46,32,28,42,32,51,0,0
2020-12-31,50,84,51,87,52,90,126,0,0
2020-12-30,61,68,54,48,66,56,79,0,0
2020-12-29,50,64,53,30,52,67,55,0,0
2020-12-28,64,60,41,43,50,65,70,0,0
2020-12-27,14,46,31,38,42,67,56,0,0
