Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,43,40,52,66,43,0,45,34,28,6,32,48,34
2021-03-08,38,33,40,52,41,0,43,27,31,10,28,43,16
2021-03-07,33,41,43,41,45,35,39,38,22,10,25,55,4
2021-03-06,54,54,64,56,57,68,43,46,34,10,34,78,28
2021-03-05,47,48,56,69,50,44,46,33,30,0,34,59,35
2021-03-04,32,31,37,54,35,17,40,21,17,0,27,39,28
2021-03-03,38,37,43,58,34,0,40,23,23,6,28,40,30
2021-03-02,39,26,41,53,39,0,34,26,21,0,26,35,25
2021-03-01,36,26,36,56,35,0,37,24,24,6,26,34,16
2021-02-28,28,36,43,36,30,43,44,29,20,6,24,49,3
2021-02-27,50,56,61,56,50,81,48,40,41,3,35,75,28
2021-02-26,47,41,60,71,56,52,51,36,30,13,34,58,34
2021-02-25,42,34,49,69,37,27,47,26,25,10,31,42,32
2021-02-24,42,33,51,67,37,0,53,26,25,6,30,40,32
2021-02-23,39,36,50,77,41,0,46,31,34,3,33,38,33
2021-02-22,40,34,47,72,35,0,52,36,29,10,31,34,22
2021-02-21,26,31,37,37,33,36,33,27,21,3,22,39,3
2021-02-20,42,55,57,54,51,64,42,37,34,3,32,65,24
2021-02-19,45,46,57,78,41,31,58,37,33,6,34,48,35
2021-02-18,34,27,37,58,35,22,37,26,29,3,27,36,28
2021-02-17,35,30,37,58,33,0,29,24,23,0,24,35,25
2021-02-16,24,22,28,38,23,0,23,14,21,3,17,26,17
2021-02-15,32,28,33,45,28,0,28,17,19,3,21,35,15
2021-02-14,29,44,35,38,46,64,34,38,24,6,26,56,4
2021-02-13,32,40,44,43,42,53,44,31,25,6,28,58,21
2021-02-12,39,37,53,69,46,31,45,40,31,6,30,51,34
2021-02-11,31,26,39,56,32,17,43,19,29,3,26,34,27
2021-02-10,29,24,34,49,34,0,32,19,23,0,24,33,24
2021-02-09,30,22,38,50,30,0,35,23,20,3,23,34,24
2021-02-08,27,16,29,48,27,0,34,19,18,0,22,28,15
2021-02-07,17,26,28,27,33,27,28,20,17,3,16,29,3
2021-02-06,25,36,41,35,37,35,32,28,32,0,23,41,19
2021-02-05,32,38,44,55,40,27,31,27,22,0,27,41,30
2021-02-04,34,37,57,73,37,19,44,31,31,0,33,34,37
2021-02-03,37,37,54,79,32,0,50,34,34,3,33,32,37
2021-02-02,33,35,49,74,39,0,52,40,37,6,32,32,37
2021-02-01,24,28,33,45,36,0,29,22,25,0,23,31,14
2021-01-31,16,22,24,20,24,22,24,18,14,3,14,20,3
2021-01-30,24,37,42,41,38,36,33,26,20,3,24,41,19
2021-01-29,35,37,43,57,37,27,44,33,22,0,29,43,32
2021-01-28,29,30,37,53,33,17,43,24,19,0,25,33,30
2021-01-27,27,28,38,47,26,0,40,24,23,0,24,31,27
2021-01-26,22,27,37,42,34,0,27,21,30,0,21,27,23
2021-01-25,27,24,36,51,33,0,45,25,22,13,24,30,15
2021-01-24,25,24,33,28,29,35,32,26,19,0,18,30,4
2021-01-23,33,40,49,42,34,47,36,31,27,0,26,43,22
2021-01-22,33,37,47,64,39,25,42,32,29,3,28,42,33
2021-01-21,30,29,43,58,38,18,36,30,24,10,26,33,32
2021-01-20,25,26,39,42,28,13,34,24,20,0,23,30,25
2021-01-19,25,27,36,48,24,16,29,23,23,0,23,31,27
2021-01-18,25,28,34,45,28,17,40,24,23,3,23,38,16
2021-01-17,20,28,28,27,27,41,30,33,22,3,18,36,4
2021-01-16,27,36,42,39,41,50,35,32,21,0,25,47,20
2021-01-15,32,31,44,52,44,21,32,27,23,0,27,43,30
2021-01-14,26,24,38,42,33,25,30,23,26,0,24,33,28
2021-01-13,29,25,37,44,33,15,35,21,21,0,24,35,28
2021-01-12,32,25,36,46,39,14,38,20,26,3,24,33,27
2021-01-11,27,23,32,44,31,15,35,25,26,0,23,32,14
2021-01-10,18,29,30,26,28,29,35,24,19,0,18,32,4
2021-01-09,24,36,43,40,41,46,38,33,23,0,25,48,19
2021-01-08,32,29,48,55,39,19,31,30,25,10,27,42,29
2021-01-07,28,20,41,47,37,16,34,27,26,3,24,33,26
2021-01-06,28,30,36,48,35,24,35,27,24,3,24,33,26
2021-01-05,27,25,32,44,28,17,33,24,28,3,22,31,25
2021-01-04,27,27,32,45,31,15,36,28,23,0,23,34,14
2021-01-03,15,25,24,24,30,19,33,20,15,0,16,34,4
2021-01-02,22,34,38,32,38,35,45,26,19,0,23,48,19
2021-01-01,14,26,26,31,25,18,29,22,15,6,19,32,21
2020-12-31,30,32,42,48,49,27,40,37,19,10,28,53,34
2020-12-30,27,30,38,47,37,24,38,32,22,3,25,43,31
2020-12-29,23,28,37,48,38,15,35,29,23,6,25,41,31
2020-12-28,27,25,38,49,35,17,39,33,20,3,26,43,17
2020-12-27,20,26,32,26,24,28,35,30,19,6,19,39,5
2020-12-26,21,27,33,32,34,36,41,31,25,0,23,48,18
2020-12-25,11,10,17,24,9,8,18,22,11,0,13,22,13
2020-12-24,19,21,27,38,35,14,30,23,14,3,20,34,25
2020-12-23,28,32,43,53,48,22,48,31,23,10,28,47,33
2020-12-22,29,34,42,49,33,30,39,33,23,3,28,47,33
2020-12-21,25,30,32,44,34,21,34,26,25,10,26,43,16
2020-12-20,22,28,29,28,35,35,41,32,18,0,21,42,5
2020-12-19,26,28,34,37,39,44,33,31,22,3,26,54,21
2020-12-18,30,34,38,58,37,30,45,33,24,6,28,49,31
2020-12-17,23,25,34,48,32,19,21,23,25,0,25,34,28
2020-12-16,24,24,36,46,29,16,32,26,27,0,23,36,26
2020-12-15,24,28,27,49,30,16,29,25,23,0,23,33,25
2020-12-14,22,23,31,40,29,16,32,22,20,0,21,33,12
2020-12-13,18,24,25,24,25,30,24,21,9,3,18,34,4
2020-12-12,21,28,32,29,25,41,34,24,17,0,21,39,17
2020-12-11,25,27,33,49,36,25,39,22,21,3,24,40,27
2020-12-10,24,31,32,44,45,21,23,25,19,0,24,36,26
2020-12-09,28,28,30,43,38,20,28,25,20,0,24,34,25
2020-12-08,27,25,31,50,29,18,29,26,15,0,24,33,25
2020-12-07,24,25,32,54,42,17,42,25,22,6,23,34,13
2020-12-06,18,25,27,27,32,33,29,18,16,0,18,32,5
2020-12-05,30,30,40,37,40,50,37,35,25,0,26,52,20
2020-12-04,31,30,41,66,42,28,44,29,27,6,28,44,29
2020-12-03,28,25,37,46,40,16,25,23,25,3,24,34,26
2020-12-02,32,30,35,44,31,20,32,24,20,3,24,35,24
2020-12-01,24,24,33,45,39,16,31,22,16,6,23,32,25
2020-11-30,26,20,30,42,44,14,26,22,25,0,22,34,12
2020-11-29,15,18,21,21,27,22,32,23,14,0,16,28,4
2020-11-28,20,24,28,29,39,33,34,26,16,0,22,44,18
2020-11-27,23,24,29,35,33,19,34,28,20,6,22,41,24
2020-11-26,12,11,18,18,22,5,20,13,12,0,13,19,13
