Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,46,126,70,95,141,101,110,132,0,114,120
2021-03-08,37,101,50,102,98,83,80,119,0,96,120
2021-03-07,49,83,39,117,93,80,83,108,0,90,103
2021-03-06,94,132,42,104,78,90,102,136,200,126,129
2021-03-05,67,139,70,92,111,113,108,138,50,136,123
2021-03-04,34,103,53,83,107,79,78,98,0,109,111
2021-03-03,46,124,63,67,124,81,95,122,0,114,113
2021-03-02,34,121,58,114,119,101,113,145,50,92,168
2021-03-01,35,100,39,124,96,101,95,127,250,100,150
2021-02-28,47,90,30,112,48,71,102,89,0,66,135
2021-02-27,110,153,43,142,76,113,133,172,400,110,194
2021-02-26,59,157,53,170,59,115,152,161,250,130,188
2021-02-25,42,140,61,184,54,122,121,139,150,117,191
2021-02-24,51,130,55,160,50,105,123,138,450,103,199
2021-02-23,40,126,69,141,76,119,110,120,50,103,154
2021-02-22,46,93,63,86,57,81,72,100,0,86,92
2021-02-21,43,83,35,78,67,62,64,69,0,75,77
2021-02-20,76,145,52,82,87,89,91,119,150,127,107
2021-02-19,59,128,39,98,117,107,92,120,0,111,106
2021-02-18,40,114,43,94,63,77,68,95,0,92,102
2021-02-17,40,105,60,107,76,77,86,95,50,83,107
2021-02-16,24,75,35,69,94,60,54,87,50,56,75
2021-02-15,35,81,37,70,30,56,50,95,0,55,87
2021-02-14,40,73,30,99,48,77,63,92,0,72,69
2021-02-13,55,100,26,99,52,77,71,98,50,93,101
2021-02-12,43,110,44,89,89,95,84,118,50,119,113
2021-02-11,40,96,56,78,67,69,75,101,0,87,101
2021-02-10,26,97,53,80,83,83,69,109,0,84,106
2021-02-09,34,108,57,80,141,95,66,95,0,81,108
2021-02-08,28,78,35,64,57,72,56,79,150,68,100
2021-02-07,31,59,44,141,74,64,62,80,0,52,77
2021-02-06,58,111,47,88,61,79,65,79,100,88,100
2021-02-05,41,114,57,100,104,79,75,106,100,92,110
2021-02-04,31,98,45,100,70,77,69,80,50,85,101
2021-02-03,41,97,43,87,100,98,83,101,100,108,98
2021-02-02,37,107,61,90,89,89,72,109,50,86,99
2021-02-01,24,90,50,87,67,83,67,91,0,93,97
2021-01-31,24,42,26,64,69,39,48,65,0,37,57
2021-01-30,57,112,37,129,70,92,67,112,0,83,108
2021-01-29,62,116,52,105,83,82,93,134,50,113,111
2021-01-28,34,97,45,88,94,87,72,96,50,83,101
2021-01-27,35,92,36,89,56,77,69,104,150,80,99
2021-01-26,31,74,30,106,81,81,60,98,0,66,105
2021-01-25,34,96,35,145,120,99,103,127,300,78,142
2021-01-24,39,78,47,118,74,74,82,94,0,63,101
2021-01-23,41,120,34,160,89,108,110,125,50,90,152
2021-01-22,41,135,57,152,80,115,130,136,400,111,171
2021-01-21,39,132,50,170,93,102,118,133,50,87,197
2021-01-20,28,101,42,110,115,65,97,85,50,75,138
2021-01-19,32,91,66,114,70,93,85,86,100,74,138
2021-01-18,29,87,56,71,130,88,61,94,50,87,82
2021-01-17,37,67,45,107,52,71,64,85,0,69,61
2021-01-16,64,113,53,67,96,77,86,81,50,89,91
2021-01-15,44,111,49,101,113,66,72,86,0,91,97
2021-01-14,34,99,62,82,65,88,56,92,50,98,82
2021-01-13,26,98,61,82,76,93,64,102,50,85,92
2021-01-12,28,91,51,84,107,87,55,92,50,82,84
2021-01-11,33,74,44,70,104,80,69,101,0,78,85
2021-01-10,41,61,50,84,52,67,57,73,0,66,76
2021-01-09,69,106,41,90,100,74,69,126,50,94,102
2021-01-08,37,105,54,80,106,81,82,119,0,98,98
2021-01-07,41,91,59,58,76,71,67,78,100,89,69
2021-01-06,33,86,46,66,87,77,63,95,100,93,90
2021-01-05,35,102,68,78,102,96,63,101,0,88,80
2021-01-04,34,94,57,76,74,76,63,105,0,86,82
2021-01-03,57,68,45,77,72,65,54,76,0,64,75
2021-01-02,44,93,40,94,89,68,71,84,100,93,83
2021-01-01,45,58,22,84,52,33,46,62,50,46,60
2020-12-31,52,112,36,128,74,109,75,108,50,114,100
2020-12-30,46,118,56,92,106,93,85,115,50,87,102
2020-12-29,34,116,39,90,61,91,75,113,50,93,93
2020-12-28,34,110,50,92,78,102,81,119,50,101,97
2020-12-27,38,68,32,86,115,78,67,68,0,65,70
2020-12-26,50,89,35,66,113,86,63,101,0,83,81
2020-12-25,16,53,3,20,93,48,34,76,0,49,63
2020-12-24,32,109,23,143,98,116,79,139,0,113,97
2020-12-23,48,128,47,161,124,147,99,152,0,135,121
2020-12-22,39,128,45,116,156,125,96,116,100,123,110
2020-12-21,47,94,38,111,120,103,78,118,50,104,99
2020-12-20,46,64,29,82,141,78,80,96,0,78,80
2020-12-19,57,90,37,99,111,91,89,112,0,90,108
2020-12-18,49,115,49,81,94,78,75,107,50,95,105
2020-12-17,46,89,56,73,87,65,67,76,0,82,91
2020-12-16,36,83,34,98,78,92,68,105,0,74,91
2020-12-15,28,80,55,76,50,93,58,72,0,72,91
2020-12-14,24,78,45,71,70,74,68,89,0,83,95
2020-12-13,47,61,31,84,111,67,53,76,0,60,71
2020-12-12,49,88,32,90,111,68,79,100,0,74,96
2020-12-11,41,100,44,88,91,91,69,111,0,88,100
2020-12-10,44,87,41,71,124,59,74,95,0,89,85
2020-12-09,41,87,37,71,124,86,74,118,50,68,95
2020-12-08,25,86,46,84,133,81,67,89,0,86,100
2020-12-07,25,87,38,83,141,91,67,105,0,79,99
2020-12-06,41,59,33,77,87,69,53,82,0,57,82
2020-12-05,48,120,38,104,183,81,105,128,50,104,126
2020-12-04,44,104,37,88,126,77,86,88,0,95,115
2020-12-03,26,114,61,90,120,87,69,81,50,81,103
2020-12-02,31,97,43,76,104,89,70,118,0,78,101
2020-12-01,29,96,51,87,143,77,56,85,0,79,83
2020-11-30,37,78,50,76,137,76,64,108,0,80,95
2020-11-29,33,61,31,70,109,74,54,88,0,49,71
2020-11-28,61,97,28,89,178,85,69,113,150,78,111
2020-11-27,32,93,56,80,152,79,69,111,0,78,94
2020-11-26,12,53,20,134,137,59,36,80,0,35,67
2020-11-25,46,93,47,128,150,90,76,108,50,74,98
2020-11-24,41,102,48,113,107,96,75,92,0,90,96
2020-11-23,39,84,45,114,135,84,67,92,50,88,98
2020-11-22,34,56,30,90,96,77,55,81,0,57,73
2020-11-21,42,102,47,113,91,80,84,125,0,80,97
2020-11-20,48,108,40,75,106,78,72,99,50,99,94
2020-11-19,37,89,27,92,98,87,88,79,150,89,89
2020-11-18,41,86,43,84,74,91,71,115,0,77,91
2020-11-17,34,83,36,70,67,90,63,102,0,87,90
2020-11-16,35,67,38,78,102,70,54,79,0,84,80
2020-11-15,32,51,50,81,93,60,48,75,0,60,62
2020-11-14,31,101,41,88,91,80,88,112,50,106,99
2020-11-13,35,117,78,78,91,72,91,92,50,109,98
2020-11-12,35,91,34,80,61,84,61,102,100,91,93
2020-11-11,29,75,50,86,81,78,64,119,100,89,90
2020-11-10,31,83,39,87,104,86,74,75,0,77,84
2020-11-09,33,72,37,95,113,87,60,87,100,83,81
2020-11-08,34,59,38,87,111,68,57,66,0,67,70
2020-11-07,52,105,27,87,137,88,87,101,0,100,99
2020-11-06,59,108,51,76,133,105,81,107,50,115,100
2020-11-05,31,96,42,73,104,69,61,84,0,88,76
2020-11-04,38,88,32,71,91,84,65,99,0,89,89
2020-11-03,45,108,42,90,187,97,86,109,50,115,96
2020-11-02,41,83,56,83,122,85,62,82,50,106,86
2020-11-01,98,55,34,83,107,61,58,96,0,66,76
2020-10-31,49,106,27,116,169,93,91,116,50,97,115
2020-10-30,38,106,42,95,119,101,86,121,0,111,103
2020-10-29,40,108,40,93,93,89,79,119,100,90,86
2020-10-28,33,82,39,100,107,89,66,112,0,87,93
2020-10-27,43,75,38,99,80,89,72,93,100,83,81
2020-10-26,27,69,48,75,69,78,49,86,0,81,80
2020-10-25,40,57,34,110,83,73,65,92,0,66,62
2020-10-24,75,99,37,95,102,113,83,144,0,124,111
2020-10-23,56,101,44,78,107,91,73,124,50,109,89
2020-10-22,54,97,30,101,113,91,74,107,150,106,91
2020-10-21,48,93,43,110,89,77,57,121,0,99,89
2020-10-20,33,80,43,98,109,86,65,113,0,83,81
2020-10-19,40,64,31,95,81,93,68,76,50,79,79
2020-10-18,61,65,20,95,91,63,69,80,0,70,74
2020-10-17,81,120,34,112,135,97,83,133,100,104,108
2020-10-16,63,98,41,86,163,106,94,121,0,119,102
2020-10-15,32,103,53,92,148,84,75,96,50,95,96
2020-10-14,48,82,33,100,167,88,82,108,50,102,98
2020-10-13,49,78,42,78,111,81,62,85,50,83,88
2020-10-12,29,68,26,88,119,72,64,99,0,70,83
2020-10-11,48,51,35,81,131,64,53,75,0,70,68
2020-10-10,95,87,35,106,148,85,79,111,0,105,106
2020-10-09,81,104,33,96,163,79,82,115,0,123,104
2020-10-08,75,107,36,93,176,97,63,109,50,110,97
2020-10-07,50,95,47,87,144,97,57,113,0,95,91
2020-10-06,47,92,42,76,130,79,74,86,100,90,84
2020-10-05,29,94,38,100,137,89,71,100,100,88,90
2020-10-04,45,61,27,92,135,58,71,76,0,66,68
2020-10-03,72,105,49,82,128,83,96,125,50,103,109
2020-10-02,54,112,51,98,152,90,78,113,0,115,101
2020-10-01,51,99,26,81,133,78,66,88,0,100,88
2020-09-30,57,117,37,90,115,91,69,119,50,105,83
2020-09-29,42,88,29,86,115,102,74,102,100,87,83
2020-09-28,29,70,39,104,107,83,71,78,50,86,84
2020-09-27,50,56,33,123,113,74,62,92,0,65,76
2020-09-26,89,90,29,101,106,88,95,118,50,103,101
2020-09-25,70,100,40,112,135,82,92,102,50,119,96
2020-09-24,44,96,50,104,157,91,89,89,50,95,95
2020-09-23,53,81,43,90,143,99,75,124,100,98,90
2020-09-22,46,97,46,120,122,87,80,78,50,89,83
2020-09-21,27,70,36,82,113,68,57,74,0,66,70
2020-09-20,54,51,28,84,104,66,76,80,0,63,66
2020-09-19,75,89,30,114,106,81,79,96,0,91,94
2020-09-18,88,90,49,113,146,89,78,113,50,106,94
2020-09-17,57,97,38,114,111,98,84,112,150,95,94
2020-09-16,59,92,40,92,100,94,91,116,0,98,83
2020-09-15,37,68,34,81,139,83,77,88,50,93,83
2020-09-14,36,70,33,81,165,91,64,102,50,84,81
2020-09-13,64,50,19,98,117,56,71,82,0,73,73
2020-09-12,64,88,45,104,230,83,84,101,0,80,91
2020-09-11,67,86,29,92,280,89,86,101,150,108,94
2020-09-10,44,96,51,92,106,80,76,94,50,94,95
2020-09-09,53,87,34,92,148,99,80,108,100,87,89
2020-09-08,49,83,32,90,107,91,65,88,150,89,85
2020-09-07,32,53,29,107,130,67,58,89,0,61,65
2020-09-06,53,54,27,100,122,62,62,85,0,61,57
2020-09-05,77,87,21,96,139,80,89,114,0,93,95
2020-09-04,73,106,31,110,172,109,103,119,100,129,100
2020-09-03,54,95,32,89,152,95,73,118,100,117,99
2020-09-02,68,85,38,88,152,101,85,107,0,108,99
2020-09-01,50,94,43,84,150,97,67,104,0,96,85
2020-08-31,37,68,41,92,163,80,62,82,0,76,86
2020-08-30,54,53,25,80,137,60,55,85,0,65,62
2020-08-29,87,77,32,110,156,83,82,86,50,81,79
2020-08-28,56,72,35,82,143,81,85,105,50,97,78
2020-08-27,60,96,37,89,117,97,78,89,100,117,98
2020-08-26,48,96,38,92,146,80,82,91,0,102,81
2020-08-25,56,80,24,98,170,96,75,99,0,97,90
2020-08-24,46,74,25,95,144,97,72,102,50,94,82
2020-08-23,49,46,26,92,128,64,63,59,0,69,60
2020-08-22,51,89,17,90,130,95,77,109,0,106,86
2020-08-21,76,98,37,105,172,93,94,106,50,111,98
2020-08-20,66,95,40,105,215,93,87,100,100,111,104
2020-08-19,49,92,46,94,204,94,84,99,50,110,87
2020-08-18,47,86,36,92,196,90,77,89,0,106,91
2020-08-17,42,89,37,88,193,105,84,84,50,94,89
2020-08-16,50,53,25,81,165,66,64,79,0,71,67
2020-08-15,57,79,20,83,128,93,94,80,100,96,85
2020-08-14,76,96,47,118,209,99,84,101,0,120,101
2020-08-13,49,96,44,88,189,85,92,98,0,91,91
2020-08-12,60,86,26,105,178,97,101,108,150,113,90
2020-08-11,47,86,65,116,444,89,94,89,50,100,83
2020-08-10,41,72,51,128,124,90,104,93,250,86,83
2020-08-09,58,49,32,86,135,74,69,62,0,69,57
2020-08-08,64,80,24,101,144,94,98,111,150,109,95
2020-08-07,54,93,36,96,165,99,82,87,0,118,93
2020-08-06,53,88,47,90,161,94,88,99,50,96,93
2020-08-05,56,84,41,90,337,85,107,94,50,98,82
2020-08-04,47,77,50,94,187,88,86,85,50,88,82
2020-08-03,41,78,32,100,141,92,82,96,50,81,89
2020-08-02,51,62,26,86,94,81,87,91,0,72,70
2020-08-01,59,72,28,90,109,83,67,93,50,90,75
2020-07-31,72,94,49,102,154,108,95,92,0,117,81
2020-07-30,48,94,88,113,178,90,91,109,0,100,79
2020-07-29,51,86,69,93,157,83,81,116,200,99,85
2020-07-28,53,80,78,75,172,75,88,75,150,89,75
2020-07-27,48,75,47,104,143,92,79,92,100,94,81
2020-07-26,42,34,36,75,98,56,65,65,0,60,46
2020-07-25,62,81,44,82,131,78,87,95,200,103,87
2020-07-24,46,64,62,83,126,79,68,80,0,85,66
2020-07-23,67,97,104,107,143,91,91,98,50,114,82
2020-07-22,47,86,81,72,172,76,88,113,100,110,83
2020-07-21,54,83,80,83,156,82,93,115,100,97,86
2020-07-20,46,71,66,90,148,87,79,101,50,104,75
2020-07-19,43,52,22,100,115,48,61,61,0,68,49
2020-07-18,62,77,50,112,115,70,84,80,100,97,78
2020-07-17,54,78,99,100,122,91,74,96,50,104,79
2020-07-16,67,95,112,102,176,111,89,76,50,111,88
2020-07-15,47,85,94,88,119,85,71,85,0,99,80
2020-07-14,46,81,79,105,228,90,88,81,50,103,84
2020-07-13,43,70,72,89,135,83,94,69,50,87,75
2020-07-12,54,50,25,105,137,66,72,60,0,72,69
2020-07-11,90,72,35,100,109,87,81,102,150,73,82
2020-07-10,76,81,86,105,163,87,91,93,150,113,89
2020-07-09,55,70,86,102,144,88,82,92,0,87,72
2020-07-08,57,77,102,89,156,81,85,93,50,100,82
2020-07-07,57,74,59,87,83,60,73,62,0,78,64
2020-07-06,40,67,50,90,122,97,82,91,150,78,73
2020-07-05,49,48,17,66,87,60,66,72,0,70,51
2020-07-04,31,37,19,92,107,48,49,53,50,42,39
2020-07-03,61,67,74,151,113,85,88,93,0,97,73
2020-07-02,51,87,81,145,89,89,95,98,100,109,89
2020-07-01,59,80,68,90,102,78,87,79,50,89,75
2020-06-30,54,64,71,100,113,70,75,69,0,75,64
2020-06-29,49,71,71,110,96,81,79,87,100,97,76
2020-06-28,74,38,23,76,111,49,69,76,0,62,57
2020-06-27,79,70,28,92,119,64,88,92,0,110,67
2020-06-26,74,69,63,92,133,80,76,61,0,86,82
2020-06-25,55,82,50,87,107,89,106,76,50,93,80
2020-06-24,34,64,39,80,311,66,85,54,0,77,59
2020-06-23,52,83,44,95,178,95,85,87,0,97,77
2020-06-22,30,65,49,93,193,80,68,82,100,86,71
2020-06-21,56,57,3,139,93,77,67,71,0,69,68
2020-06-20,57,84,17,110,119,78,92,94,0,112,86
2020-06-19,65,89,57,112,111,89,86,100,100,103,83
2020-06-18,44,86,35,98,122,99,90,72,50,97,86
2020-06-17,41,72,54,106,115,88,95,104,50,90,80
2020-06-16,34,81,51,94,161,85,88,101,50,92,82
2020-06-15,49,84,51,108,157,85,85,80,0,98,82
2020-06-14,52,47,8,88,87,58,79,88,0,75,61
2020-06-13,63,67,24,107,224,82,98,102,50,111,78
2020-06-12,63,92,68,108,130,97,93,92,50,117,91
2020-06-11,52,103,69,112,170,110,93,105,100,97,90
2020-06-10,37,70,43,94,98,88,85,112,0,77,76
2020-06-09,26,77,49,92,63,86,74,87,0,83,63
2020-06-08,30,77,43,110,104,98,78,88,50,101,84
2020-06-07,33,46,1,108,115,61,55,60,0,55,55
2020-06-06,73,77,19,135,111,97,84,102,0,103,77
2020-06-05,39,81,38,122,83,100,86,99,0,115,88
2020-06-04,36,68,41,99,83,94,84,78,50,77,71
2020-06-03,41,78,44,139,85,97,84,85,0,80,72
2020-06-02,29,60,42,154,87,93,77,88,0,83,68
2020-06-01,38,65,39,180,81,121,105,76,100,83,78
2020-05-31,33,45,10,111,94,47,53,52,0,65,55
2020-05-30,35,70,13,99,100,62,85,98,0,97,84
2020-05-29,30,71,48,100,126,93,92,91,50,93,77
2020-05-28,34,67,30,88,102,72,65,68,150,78,70
2020-05-27,37,64,45,66,115,81,78,99,0,79,67
2020-05-26,35,69,42,107,94,96,88,95,100,85,84
2020-05-25,24,48,35,112,120,78,77,87,50,61,61
2020-05-24,22,47,12,125,130,68,72,81,0,59,49
2020-05-23,36,64,16,129,117,77,90,81,0,97,75
2020-05-22,38,85,59,116,137,95,91,106,100,98,88
2020-05-21,37,74,50,101,131,87,91,93,0,87,80
2020-05-20,40,81,60,114,117,104,87,99,0,80,82
2020-05-19,31,64,30,99,104,85,95,93,0,76,70
2020-05-18,39,66,41,112,126,85,83,93,0,74,74
2020-05-17,24,43,9,93,61,56,57,55,0,52,44
2020-05-16,41,79,19,104,152,74,93,98,0,86,81
2020-05-15,37,70,45,106,124,87,98,91,50,86,76
2020-05-14,29,59,37,66,98,64,55,84,150,50,58
2020-05-13,30,50,44,81,141,74,73,100,50,59,76
2020-05-12,23,53,40,81,104,68,72,71,0,68,49
2020-05-11,29,53,42,81,98,61,69,66,50,56,65
2020-05-10,24,41,6,153,80,82,59,74,0,48,60
2020-05-09,41,69,9,148,111,88,92,98,0,71,84
2020-05-08,34,75,24,120,98,88,94,89,0,92,82
2020-05-07,21,52,33,84,83,69,64,80,0,62,60
2020-05-06,29,56,35,104,109,62,75,65,100,68,68
2020-05-05,30,61,46,106,57,68,63,85,0,49,67
2020-05-04,23,59,33,75,98,68,57,65,0,52,62
2020-05-03,20,40,4,82,109,54,55,55,0,50,52
