Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,85,29,77,77,59,99,79,77,78,71,78,76
2021-03-08,31,46,57,72,63,107,84,66,68,78,84,81
2021-03-07,69,63,65,78,71,85,70,88,72,91,78,0
2021-03-06,46,17,88,92,86,99,93,90,77,90,105,91
2021-03-05,38,50,87,74,69,97,81,78,72,68,79,89
2021-03-04,54,38,57,67,54,71,42,78,57,58,67,73
2021-03-03,69,46,89,64,57,76,87,80,75,73,72,79
2021-03-02,62,38,64,64,60,74,66,63,71,64,73,73
2021-03-01,62,50,51,60,60,69,79,64,69,73,72,76
2021-02-28,46,71,79,65,84,67,57,74,62,87,73,0
2021-02-27,38,71,117,86,104,93,92,87,83,116,113,98
2021-02-26,46,46,92,74,64,84,80,85,78,77,76,85
2021-02-25,38,50,88,54,59,78,89,72,60,64,69,75
2021-02-24,54,21,93,71,58,74,71,76,56,71,66,86
2021-02-23,54,25,64,73,66,75,86,78,59,75,70,79
2021-02-22,69,21,54,59,54,67,64,61,57,56,70,82
2021-02-21,38,83,76,56,59,65,70,74,65,93,72,0
2021-02-20,46,46,87,82,84,101,75,90,71,82,75,94
2021-02-19,46,50,81,75,67,95,70,78,77,56,72,88
2021-02-18,54,54,76,64,60,88,69,67,63,37,54,76
2021-02-17,62,46,79,63,45,81,77,65,49,52,57,77
2021-02-16,54,25,57,38,38,66,50,52,41,42,45,60
2021-02-15,54,8,41,62,41,97,44,56,43,34,45,63
2021-02-14,38,71,58,62,72,75,76,59,49,68,65,0
2021-02-13,31,33,57,56,78,74,68,63,55,69,67,79
2021-02-12,46,33,78,77,71,81,71,84,77,73,82,86
2021-02-11,38,13,65,62,62,69,55,59,63,55,63,74
2021-02-10,54,21,62,55,54,73,60,56,57,55,66,75
2021-02-09,46,13,64,64,61,78,66,59,64,61,63,79
2021-02-08,54,13,40,51,57,75,54,54,53,57,61,73
2021-02-07,31,17,54,46,68,57,60,60,60,58,61,0
2021-02-06,46,54,56,64,81,70,54,69,64,69,73,75
2021-02-05,46,38,72,66,69,67,73,72,64,75,76,81
2021-02-04,54,46,66,59,65,65,58,54,68,51,66,79
2021-02-03,62,25,72,58,77,71,77,70,63,62,69,68
2021-02-02,62,8,63,56,60,62,68,66,70,54,64,78
2021-02-01,31,63,56,62,61,60,61,64,60,50,70,82
2021-01-31,46,25,42,32,39,44,44,41,43,32,35,0
2021-01-30,46,67,70,78,78,70,79,69,53,77,83,83
2021-01-29,54,38,77,72,60,79,78,73,80,68,86,79
2021-01-28,77,25,67,63,54,63,50,66,50,54,66,70
2021-01-27,38,58,76,57,51,68,73,72,66,61,72,69
2021-01-26,54,29,45,54,45,60,62,51,59,50,57,65
2021-01-25,69,38,48,59,60,67,61,56,62,52,65,79
2021-01-24,31,38,62,59,73,60,52,61,53,74,74,0
2021-01-23,46,33,81,80,89,84,75,82,67,79,90,82
2021-01-22,62,33,76,63,61,68,61,68,70,81,79,73
2021-01-21,54,46,79,59,60,63,65,59,56,51,71,75
2021-01-20,54,33,63,52,52,57,62,51,55,61,67,69
2021-01-19,54,25,46,59,54,58,64,56,64,67,69,64
2021-01-18,38,29,53,60,66,69,68,76,62,73,72,76
2021-01-17,38,17,58,55,78,56,61,66,49,76,71,0
2021-01-16,54,46,85,74,76,73,64,76,63,73,83,90
2021-01-15,46,38,89,62,77,65,85,81,60,57,76,81
2021-01-14,54,29,86,50,72,71,74,61,50,62,68,80
2021-01-13,38,17,77,57,59,68,71,77,64,60,69,77
2021-01-12,77,33,70,61,67,67,82,67,56,61,75,69
2021-01-11,54,21,69,51,65,58,76,60,62,58,72,78
2021-01-10,23,63,66,54,81,53,57,62,57,71,69,0
2021-01-09,54,38,82,69,90,65,78,75,56,81,85,75
2021-01-08,62,38,81,69,87,62,79,72,67,54,69,75
2021-01-07,54,17,77,57,74,69,81,68,55,53,63,75
2021-01-06,62,8,89,59,67,57,64,70,63,69,74,75
2021-01-05,38,4,65,64,75,64,79,66,63,69,71,73
2021-01-04,69,29,71,68,79,67,75,70,72,55,66,76
2021-01-03,54,33,59,47,80,59,65,60,57,90,74,0
2021-01-02,46,33,74,54,93,63,69,78,57,98,82,72
2021-01-01,31,38,50,40,62,52,58,49,56,60,47,56
2020-12-31,54,38,83,68,92,70,92,70,62,81,86,86
2020-12-30,46,25,76,64,78,63,84,64,69,76,72,67
2020-12-29,62,25,69,66,72,72,84,63,57,81,78,74
2020-12-28,62,46,70,74,91,78,72,85,66,93,87,76
2020-12-27,46,42,68,46,76,58,65,68,54,82,73,0
2020-12-26,62,21,80,58,106,59,71,67,66,96,81,77
2020-12-25,54,13,67,44,18,44,55,30,45,3,31,60
2020-12-24,54,38,83,78,135,76,89,79,66,125,95,79
2020-12-23,69,42,95,86,124,96,95,89,77,139,103,78
2020-12-22,38,17,84,71,110,79,92,89,66,130,100,84
2020-12-21,77,25,69,61,91,70,83,90,80,109,95,73
2020-12-20,62,29,72,56,94,57,60,73,63,108,91,0
2020-12-19,46,25,72,68,101,69,78,83,60,104,90,75
2020-12-18,54,17,73,71,74,70,64,87,75,80,82,66
