Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,44,17,35,53,50,42,51,58,37,19,69
2021-03-08,45,11,19,46,50,45,46,50,33,17,65
2021-03-07,24,14,23,20,35,25,8,24,28,12,57
2021-03-06,33,15,23,52,46,36,30,26,34,14,67
2021-03-05,40,18,24,55,48,46,30,52,37,17,77
2021-03-04,34,14,19,51,41,45,24,28,33,15,65
2021-03-03,40,14,15,55,46,44,22,42,33,17,66
2021-03-02,38,15,23,48,44,42,41,52,32,15,63
2021-03-01,35,12,22,45,48,46,27,39,33,16,61
2021-02-28,24,7,11,20,45,19,22,19,27,11,53
2021-02-27,31,16,19,49,43,38,16,25,34,17,58
2021-02-26,42,20,25,69,41,51,38,54,39,19,75
2021-02-25,44,19,26,70,43,48,43,51,37,18,64
2021-02-24,43,17,26,57,52,40,51,59,37,19,63
2021-02-23,42,14,30,56,45,38,27,68,39,20,62
2021-02-22,36,15,25,53,43,43,32,55,37,20,59
2021-02-21,21,8,10,15,33,23,27,21,25,10,44
2021-02-20,29,12,18,43,54,33,24,26,34,14,63
2021-02-19,43,20,24,62,45,42,41,58,39,20,69
2021-02-18,34,16,19,47,41,43,54,52,33,17,62
2021-02-17,39,16,17,49,42,45,65,47,31,15,60
2021-02-16,23,8,19,30,30,28,19,34,21,10,35
2021-02-15,23,8,13,35,38,31,41,41,24,12,45
2021-02-14,19,10,11,17,47,25,5,15,26,11,53
2021-02-13,22,12,14,33,49,27,27,19,28,10,58
2021-02-12,37,16,25,44,40,39,59,51,36,17,67
2021-02-11,35,15,19,46,35,35,16,37,33,16,64
2021-02-10,32,14,23,44,44,35,32,47,30,15,60
2021-02-09,32,11,16,36,41,37,35,59,32,15,61
2021-02-08,27,10,26,40,39,38,24,32,29,14,54
2021-02-07,13,6,7,12,45,19,30,10,19,7,36
2021-02-06,20,10,12,30,48,26,16,27,25,9,51
2021-02-05,31,16,18,42,51,32,32,36,34,15,65
2021-02-04,35,14,27,53,46,44,30,49,40,20,59
2021-02-03,38,14,26,57,47,41,46,60,40,23,61
2021-02-02,35,15,36,58,48,42,27,51,40,22,60
2021-02-01,29,10,17,38,49,43,49,41,32,17,56
2021-01-31,12,7,9,14,30,17,16,9,18,8,26
2021-01-30,21,10,16,30,60,27,19,20,29,11,52
2021-01-29,36,17,26,52,45,45,22,36,38,18,68
2021-01-28,33,16,29,46,48,45,30,41,35,16,60
2021-01-27,31,14,19,46,55,41,38,36,32,15,60
2021-01-26,29,11,17,39,44,37,19,33,28,14,47
2021-01-25,29,11,31,46,47,43,41,45,31,16,52
2021-01-24,14,8,9,15,38,24,11,16,22,8,39
2021-01-23,21,9,15,32,45,29,30,16,27,10,49
2021-01-22,33,15,19,44,57,42,41,49,37,18,67
2021-01-21,36,16,23,47,138,45,38,57,37,18,62
2021-01-20,30,15,20,43,47,40,30,42,34,16,59
2021-01-19,31,15,23,45,52,44,41,40,36,20,60
2021-01-18,25,13,21,45,64,52,35,47,36,17,61
2021-01-17,21,11,17,19,57,34,35,13,30,13,49
2021-01-16,22,14,18,39,60,49,38,29,35,16,57
