Category,Airports & Transit Centers,Bars,Beauty & Wellness,QSR,Restaurant,Retail,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index
2021-03-09,0,21,29,22,30,40,35
2021-03-08,0,56,42,26,50,50,42
2021-03-07,0,21,17,39,45,20,48
2021-03-06,0,46,26,17,58,20,40
2021-03-05,0,46,33,42,51,40,50
2021-03-04,0,34,32,28,47,10,40
2021-03-03,0,40,25,30,29,20,31
2021-03-02,0,21,32,37,29,10,32
2021-03-01,0,37,29,13,40,50,41
2021-02-28,0,21,21,27,42,40,43
2021-02-27,0,47,20,13,29,40,36
2021-02-26,0,34,26,27,48,70,49
2021-02-25,0,55,38,18,45,30,45
2021-02-24,0,40,32,19,37,20,33
2021-02-23,0,33,27,19,38,30,30
2021-02-22,0,44,34,27,35,30,40
2021-02-21,0,30,32,44,40,40,42
2021-02-20,0,34,18,40,29,80,40
2021-02-19,0,52,25,54,65,30,46
2021-02-18,0,63,27,56,51,90,40
2021-02-17,0,33,29,33,34,50,32
2021-02-16,0,50,36,28,57,10,38
2021-02-15,0,74,58,38,30,20,45
2021-02-14,0,34,18,33,39,30,37
2021-02-13,0,30,20,19,30,10,32
2021-02-12,0,53,34,48,49,10,44
2021-02-11,0,44,31,41,53,40,37
2021-02-10,0,31,29,22,32,50,25
2021-02-09,0,41,20,13,31,40,24
2021-02-08,0,54,21,28,45,10,32
2021-02-07,0,22,8,33,41,30,28
2021-02-06,0,39,14,20,35,0,27
2021-02-05,0,42,20,23,29,20,35
2021-02-04,0,43,24,38,38,20,30
2021-02-03,0,25,24,23,37,50,29
2021-02-02,0,26,25,23,34,30,25
2021-02-01,0,24,31,33,45,10,33
2021-01-31,0,29,16,23,31,10,30
2021-01-30,0,34,20,15,35,20,26
2021-01-29,0,36,25,25,54,40,34
2021-01-28,0,31,28,41,38,30,31
2021-01-27,0,37,24,20,26,20,28
2021-01-26,0,31,30,24,28,20,25
2021-01-25,0,41,24,31,34,20,31
2021-01-24,0,24,18,33,32,10,36
2021-01-23,0,34,17,23,42,10,30
2021-01-22,0,36,29,31,41,20,36
2021-01-21,0,29,22,25,48,10,33
2021-01-20,0,25,17,13,39,10,28
2021-01-19,0,31,29,18,31,30,26
2021-01-18,0,79,37,27,41,20,37
2021-01-17,0,21,21,29,24,40,34
2021-01-16,0,32,32,27,36,0,32
2021-01-15,0,47,45,31,43,80,38
2021-01-14,0,34,29,38,69,20,36
2021-01-13,0,31,26,19,41,60,29
2021-01-12,0,50,26,17,25,30,25
2021-01-11,0,30,32,38,39,10,35
2021-01-10,0,24,24,27,36,60,39
2021-01-09,0,41,22,30,36,0,35
2021-01-08,0,38,20,29,29,40,41
2021-01-07,0,53,25,30,47,20,37
2021-01-06,0,34,22,17,40,70,33
2021-01-05,0,49,32,28,36,70,34
2021-01-04,0,57,37,51,48,50,48
2021-01-03,0,22,27,43,55,20,47
