Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2021-03-09,61,89,67,86,47,44,71,74,94
2021-03-08,75,70,67,62,41,72,71,84,100
2021-03-07,103,65,17,95,27,55,64,79,61
2021-03-06,100,92,0,74,18,56,71,79,39
2021-03-05,83,101,50,79,41,67,77,121,117
2021-03-04,64,79,17,71,31,63,69,100,61
2021-03-03,50,89,17,74,39,58,66,95,56
2021-03-02,58,74,17,69,47,50,67,105,67
2021-03-01,81,62,50,98,41,69,61,42,72
2021-02-28,61,50,17,74,20,41,50,37,33
2021-02-27,156,101,67,88,35,56,65,100,28
2021-02-26,144,93,17,81,55,52,63,63,28
2021-02-25,64,83,33,83,39,63,70,121,28
2021-02-24,44,76,17,69,39,70,74,84,61
2021-02-23,69,67,67,76,43,51,51,37,50
2021-02-22,33,56,50,79,49,63,48,74,39
2021-02-21,64,70,33,93,24,48,53,53,39
2021-02-20,133,90,50,90,41,54,65,42,39
2021-02-19,72,82,33,79,43,51,66,116,56
2021-02-18,69,80,33,52,51,58,63,42,67
2021-02-17,36,71,33,69,33,54,55,79,50
2021-02-16,58,66,33,33,27,29,40,42,67
2021-02-15,39,57,50,71,22,37,38,84,44
2021-02-14,47,46,67,81,24,60,40,32,44
2021-02-13,75,79,67,67,27,73,55,68,44
2021-02-12,108,97,17,83,55,77,67,105,39
2021-02-11,61,78,67,50,33,58,61,47,50
2021-02-10,31,70,100,107,37,55,57,89,106
2021-02-09,72,64,17,88,49,49,55,79,89
2021-02-08,50,67,17,74,29,49,49,95,111
2021-02-07,97,57,50,69,29,46,49,37,39
2021-02-06,33,84,33,76,39,50,55,95,61
2021-02-05,50,68,0,36,33,63,55,63,61
2021-02-04,117,65,67,81,35,54,46,58,72
2021-02-03,53,76,17,57,31,58,66,100,56
2021-02-02,36,66,0,93,35,47,51,68,117
2021-02-01,17,76,83,64,43,56,57,74,128
2021-01-31,17,44,67,40,20,22,32,47,72
2021-01-30,42,92,100,110,29,63,56,58,61
2021-01-29,58,79,33,57,59,54,66,58,56
2021-01-28,75,74,33,50,49,59,67,95,61
2021-01-27,50,74,100,88,45,61,57,95,50
2021-01-26,31,50,33,71,31,44,46,47,56
2021-01-25,53,56,33,81,55,54,50,84,78
2021-01-24,39,56,50,67,14,40,56,53,94
2021-01-23,72,90,67,98,24,62,69,74,94
2021-01-22,61,93,33,76,35,61,67,126,133
2021-01-21,56,77,17,67,39,54,55,95,94
2021-01-20,39,59,33,71,37,61,47,63,67
2021-01-19,83,53,100,81,37,38,48,42,28
2021-01-18,61,78,83,86,35,54,52,26,50
2021-01-17,61,46,67,55,18,40,40,58,28
2021-01-16,97,67,50,76,18,51,55,79,39
2021-01-15,50,81,17,74,37,40,62,126,50
2021-01-14,58,81,33,64,47,55,56,79,39
2021-01-13,81,72,67,69,47,68,56,74,56
2021-01-12,72,69,100,110,33,57,62,84,50
2021-01-11,50,65,17,81,57,54,60,79,67
2021-01-10,28,68,17,71,12,42,49,58,72
2021-01-09,106,96,33,71,20,65,64,74,39
2021-01-08,67,105,33,74,41,47,61,79,56
2021-01-07,61,76,50,76,33,63,61,95,94
2021-01-06,61,71,17,95,53,60,60,132,33
2021-01-05,81,85,17,90,57,56,60,95,83
2021-01-04,75,70,17,60,47,47,58,95,61
2021-01-03,25,61,67,67,27,42,50,74,50
2021-01-02,75,85,0,79,24,49,60,84,83
2021-01-01,19,58,0,5,33,27,38,53,128
2020-12-31,53,104,83,121,33,84,63,153,50
2020-12-30,44,87,33,62,37,65,66,74,83
2020-12-29,33,82,67,100,37,68,58,68,83
2020-12-28,56,56,50,81,45,51,66,89,106
2020-12-27,56,53,33,76,18,35,51,47,139
2020-12-26,39,76,17,57,35,62,67,105,72
2020-12-25,17,60,0,19,45,68,40,53,72
2020-12-24,50,101,33,86,51,93,70,105,67
2020-12-23,92,82,67,126,39,80,67,74,106
2020-12-22,78,85,17,83,45,66,65,74,117
2020-12-21,92,69,67,74,49,56,70,74,78
2020-12-20,61,73,67,81,22,61,59,74,61
2020-12-19,17,73,17,76,8,63,70,79,61
2020-12-18,50,83,50,71,33,76,70,121,67
2020-12-17,36,75,33,86,41,61,59,89,72
2020-12-16,28,61,67,88,41,61,82,79,72
2020-12-15,36,46,33,64,27,49,67,84,50
2020-12-14,28,53,67,52,37,58,61,74,44
2020-12-13,19,46,67,83,16,44,51,58,56
2020-12-12,33,58,83,93,18,48,51,84,61
2020-12-11,33,69,33,69,29,61,63,84,50
2020-12-10,44,67,33,76,35,52,62,47,39
2020-12-09,36,59,50,81,51,65,76,95,50
2020-12-08,44,72,50,105,43,50,60,100,44
2020-12-07,25,61,67,69,47,54,72,58,61
2020-12-06,31,59,33,81,27,49,55,53,83
2020-12-05,67,82,50,83,45,58,89,105,78
2020-12-04,47,80,50,71,33,75,68,147,67
2020-12-03,42,78,83,90,43,68,78,74,89
2020-12-02,36,71,0,81,37,63,72,105,72
2020-12-01,47,75,83,107,41,61,71,132,67
2020-11-30,31,74,0,81,43,66,68,100,56
2020-11-29,47,57,33,90,22,39,59,42,56
2020-11-28,56,84,17,64,27,49,66,116,56
2020-11-27,72,76,17,64,37,58,61,89,50
2020-11-26,25,47,0,33,27,44,34,68,67
2020-11-25,42,79,33,160,43,60,81,89,61
2020-11-24,42,79,33,102,47,63,75,95,56
2020-11-23,22,73,33,110,41,58,61,89,50
2020-11-22,50,62,33,86,12,54,60,79,44
2020-11-21,39,84,0,71,27,49,75,84,56
2020-11-20,61,84,33,93,18,58,74,74,22
2020-11-19,56,80,50,83,51,65,80,105,44
2020-11-18,42,51,100,93,39,68,61,116,56
2020-11-17,39,64,17,71,35,51,62,116,50
2020-11-16,50,56,33,76,37,59,69,84,78
2020-11-15,58,55,33,100,16,49,61,47,22
2020-11-14,44,79,83,112,39,75,76,74,33
2020-11-13,56,82,83,90,43,82,78,95,39
2020-11-12,58,76,33,60,27,74,73,84,50
2020-11-11,33,76,50,76,39,51,61,105,39
2020-11-10,44,60,50,100,49,61,76,58,39
2020-11-09,36,67,67,126,43,57,56,79,33
2020-11-08,61,67,33,107,35,51,69,47,17
2020-11-07,64,86,17,88,37,65,81,68,33
2020-11-06,61,89,67,100,53,62,85,116,28
2020-11-05,25,67,50,95,51,58,67,126,44
2020-11-04,33,79,0,86,35,70,76,79,67
2020-11-03,44,59,33,81,98,59,93,105,50
2020-11-02,61,76,50,74,65,65,63,68,61
2020-11-01,39,68,33,90,12,46,62,95,28
2020-10-31,58,83,33,112,22,77,82,89,44
2020-10-30,31,89,33,69,35,54,78,79,56
2020-10-29,64,84,83,95,41,66,78,42,50
2020-10-28,33,70,100,100,45,63,74,95,33
2020-10-27,81,51,33,81,55,57,69,100,39
2020-10-26,58,58,83,79,33,68,64,105,56
2020-10-25,97,63,33,100,14,40,71,47,11
2020-10-24,100,88,83,86,45,58,70,163,44
2020-10-23,78,81,33,83,49,61,78,121,22
2020-10-22,67,72,67,83,55,62,72,95,72
2020-10-21,36,66,33,88,35,68,74,95,28
2020-10-20,47,70,33,88,37,58,68,153,44
2020-10-19,56,70,17,74,49,77,72,126,11
2020-10-18,92,59,50,112,16,47,51,95,6
2020-10-17,103,97,33,62,27,60,78,137,56
2020-10-16,106,101,50,67,61,66,89,132,67
2020-10-15,53,72,83,105,35,77,81,116,61
2020-10-14,61,76,17,95,31,61,78,111,44
2020-10-13,67,77,50,71,31,54,87,100,39
2020-10-12,31,65,50,83,22,56,72,89,39
2020-10-11,75,65,117,95,22,54,65,95,33
2020-10-10,86,84,67,79,33,69,82,79,11
2020-10-09,64,93,67,57,31,61,82,74,44
2020-10-08,72,90,33,90,49,71,84,105,22
2020-10-07,42,79,67,100,51,75,80,105,50
2020-10-06,69,82,33,83,31,51,78,105,22
2020-10-05,58,67,83,105,39,68,86,132,67
2020-10-04,50,68,50,98,20,52,59,84,44
2020-10-03,64,86,33,126,29,65,84,95,50
2020-10-02,100,81,17,90,37,76,94,116,61
2020-10-01,83,74,67,83,45,73,78,116,39
2020-09-30,67,79,83,98,41,75,79,116,61
2020-09-29,64,73,83,93,43,65,71,84,39
2020-09-28,22,69,150,74,39,62,68,100,50
2020-09-27,97,66,50,69,22,42,68,79,17
2020-09-26,81,92,50,88,24,63,83,84,50
2020-09-25,92,91,33,81,49,71,77,121,56
2020-09-24,108,79,67,100,51,76,71,111,78
2020-09-23,103,76,67,74,43,65,66,111,39
2020-09-22,89,70,50,81,39,62,71,105,44
2020-09-21,31,58,67,88,31,76,63,100,33
2020-09-20,106,69,100,83,22,57,62,137,28
2020-09-19,89,90,50,100,18,80,79,95,50
2020-09-18,86,96,50,52,31,60,83,74,44
2020-09-17,64,79,83,90,39,73,65,95,106
2020-09-16,92,78,83,105,39,82,75,132,56
