short_date,zipcode,crash_count
2019-11-12,60608,29
2020-08-15,60624,27
2020-06-20,60624,26
2020-07-03,60624,24
2020-06-12,60620,24
2019-11-12,60607,24
2019-11-12,60657,24
2019-12-09,60629,23
2020-02-14,60611,23
2020-02-14,60632,23
2019-05-10,60639,23
2020-05-10,60620,23
2019-08-16,60632,23
2019-06-12,60639,23
2019-11-12,60625,23
2019-10-26,60639,23
2019-09-16,60632,23
2020-07-03,60620,23
2019-10-17,60632,23
2020-07-25,60620,23
2020-12-23,60619,22
2021-02-19,60624,22
2019-08-26,60632,22
2019-10-11,60639,22
2020-06-19,60624,22
2019-05-18,60620,22
2020-11-20,60620,22
2020-09-08,60620,22
2020-10-03,60620,22
2019-05-10,60608,22
2019-01-12,60608,22
2019-12-27,60639,22
2019-12-12,60607,22
2020-05-31,60628,22
2019-06-15,60639,22
2020-08-10,60621,22
2019-01-12,60625,22
2019-02-28,60608,22
2020-02-14,60608,21
2019-01-12,60644,21
2019-11-30,60611,21
2020-02-14,60641,21
2020-08-28,60620,21
2019-05-03,60639,21
2019-09-04,60609,21
2019-05-01,60608,21
2021-02-19,60620,21
2021-02-06,60657,21
2019-01-12,60619,21
2019-10-27,60639,21
2019-10-31,60608,20
2019-12-17,60620,20
2019-10-30,60618,20
2021-02-06,60632,20
2019-05-22,60608,20
2019-01-25,60632,20
2019-05-31,60619,20
2020-02-14,60612,20
2019-03-22,60632,20
2019-05-17,60632,20
2019-11-27,60632,20
2019-01-12,60632,20
2020-07-05,60644,20
2019-08-22,60618,20
2019-11-12,60612,20
2020-02-14,60620,20
2019-09-28,60620,20
2020-08-15,60623,20
2019-01-12,60639,20
2019-07-14,60639,20
2020-08-07,60644,20
2019-04-27,60639,20
2021-02-17,60620,20
2019-05-07,60632,20
2019-01-12,60629,20
2019-01-12,60614,20
2020-07-04,60619,19
2019-04-08,60608,19
2019-04-01,60609,19
2020-08-14,60644,19
2019-06-19,60608,19
2019-12-16,60647,19
2020-07-05,60623,19
2020-06-06,60620,19
2019-03-24,60616,19
2020-08-22,60620,19
2020-07-02,60619,19
2019-03-15,60608,19
2019-09-28,60623,19
2019-06-29,60620,19
2019-02-14,60647,19
2020-09-05,60609,19
2020-01-17,60608,19
2020-01-22,60628,19
2020-07-31,60624,19
2019-05-09,60608,19
2020-07-30,60623,19
2020-10-03,60628,19
2020-02-14,60647,19
2019-06-14,60611,19
2019-03-30,60629,19
2019-01-12,60623,19
2019-12-12,60629,19
2019-11-19,60612,19
2019-12-01,60611,19
2020-06-20,60620,18
2021-02-17,60618,18
2019-01-25,60639,18
2020-01-24,60608,18
2020-09-16,60607,18
2019-05-04,60608,18
2019-05-17,60620,18
2019-02-02,60639,18
2019-03-18,60639,18
2020-10-15,60644,18
2021-02-19,60629,18
2020-09-01,60623,18
2019-09-06,60629,18
2020-05-02,60620,18
2019-03-22,60620,18
2019-02-14,60608,18
2019-03-06,60608,18
2019-06-14,60619,18
2019-03-18,60620,18
2020-09-19,60620,18
2019-07-01,60632,18
2019-10-09,60608,18
2019-11-12,60640,18
2019-06-11,60612,18
2020-02-14,60639,18
2021-01-16,60623,18
2019-08-02,60616,18
2020-07-09,60620,18
2020-02-15,60611,18
2019-05-31,60629,18
2020-02-14,60609,18
2020-07-27,60624,18
2019-06-02,60620,18
2021-02-13,60629,18
2019-06-27,60608,18
2019-08-30,60608,18
2020-09-26,60644,18
2019-10-11,60609,18
2019-10-11,60608,18
2019-07-30,60616,18
2020-07-08,60620,18
2019-07-04,60620,18
2019-09-20,60608,18
2019-05-30,60608,18
2020-11-24,60620,18
2020-07-02,60624,18
2019-12-21,60632,18
2021-02-02,60632,18
2020-07-04,60620,18
2019-09-22,60634,18
2019-08-23,60639,18
2019-03-09,60620,18
2019-01-12,60618,18
2019-06-07,60632,18
2019-06-15,60608,18
2019-01-12,60638,18
2020-05-23,60644,18
2019-06-15,60634,18
2020-08-16,60644,18
2020-08-10,60644,18
2020-05-31,60619,18
2019-09-27,60608,18
2020-07-05,60620,18
2019-09-12,60616,18
2019-05-28,60612,18
2019-06-07,60619,18
2019-08-24,60617,18
2019-09-21,60629,17
2019-07-28,60624,17
2019-06-15,60628,17
2020-08-08,60629,17
2019-05-07,60620,17
2020-07-29,60644,17
2020-02-14,60654,17
2019-03-30,60651,17
2020-07-31,60620,17
2020-06-03,60624,17
2020-06-04,60620,17
2020-08-10,60620,17
2020-02-26,60630,17
2019-03-19,60608,17
2019-07-16,60614,17
2019-07-16,60611,17
2019-12-13,60623,17
2019-01-14,60608,17
2020-07-10,60618,17
2019-10-11,60632,17
2020-07-31,60651,17
2019-06-30,60647,17
2019-11-22,60647,17
2019-01-24,60617,17
2020-09-29,60620,17
2020-06-06,60624,17
2020-06-06,60636,17
2019-04-08,60611,17
2019-07-03,60639,17
2019-03-05,60609,17
2020-10-03,60644,17
2020-05-01,60624,17
2019-07-19,60622,17
2019-07-22,60608,17
2019-04-12,60620,17
2019-04-12,60608,17
2019-04-11,60632,17
2019-03-29,60612,17
2019-01-01,60620,17
2019-01-01,60619,17
2019-04-05,60624,17
2019-03-07,60641,17
2019-09-04,60608,17
2019-04-07,60629,17
2020-08-21,60619,17
2019-11-05,60619,17
2019-11-13,60625,17
2020-09-19,60619,17
2021-02-19,60639,17
2019-09-16,60629,17
2020-03-10,60607,17
2019-09-27,60620,17
2019-09-01,60629,17
2019-09-22,60639,17
2019-11-21,60612,17
2020-09-13,60624,17
2019-09-24,60608,17
2019-09-20,60639,17
2019-05-01,60619,17
2019-07-25,60608,17
2019-07-03,60620,17
2019-06-13,60629,17
2019-11-12,60618,17
2020-09-03,60619,17
2019-06-23,60620,17
2020-02-11,60632,17
2019-05-24,60608,17
2019-08-26,60608,17
2019-12-08,60623,17
2019-09-13,60632,17
2019-05-17,60623,17
2019-12-29,60639,17
2020-11-21,60620,17
2019-05-23,60639,17
2020-01-24,60657,17
2020-12-12,60617,17
2020-07-06,60620,17
2020-11-06,60619,17
2019-05-14,60632,17
2020-06-27,60623,17
2019-08-05,60608,17
2019-10-30,60608,17
2020-01-01,60644,17
2020-01-17,60632,17
2020-07-06,60619,17
2020-12-18,60620,17
2020-07-07,60619,17
2020-10-25,60629,17
2019-02-15,60616,17
2020-10-23,60628,17
2019-09-13,60623,17
2020-07-24,60644,17
2020-10-22,60628,17
2019-10-22,60639,17
2020-10-22,60620,17
2020-06-23,60628,17
2019-06-26,60612,17
2020-07-07,60629,17
2019-08-09,60632,17
2019-03-21,60632,17
2020-02-05,60623,17
2019-09-07,60629,17
2020-02-05,60628,17
2020-06-26,60628,17
2020-11-13,60617,17
2019-05-25,60647,17
2019-01-29,60609,17
2019-07-10,60639,17
2020-02-06,60639,17
2019-11-26,60639,17
2019-12-14,60620,17
2020-02-14,60623,17
2020-02-06,60632,17
2020-02-05,60643,17
2020-07-04,60624,17
2019-04-10,60620,16
2020-01-02,60632,16
2019-02-13,60628,16
2019-12-06,60609,16
2020-01-02,60639,16
2019-12-12,60609,16
2019-08-09,60639,16
2019-12-06,60612,16
2019-10-26,60632,16
2020-08-21,60624,16
2019-12-17,60608,16
2021-02-06,60619,16
2020-08-21,60651,16
2019-11-12,60651,16
2019-06-29,60639,16
2019-07-15,60651,16
2020-01-05,60629,16
2019-09-28,60618,16
2019-06-22,60629,16
2019-10-30,60639,16
2019-12-14,60624,16
2019-10-26,60620,16
2019-10-26,60616,16
2019-04-12,60619,16
2019-12-04,60612,16
2019-10-30,60647,16
2019-02-14,60629,16
2020-08-09,60619,16
2021-02-26,60620,16
2019-12-17,60629,16
2019-10-30,60632,16
2019-01-19,60620,16
2020-12-04,60620,16
2019-02-08,60620,16
2019-11-11,60608,16
2019-02-11,60632,16
2019-09-23,60639,16
2020-08-14,60609,16
2020-08-13,60651,16
2019-09-23,60608,16
2021-02-04,60629,16
2020-11-07,60628,16
2019-12-21,60641,16
2020-08-11,60628,16
2020-08-11,60632,16
2019-12-21,60619,16
2020-05-31,60620,16
2019-12-20,60632,16
2019-06-24,60620,16
2019-10-31,60644,16
2019-03-08,60620,16
2019-10-31,60632,16
2019-01-31,60647,16
2019-12-17,60632,16
2019-06-25,60605,16
2019-08-26,60639,16
2019-09-04,60632,16
2019-07-19,60647,16
2019-06-14,60639,16
2019-03-08,60619,16
2019-07-16,60619,16
2019-02-12,60608,16
2019-02-10,60618,16
2019-06-14,60651,16
2020-11-04,60609,16
2019-07-16,60629,16
2019-08-02,60620,16
2019-11-13,60647,16
2019-11-13,60608,16
2019-09-21,60632,16
2021-01-27,60620,16
2020-02-08,60617,16
2020-02-06,60638,16
2020-02-25,60612,16
2020-02-26,60618,16
2020-10-10,60619,16
2019-06-23,60623,16
2021-01-30,60620,16
2019-10-10,60619,16
2020-02-05,60620,16
2020-02-29,60624,16
2020-02-29,60632,16
2019-08-31,60628,16
2019-05-14,60636,16
2019-05-06,60609,16
2020-03-05,60608,16
2019-10-07,60629,16
2019-11-22,60639,16
2019-02-23,60647,16
2020-10-15,60620,16
2019-01-24,60612,16
2020-12-11,60620,16
2020-10-03,60629,16
2019-06-22,60620,16
2020-10-03,60624,16
2020-10-03,60623,16
2019-11-23,60619,16
2019-02-22,60628,16
2021-02-12,60629,16
2020-10-02,60636,16
2020-10-02,60609,16
2019-05-31,60620,16
2019-05-10,60629,16
2020-02-14,60607,16
2019-10-14,60632,16
2019-05-31,60609,16
2019-01-24,60616,16
2019-05-11,60619,16
2019-07-28,60639,16
2020-01-26,60639,16
2021-02-20,60639,16
2019-11-15,60629,16
2019-03-01,60619,16
2019-11-15,60623,16
2019-11-15,60608,16
2021-02-18,60629,16
2019-05-30,60620,16
2020-09-06,60637,16
2019-04-25,60618,16
2019-06-13,60624,16
2020-09-05,60644,16
2020-09-05,60619,16
2020-09-04,60634,16
2020-09-04,60609,16
2019-09-03,60618,16
2019-04-20,60620,16
2020-08-31,60620,16
2020-04-24,60624,16
2019-02-01,60629,16
2019-03-01,60608,16
2020-10-21,60609,16
2020-09-19,60624,16
2019-01-12,60641,16
2019-01-29,60608,16
2020-12-20,60649,16
2020-12-29,60620,16
2020-12-29,60621,16
2019-07-27,60644,16
2019-05-04,60639,16
2020-01-24,60639,16
2020-12-29,60641,16
2020-01-24,60632,16
2019-10-06,60639,16
2021-02-08,60620,16
2020-01-21,60620,16
2019-09-01,60632,16
2020-09-15,60639,16
2019-05-03,60634,16
2019-05-03,60611,16
2019-07-26,60629,16
2019-02-08,60639,16
2020-03-06,60639,16
2019-03-11,60612,16
2020-07-22,60644,16
2019-09-13,60608,16
2019-07-13,60629,16
2020-07-02,60644,16
2020-07-06,60624,16
2019-03-15,60623,16
2019-07-11,60612,16
2020-08-01,60623,16
2020-07-02,60620,16
2020-08-08,60644,16
2020-07-27,60639,16
2020-07-27,60619,16
2020-07-10,60624,16
2019-07-10,60619,16
2020-07-12,60620,16
2019-07-02,60618,16
2020-06-14,60628,16
2020-07-23,60636,16
2020-07-23,60649,16
2020-07-25,60651,16
2020-06-27,60644,16
2019-07-05,60620,16
2019-03-29,60624,16
2019-03-29,60623,16
2020-06-28,60629,16
2019-03-16,60639,16
